pd_id	pd_name	pop_2012	electors_2020	pop_per_elector
EC-10C	Kankesanthurai	39521.0	61727.0	0.6402546697555365
EC-16E	Wennappuwa	130510.0	111128.0	1.174411489453603
EC-16D	Nattandiya	113223.0	95785.0	1.1820535574463642
EC-07B	Ambalangoda	91315.0	76150.0	1.1991464215364411
EC-16C	Chilaw	151434.0	124694.0	1.214444961265177
EC-10H	Chavakachcheri	64704.0	52713.0	1.227477092937226
EC-04I	Mahanuwara	49787.0	40471.0	1.2301895184205975
EC-22F	Aranayaka	63018.0	51104.0	1.2331324358171571
EC-05D	Rattota	116810.0	94725.0	1.2331485880179467
EC-04L	Gampola	132286.0	107217.0	1.233815532984508
EC-21H	Kolonna	180667.0	146108.0	1.2365305116762944
EC-11C	Mullaitivu	92193.0	74510.0	1.2373238491477654
EC-08B	Hakmana	114414.0	92439.0	1.237724337130432
EC-16B	Anamaduwa	147182.0	118776.0	1.2391560584629893
EC-21C	Pelmadulla	111240.0	89763.0	1.239263393603155
EC-07C	Karandeniya	92659.0	74570.0	1.2425774440123374
EC-06B	Kothmale	101180.0	81175.0	1.246442870341854
EC-21E	Rakwana	134039.0	107507.0	1.2467932320686095
EC-15L	Kurunegala	115017.0	92192.0	1.2475811350225616
EC-06D	Walapane	104119.0	83242.0	1.250798875567622
EC-05C	Matale	107677.0	86032.0	1.2515924307234518
EC-05B	Laggala	88131.0	70392.0	1.2520030685305148
EC-15C	Yapahuwa	141010.0	112563.0	1.252720698630989
EC-21B	Ratnapura	156785.0	124933.0	1.254952654622878
EC-19C	Passara	80188.0	63839.0	1.2560973699462712
EC-19F	Uva Paranagama	77998.0	62089.0	1.2562289616518223
EC-09A	Mulkirigala	126950.0	101043.0	1.2563957918905813
EC-15M	Mawathagama	116708.0	92857.0	1.256857318242028
EC-04G	Hewaheta	88533.0	70373.0	1.2580535148423402
EC-15A	Galgamuwa	127763.0	101413.0	1.2598286215771153
EC-15N	Dodangaslanda	88714.0	70377.0	1.2605538741350157
EC-15G	Bingiriya	114580.0	90890.0	1.2606447353944328
EC-15D	Hiriyala	125098.0	99190.0	1.2611956850488961
EC-07H	Galle	101749.0	80580.0	1.2627078679573096
EC-11A	Mannar	99570.0	78850.0	1.2627774254914395
EC-04E	Teldeniya	61034.0	48329.0	1.2628856380227194
EC-21D	Balangoda	141040.0	111600.0	1.2637992831541218
EC-04M	Nawalapitiya	124443.0	98425.0	1.2643434086868173
EC-06C	Hanguranketha	88528.0	70011.0	1.264487009184271
EC-15B	Nikaweratiya	119583.0	94567.0	1.2645320249135534
EC-09D	Thissamaharama	218651.0	172363.0	1.2685495146870267
EC-02B	Negombo	142136.0	112012.0	1.2689354711995144
EC-04D	Ududumbara	74388.0	58588.0	1.269679797910835
EC-07A	Balapitiya	67432.0	53047.0	1.27117461873433
EC-08D	Kamburupitiya	101741.0	79980.0	1.2720805201300325
EC-08C	Akuressa	120072.0	94305.0	1.2732304755845396
EC-09C	Tangalle	156392.0	122758.0	1.2739862167842422
EC-15E	Wariyapola	97642.0	76600.0	1.2746997389033943
EC-20C	Wellawaya	199947.0	156828.0	1.2749445252123346
EC-22C	Kegalle	88998.0	69792.0	1.2751891334250345
EC-19B	Viyaluwa	65365.0	51204.0	1.2765604249667994
EC-04B	Harispattuwa	207752.0	162717.0	1.27676886864925
EC-04F	Kundasale	127070.0	99506.0	1.2770084216027173
EC-03C	Horana	167260.0	130927.0	1.277505785666822
EC-03B	Bandaragama	183608.0	143708.0	1.2776463384084393
EC-02F	Minuwangoda	178331.0	139540.0	1.2779919736276337
EC-05A	Dambulla	171913.0	134443.0	1.278705473695172
EC-09B	Beliatta	97910.0	76554.0	1.2789664811766857
EC-15J	Dambadeniya	119946.0	93742.0	1.279533186831943
EC-10K	Kilinochchi	113510.0	88674.0	1.2800820984730585
EC-22E	Mawanella	119029.0	92965.0	1.2803635776905287
EC-15H	Katugampola	124225.0	96896.0	1.2820446664464993
EC-02K	Dompe	154005.0	120061.0	1.2827229491675065
EC-17E	Kalawewa	160127.0	124770.0	1.2833774144425742
EC-02H	Gampaha	197667.0	153947.0	1.283993842036545
EC-07E	Hiniduma	129339.0	100525.0	1.2866351653817458
EC-18A	Minneriya	108204.0	84019.0	1.2878515573858293
EC-15F	Panduwasnuwara	96128.0	74577.0	1.2889764940933532
EC-19E	Hali Ela	90571.0	70192.0	1.2903322315933439
EC-04C	Pathadumbara	113136.0	87639.0	1.2909321192619725
EC-06A	Nuwara Eliya Maskeliya	417817.0	323548.0	1.2913601691248284
EC-02I	Ja Ela	201521.0	156003.0	1.291776440196663
EC-02D	Divulapitiya	144506.0	111857.0	1.2918815988270738
EC-22B	Galigamuwa	84968.0	65757.0	1.292151405933969
