id	name	centroid	province_id	district_id	dsd_id	ed_id
LK-1103	Colombo	[6.945119, 79.861623]	LK-1	LK-11	LK-1103	EC-01
LK-1106	Kolonnawa	[6.934457, 79.915733]	LK-1	LK-11	LK-1106	EC-01
LK-1109	Kaduwela	[6.903622, 79.978318]	LK-1	LK-11	LK-1109	EC-01
LK-1112	Homagama	[6.833266, 80.01598]	LK-1	LK-11	LK-1112	EC-01
LK-1115	Seethawaka	[6.922816, 80.147065]	LK-1	LK-11	LK-1115	EC-01
LK-1118	Padukka	[6.834176, 80.122116]	LK-1	LK-11	LK-1118	EC-01
LK-1121	Maharagama	[6.856942, 79.942632]	LK-1	LK-11	LK-1121	EC-01
LK-1124	Sri Jayawardanapura Kotte	[6.891056, 79.898758]	LK-1	LK-11	LK-1124	EC-01
LK-1127	Thimbirigasyaya	[6.900096, 79.870017]	LK-1	LK-11	LK-1127	EC-01
LK-1130	Dehiwala	[6.858394, 79.87567]	LK-1	LK-11	LK-1130	EC-01
LK-1131	Ratmalana	[6.82708, 79.878566]	LK-1	LK-11	LK-1131	EC-01
LK-1133	Moratuwa	[6.782673, 79.891096]	LK-1	LK-11	LK-1133	EC-01
LK-1136	Kesbewa	[6.803476, 79.928354]	LK-1	LK-11	LK-1136	EC-01
LK-1203	Negombo	[7.213224, 79.844835]	LK-1	LK-12	LK-1203	EC-02
LK-1206	Katana	[7.194279, 79.889599]	LK-1	LK-12	LK-1206	EC-02
LK-1209	Divulapitiya	[7.254006, 80.007356]	LK-1	LK-12	LK-1209	EC-02
LK-1212	Mirigama	[7.224957, 80.123625]	LK-1	LK-12	LK-1212	EC-02
LK-1215	Minuwangoda	[7.154861, 79.978706]	LK-1	LK-12	LK-1215	EC-02
LK-1218	Wattala	[7.035439, 79.880814]	LK-1	LK-12	LK-1218	EC-02
LK-1221	Ja-Ela	[7.071664, 79.908897]	LK-1	LK-12	LK-1221	EC-02
LK-1224	Gampaha	[7.071002, 79.993324]	LK-1	LK-12	LK-1224	EC-02
LK-1227	Attanagalla	[7.114612, 80.11002]	LK-1	LK-12	LK-1227	EC-02
LK-1230	Dompe	[6.990666, 80.099049]	LK-1	LK-12	LK-1230	EC-02
LK-1233	Mahara	[7.02963, 80.015565]	LK-1	LK-12	LK-1233	EC-02
LK-1236	Kelaniya	[6.970155, 79.90985]	LK-1	LK-12	LK-1236	EC-02
LK-1239	Biyagama	[6.968969, 79.978067]	LK-1	LK-12	LK-1239	EC-02
LK-1303	Panadura	[6.715816, 79.923144]	LK-1	LK-13	LK-1303	EC-03
LK-1306	Bandaragama	[6.718942, 79.975337]	LK-1	LK-13	LK-1306	EC-03
LK-1309	Horana	[6.756296, 80.05586]	LK-1	LK-13	LK-1309	EC-03
LK-1310	Ingiriya	[6.762831, 80.151805]	LK-1	LK-13	LK-1310	EC-03
LK-1312	Bulathsinhala	[6.648438, 80.175247]	LK-1	LK-13	LK-1312	EC-03
LK-1315	Madurawala	[6.649362, 80.095827]	LK-1	LK-13	LK-1315	EC-03
LK-1318	Millaniya	[6.658413, 80.031844]	LK-1	LK-13	LK-1318	EC-03
LK-1321	Kalutara	[6.618526, 79.97182]	LK-1	LK-13	LK-1321	EC-03
LK-1324	Beruwala	[6.489021, 80.004869]	LK-1	LK-13	LK-1324	EC-03
LK-1327	Dodangoda	[6.570909, 80.046101]	LK-1	LK-13	LK-1327	EC-03
LK-1330	Mathugama	[6.48838, 80.090754]	LK-1	LK-13	LK-1330	EC-03
LK-1333	Agalawatta	[6.514771, 80.174664]	LK-1	LK-13	LK-1333	EC-03
LK-1336	Palindanuwara	[6.50599, 80.273869]	LK-1	LK-13	LK-1336	EC-03
LK-1339	Walallavita	[6.407344, 80.186866]	LK-1	LK-13	LK-1339	EC-03
LK-2103	Thumpane	[7.366629, 80.514337]	LK-2	LK-21	LK-2103	EC-04
LK-2106	Pujapitiya	[7.4005, 80.566051]	LK-2	LK-21	LK-2106	EC-04
LK-2109	Akurana	[7.390799, 80.618482]	LK-2	LK-21	LK-2109	EC-04
LK-2112	Pathadumbara	[7.348917, 80.661458]	LK-2	LK-21	LK-2112	EC-04
LK-2115	Panvila	[7.409712, 80.740644]	LK-2	LK-21	LK-2115	EC-04
LK-2118	Udadumbara	[7.329839, 80.875336]	LK-2	LK-21	LK-2118	EC-04
LK-2121	Minipe	[7.346838, 80.949926]	LK-2	LK-21	LK-2121	EC-04
