id	name	country_id	province_id	ed_id	centroid
EC-01	Colombo	LK	LK-1	EC-01	[6.869538242038042, 80.02059720182345]
EC-02	Gampaha	LK	LK-1	EC-02	[7.123479675162879, 80.01826626218619]
EC-03	Kalutara	LK	LK-1	EC-03	[6.5772672205847265, 80.12755123252883]
EC-04	Kandy	LK	LK-2	EC-04	[7.2732923033951025, 80.70982459143245]
EC-05	Matale	LK	LK-2	EC-05	[7.667681428712761, 80.73105679176892]
EC-06	Nuwara-Eliya	LK	LK-2	EC-06	[6.975142504176358, 80.71176042122738]
EC-07	Galle	LK	LK-3	EC-07	[6.223217852744304, 80.25185983446656]
EC-08	Matara	LK	LK-3	EC-08	[6.14326176810539, 80.5400478088526]
EC-09	Hambantota	LK	LK-3	EC-09	[6.259937753955193, 81.09847120321086]
EC-10	Jaffna	LK	LK-4	EC-10	[9.55231300724723, 80.22527150738092]
EC-11	Vanni	LK	LK-4	EC-11	[8.98618280134827, 80.38841303868323]
EC-12	Batticaloa	LK	LK-5	EC-12	[7.771615551218985, 81.49327805009]
EC-13	Digamadulla	LK	LK-5	EC-13	[7.237306454963574, 81.55018539940436]
EC-14	Trincomalee	LK	LK-5	EC-14	[8.54751258839949, 81.08976728709665]
EC-15	Kurunegala	LK	LK-6	EC-15	[7.665346875453934, 80.2364193987051]
EC-16	Puttalam	LK	LK-6	EC-16	[7.969408628692347, 79.91602874828321]
EC-17	Anuradhapura	LK	LK-7	EC-17	[8.392498470942046, 80.5129637815837]
EC-18	Polonnaruwa	LK	LK-7	EC-18	[7.993945370442085, 81.02618920712955]
EC-19	Badulla	LK	LK-8	EC-19	[7.074884373679673, 81.04500533056036]
EC-20	Moneragala	LK	LK-8	EC-20	[6.787407109766083, 81.30376416028832]
EC-21	Ratnapura	LK	LK-9	EC-21	[6.586881212372546, 80.56626885786984]
EC-22	Kegalle	LK	LK-9	EC-22	[7.104165596290605, 80.34286293601768]
