id	lg_id	name	province_id	district_id	centroid
LG-11001	LG-11001	Colombo MC	LK-1	LK-11	[6.919708272340487, 79.86794941485962]
LG-11002	LG-11002	Kolonnawa UC	LK-1	LK-11	[6.938469890108484, 79.88810129461504]
LG-11003	LG-11003	Kotikawatta PS	LK-1	LK-11	[6.933489479337936, 79.92239962025128]
LG-11004	LG-11004	Kaduwela MC	LK-1	LK-11	[6.903622967236585, 79.97828928792244]
LG-11005	LG-11005	Homagama PS	LK-1	LK-11	[6.831278391937621, 80.0223951384643]
LG-11006	LG-11006	Seethawaka PS	LK-1	LK-11	[6.884852005381152, 80.13689127901402]
LG-11007	LG-11007	Seethawakapura UC	LK-1	LK-11	[6.9537165974301764, 80.20038514185741]
LG-11008	LG-11008	Maharagama UC	LK-1	LK-11	[6.8569423411971, 79.9426316352207]
LG-11009	LG-11009	Sri Jayawardenepura Kotte MC	LK-1	LK-11	[6.891055973158341, 79.89875758827726]
LG-11010	LG-11010	Dehiwala Mt.Lavinia MC	LK-1	LK-11	[6.839296423565332, 79.87743652792135]
LG-11011	LG-11011	Moratuwa MC	LK-1	LK-11	[6.7826733548607985, 79.89109551135618]
LG-11012	LG-11012	Boralesgamuwa UC	LK-1	LK-11	[6.839184068089393, 79.90269292506288]
LG-11013	LG-11013	Kesbewa UC	LK-1	LK-11	[6.796439762043227, 79.93407997238029]
LG-12001	LG-12001	Negombo MC	LK-1	LK-12	[7.214036302083134, 79.84563040784869]
LG-12002	LG-12002	Katana PS	LK-1	LK-12	[7.206472608247518, 79.8931175028754]
LG-12003	LG-12003	Katunayaka-Seeduwa UC	LK-1	LK-12	[7.155487107409467, 79.87840254199509]
LG-12004	LG-12004	Divulapitiya PS	LK-1	LK-12	[7.253979242792737, 80.00733901545347]
LG-12005	LG-12005	Mirigama PS	LK-1	LK-12	[7.225208198125765, 80.12379051354448]
LG-12006	LG-12006	Minuwangoda PS	LK-1	LK-12	[7.154431438701296, 79.97944577174195]
LG-12007	LG-12007	Minuwangoda UC	LK-1	LK-12	[7.170673446704785, 79.95148704626786]
LG-12008	LG-12008	Wattala PS	LK-1	LK-12	[7.0389267663397, 79.87981551653047]
LG-12009	LG-12009	Wattala-Mabola UC	LK-1	LK-12	[6.989437260094514, 79.89398786834282]
LG-12010	LG-12010	Ja-Ela PS	LK-1	LK-12	[7.071590914690248, 79.91196566540435]
LG-12011	LG-12011	Ja-Ela UC	LK-1	LK-12	[7.072180940399658, 79.887065658333]
LG-12012	LG-12012	Gampaha PS	LK-1	LK-12	[7.061467002512567, 79.98013475067927]
LG-12013	LG-12013	Gampaha MC	LK-1	LK-12	[7.092258575542493, 80.0233653284293]
LG-12014	LG-12014	Attanagalla PS	LK-1	LK-12	[7.114046025573885, 80.1103778941766]
LG-12015	LG-12015	Dompe PS	LK-1	LK-12	[6.990571039902515, 80.0990604465857]
LG-12016	LG-12016	Mahara PS	LK-1	LK-12	[7.028731284173426, 80.0146624337673]
LG-12017	LG-12017	Kelaniya PS	LK-1	LK-12	[6.971713031506079, 79.91422534142461]
LG-12018	LG-12018	Peliyagoda UC	LK-1	LK-12	[6.9628236105611, 79.88926890251508]
LG-12019	LG-12019	Biyagama PS	LK-1	LK-12	[6.968969429870149, 79.97806727754282]
LG-13001	LG-13001	Panadura PS	LK-1	LK-13	[6.716267393526757, 79.92525485365915]
LG-13002	LG-13002	Panadura UC	LK-1	LK-13	[6.713630815213245, 79.91186143268098]
LG-13003	LG-13003	Bandaragama PS	LK-1	LK-13	[6.718941545765028, 79.97533709969937]
LG-13004	LG-13004	Horana PS	LK-1	LK-13	[6.7603917905908135, 80.10036553964889]
LG-13005	LG-13005	Horana UC	LK-1	LK-13	[6.715514296337108, 80.06536417748441]
LG-13006	LG-13006	Bulathsinhala PS	LK-1	LK-13	[6.648437596762069, 80.17524722279335]
LG-13007	LG-13007	Madurawala PS	LK-1	LK-13	[6.649362383169416, 80.09582693004123]
LG-13008	LG-13008	Millaniya PS	LK-1	LK-13	[6.658003432584184, 80.03198884785557]
LG-13009	LG-13009	Kalutara PS	LK-1	LK-13	[6.623279014844058, 79.97270307253814]
LG-13010	LG-13010	Kalutara UC	LK-1	LK-13	[6.578239182030931, 79.96507398556987]
LG-13011	LG-13011	Beruwala PS	LK-1	LK-13	[6.490260916374163, 80.00618720389755]
LG-13012	LG-13012	Beruwala UC	LK-1	LK-13	[6.470132983469179, 79.98477054917062]
LG-13013	LG-13013	Dodangoda PS	LK-1	LK-13	[6.570904570144975, 80.04611018418451]
LG-13014	LG-13014	Matugama PS	LK-1	LK-13	[6.48836937815788, 80.0907600887922]
LG-13015	LG-13015	Agalawatta PS	LK-1	LK-13	[6.514771354821839, 80.17466448379498]
LG-13016	LG-13016	Palindanuwara PS	LK-1	LK-13	[6.505990122290631, 80.27386947152606]
LG-13017	LG-13017	Walallawita PS	LK-1	LK-13	[6.407343910901177, 80.18686555760074]
LG-21001	LG-21001	Thumpane PS	LK-2	LK-21	[7.346768246584399, 80.49531936060929]
LG-21002	LG-21002	Pujapitiya PS	LK-2	LK-21	[7.400489069061113, 80.56601184691162]
LG-21003	LG-21003	Akurana PS	LK-2	LK-21	[7.390593760017449, 80.61877225543113]
LG-21004	LG-21004	Pathadumbara PS	LK-2	LK-21	[7.349097791413612, 80.65806490780287]
LG-21005	LG-21005	Wattegama UC	LK-2	LK-21	[7.351229434915645, 80.67867579148881]
LG-21006	LG-21006	Kandy MC	LK-2	LK-21	[7.291316086191268, 80.63064071876835]
LG-21007	LG-21007	Panvila PS	LK-2	LK-21	[7.409797392816989, 80.74069806760436]
LG-21008	LG-21008	Udadumbara PS	LK-2	LK-21	[7.3298389048160955, 80.87533602361772]
LG-21009	LG-21009	Minipe PS	LK-2	LK-21	[7.346838391758865, 80.94992557539693]
LG-21010	LG-21010	Medadumbara PS	LK-2	LK-21	[7.302595940306733, 80.80027704844544]
LG-21011	LG-21011	Kundasale PS	LK-2	LK-21	[7.305341488933013, 80.70970841193008]
LG-21012	LG-21012	Kandy Four Gravets & Gangawata Korale PS	LK-2	LK-21	[7.257151428054446, 80.645729580091]
LG-21013	LG-21013	Harispattuwa PS	LK-2	LK-21	[7.32859929226648, 80.58740868003451]
LG-21014	LG-21014	Yatinuwara PS	LK-2	LK-21	[7.285178411262238, 80.53854652896719]
LG-21015	LG-21015	Kadugannawa UC	LK-2	LK-21	[7.261433275479179, 80.53478432831979]
LG-21016	LG-21016	Udunuwara PS	LK-2	LK-21	[7.223046455110796, 80.56012769941786]
LG-21017	LG-21017	Udapalatha PS	LK-2	LK-21	[7.145199409541191, 80.63025815337483]
LG-21018	LG-21018	Pathahewaheta PS	LK-2	LK-21	[7.212243388427879, 80.70447344999502]
LG-21019	LG-21019	Gampola UC	LK-2	LK-21	[7.168176638749808, 80.56557011156161]
LG-21020	LG-21020	Ganga Ihala Korale PS	LK-2	LK-21	[7.110976302034027, 80.51535614173973]
LG-21021	LG-21021	Pasbage Korale PS	LK-2	LK-21	[7.015275851979886, 80.5359715935279]
LG-21022	LG-21022	Nawalapitiya UC	LK-2	LK-21	[7.045448094581674, 80.54141667348604]
LG-22001	LG-22001	Galewela PS	LK-2	LK-22	[7.778546964467951, 80.57099660882086]
LG-22002	LG-22002	Dambulla PS	LK-2	LK-22	[7.877605820661218, 80.72838863765129]
LG-22003	LG-22003	Dambulla MC	LK-2	LK-22	[7.860175916111482, 80.65676907178022]
LG-22004	LG-22004	Naula PS	LK-2	LK-22	[7.687969326583914, 80.70813333371059]
LG-22005	LG-22005	Pallepola PS	LK-2	LK-22	[7.6467544127371205, 80.5986864076076]
LG-22006	LG-22006	Yatawatta PS	LK-2	LK-22	[7.5496868512148545, 80.58889958252054]
LG-22007	LG-22007	Matale PS	LK-2	LK-22	[7.548170630124491, 80.63024715225055]
LG-22008	LG-22008	Matale MC	LK-2	LK-22	[7.46970332137108, 80.62293216315778]
LG-22009	LG-22009	Ambanganga Korale PS	LK-2	LK-22	[7.561239570919262, 80.67772066135603]
LG-22010	LG-22010	Laggala-Pallegama PS	LK-2	LK-22	[7.555780498412936, 80.81399051152978]
