id	name	country_id	province_id	district_id	ed_id	pd_id	centroid
EC-01A	Colombo North	LK	LK-1	LK-11	EC-01	EC-01A	[6.962235267815704, 79.86992966893676]
EC-01B	Colombo Central	LK	LK-1	LK-11	EC-01	EC-01B	[6.9333112817210525, 79.86153869964839]
EC-01C	Borella	LK	LK-1	LK-11	EC-01	EC-01C	[6.917459865860775, 79.87294894724845]
EC-01D	Colombo East	LK	LK-1	LK-11	EC-01	EC-01D	[6.891251170698533, 79.87639899507198]
EC-01E	Colombo West	LK	LK-1	LK-11	EC-01	EC-01E	[6.891531084174009, 79.85853549497743]
EC-01F	Dehiwala	LK	LK-1	LK-11	EC-01	EC-01F	[6.858393681912423, 79.8756701280521]
EC-01G	Ratmalana	LK	LK-1	LK-11	EC-01	EC-01G	[6.827079902684505, 79.87856649435393]
EC-01H	Kolonnawa	LK	LK-1	LK-11	EC-01	EC-01H	[6.934457493959708, 79.91573324628142]
EC-01I	Kotte	LK	LK-1	LK-11	EC-01	EC-01I	[6.891055973158341, 79.89875758827726]
EC-01J	Kaduwela	LK	LK-1	LK-11	EC-01	EC-01J	[6.903622967236585, 79.97828928792244]
EC-01K	Avissawella	LK	LK-1	LK-11	EC-01	EC-01K	[6.890936546256581, 80.14250128834257]
EC-01L	Homagama	LK	LK-1	LK-11	EC-01	EC-01L	[6.831278391937621, 80.0223951384643]
EC-01M	Maharagama	LK	LK-1	LK-11	EC-01	EC-01M	[6.8569423411971, 79.9426316352207]
EC-01N	Kesbewa	LK	LK-1	LK-11	EC-01	EC-01N	[6.804266455333093, 79.92833284918767]
EC-01O	Moratuwa	LK	LK-1	LK-11	EC-01	EC-01O	[6.7826733548607985, 79.89109551135618]
EC-02A	Wattala	LK	LK-1	LK-12	EC-02	EC-02A	[7.035438553735096, 79.88081443892823]
EC-02B	Negombo	LK	LK-1	LK-12	EC-02	EC-02B	[7.214036302083134, 79.84563040784869]
EC-02C	Katana	LK	LK-1	LK-12	EC-02	EC-02C	[7.194371518981423, 79.88971538944699]
EC-02D	Divulapitiya	LK	LK-1	LK-12	EC-02	EC-02D	[7.253896767575316, 80.00617182329243]
EC-02E	Mirigama	LK	LK-1	LK-12	EC-02	EC-02E	[7.225208198125765, 80.12379051354448]
