id	lg_id	name	province_id	district_id
LG-11001	LG-11001	Colombo MC	LK-1	LK-11
LG-11002	LG-11002	Kolonnawa UC	LK-1	LK-11
LG-11003	LG-11003	Kotikawatta PS	LK-1	LK-11
LG-11004	LG-11004	Kaduwela MC	LK-1	LK-11
LG-11005	LG-11005	Homagama PS	LK-1	LK-11
LG-11006	LG-11006	Seethawaka PS	LK-1	LK-11
LG-11007	LG-11007	Seethawakapura UC	LK-1	LK-11
LG-11008	LG-11008	Maharagama UC	LK-1	LK-11
LG-11009	LG-11009	Sri Jayawardenepura Kotte MC	LK-1	LK-11
LG-11010	LG-11010	Dehiwala Mt.Lavinia MC	LK-1	LK-11
LG-11011	LG-11011	Moratuwa MC	LK-1	LK-11
LG-11012	LG-11012	Boralesgamuwa UC	LK-1	LK-11
LG-11013	LG-11013	Kesbewa UC	LK-1	LK-11
LG-12001	LG-12001	Negombo MC	LK-1	LK-12
LG-12002	LG-12002	Katana PS	LK-1	LK-12
LG-12003	LG-12003	Katunayaka-Seeduwa UC	LK-1	LK-12
LG-12004	LG-12004	Divulapitiya PS	LK-1	LK-12
LG-12005	LG-12005	Mirigama PS	LK-1	LK-12
LG-12006	LG-12006	Minuwangoda PS	LK-1	LK-12
LG-12007	LG-12007	Minuwangoda UC	LK-1	LK-12
LG-12008	LG-12008	Wattala PS	LK-1	LK-12
LG-12009	LG-12009	Wattala-Mabola UC	LK-1	LK-12
LG-12010	LG-12010	Ja-Ela PS	LK-1	LK-12
LG-12011	LG-12011	Ja-Ela UC	LK-1	LK-12
LG-12012	LG-12012	Gampaha PS	LK-1	LK-12
LG-12013	LG-12013	Gampaha MC	LK-1	LK-12
LG-12014	LG-12014	Attanagalla PS	LK-1	LK-12
LG-12015	LG-12015	Dompe PS	LK-1	LK-12
LG-12016	LG-12016	Mahara PS	LK-1	LK-12
LG-12017	LG-12017	Kelaniya PS	LK-1	LK-12
LG-12018	LG-12018	Peliyagoda UC	LK-1	LK-12
LG-12019	LG-12019	Biyagama PS	LK-1	LK-12
LG-13001	LG-13001	Panadura PS	LK-1	LK-13
LG-13002	LG-13002	Panadura UC	LK-1	LK-13
LG-13003	LG-13003	Bandaragama PS	LK-1	LK-13
LG-13004	LG-13004	Horana PS	LK-1	LK-13
LG-13005	LG-13005	Horana UC	LK-1	LK-13
LG-13006	LG-13006	Bulathsinhala PS	LK-1	LK-13
LG-13007	LG-13007	Madurawala PS	LK-1	LK-13
LG-13008	LG-13008	Millaniya PS	LK-1	LK-13
LG-13009	LG-13009	Kalutara PS	LK-1	LK-13
LG-13010	LG-13010	Kalutara UC	LK-1	LK-13
LG-13011	LG-13011	Beruwala PS	LK-1	LK-13
LG-13012	LG-13012	Beruwala UC	LK-1	LK-13
LG-13013	LG-13013	Dodangoda PS	LK-1	LK-13
LG-13014	LG-13014	Matugama PS	LK-1	LK-13
LG-13015	LG-13015	Agalawatta PS	LK-1	LK-13
LG-13016	LG-13016	Palindanuwara PS	LK-1	LK-13
LG-13017	LG-13017	Walallawita PS	LK-1	LK-13
LG-21001	LG-21001	Thumpane PS	LK-2	LK-21
LG-21002	LG-21002	Pujapitiya PS	LK-2	LK-21
LG-21003	LG-21003	Akurana PS	LK-2	LK-21
LG-21004	LG-21004	Pathadumbara PS	LK-2	LK-21
LG-21005	LG-21005	Wattegama UC	LK-2	LK-21
LG-21006	LG-21006	Kandy MC	LK-2	LK-21
LG-21007	LG-21007	Panvila PS	LK-2	LK-21
LG-21008	LG-21008	Udadumbara PS	LK-2	LK-21
LG-21009	LG-21009	Minipe PS	LK-2	LK-21
LG-21010	LG-21010	Medadumbara PS	LK-2	LK-21
LG-21011	LG-21011	Kundasale PS	LK-2	LK-21
LG-21012	LG-21012	Kandy Four Gravets & Gangawata Korale PS	LK-2	LK-21
LG-21013	LG-21013	Harispattuwa PS	LK-2	LK-21
LG-21014	LG-21014	Yatinuwara PS	LK-2	LK-21
LG-21015	LG-21015	Kadugannawa UC	LK-2	LK-21
LG-21016	LG-21016	Udunuwara PS	LK-2	LK-21
LG-21017	LG-21017	Udapalatha PS	LK-2	LK-21
LG-21018	LG-21018	Pathahewaheta PS	LK-2	LK-21
LG-21019	LG-21019	Gampola UC	LK-2	LK-21
LG-21020	LG-21020	Ganga Ihala Korale PS	LK-2	LK-21
LG-21021	LG-21021	Pasbage Korale PS	LK-2	LK-21
LG-21022	LG-21022	Nawalapitiya UC	LK-2	LK-21
LG-22001	LG-22001	Galewela PS	LK-2	LK-22
LG-22002	LG-22002	Dambulla PS	LK-2	LK-22
LG-22003	LG-22003	Dambulla MC	LK-2	LK-22
LG-22004	LG-22004	Naula PS	LK-2	LK-22
LG-22005	LG-22005	Pallepola PS	LK-2	LK-22
LG-22006	LG-22006	Yatawatta PS	LK-2	LK-22
LG-22007	LG-22007	Matale PS	LK-2	LK-22
LG-22008	LG-22008	Matale MC	LK-2	LK-22
LG-22009	LG-22009	Ambanganga Korale PS	LK-2	LK-22
LG-22010	LG-22010	Laggala-Pallegama PS	LK-2	LK-22
LG-22011	LG-22011	Wilgamuwa PS	LK-2	LK-22
LG-22012	LG-22012	Rattota PS	LK-2	LK-22
LG-22013	LG-22013	Ukuwela PS	LK-2	LK-22
LG-23001	LG-23001	Kothmale PS	LK-2	LK-23
LG-23002	LG-23002	Hanguranketha PS	LK-2	LK-23
LG-23003	LG-23003	Walapone PS	LK-2	LK-23
LG-23004	LG-23004	Kotagala PS	LK-2	LK-23
LG-23005	LG-23005	Agarapatana PS	LK-2	LK-23
LG-23006	LG-23006	Nuwara Eliya PS	LK-2	LK-23
LG-23007	LG-23007	Thalawakele-Lindula UC	LK-2	LK-23
LG-23008	LG-23008	Nuwara Eliya MC	LK-2	LK-23
LG-23009	LG-23009	Ambagamuwa PS	LK-2	LK-23
LG-23010	LG-23010	Maskeliya PS	LK-2	LK-23
LG-23011	LG-23011	Hatton - Dickoya UC	LK-2	LK-23
LG-23012	LG-23012	Norwood PS	LK-2	LK-23
LG-31001	LG-31001	Bentota PS	LK-3	LK-31
LG-31002	LG-31002	Balapitiya PS	LK-3	LK-31
LG-31003	LG-31003	Karandeniya PS	LK-3	LK-31
LG-31004	LG-31004	Elpitiya PS	LK-3	LK-31
LG-31005	LG-31005	Niyagama PS	LK-3	LK-31
LG-31006	LG-31006	Thawalama PS	LK-3	LK-31
LG-31007	LG-31007	Neluwa PS	LK-3	LK-31
LG-31008	LG-31008	Nagoda PS	LK-3	LK-31
LG-31009	LG-31009	Baddegama PS	LK-3	LK-31
LG-31010	LG-31010	Welivitiya-Divithura PS	LK-3	LK-31
LG-31011	LG-31011	Ambalangoda MC	LK-3	LK-31
LG-31012	LG-31012	Ambalangoda PS	LK-3	LK-31
LG-31013	LG-31013	Rathgama PS	LK-3	LK-31
LG-31014	LG-31014	Hikkaduwa UC	LK-3	LK-31
LG-31015	LG-31015	Bope-Poddala PS	LK-3	LK-31
LG-31016	LG-31016	Galle MC	LK-3	LK-31
LG-31017	LG-31017	Akmeemana PS	LK-3	LK-31
LG-31018	LG-31018	Yakkalamulla PS	LK-3	LK-31
LG-31019	LG-31019	Imaduwa PS	LK-3	LK-31
