id	moh_id	name	province_id	district_id	ed_id
MOH-23001	MOH-23001	MATHURATA	LK-2	LK-23	EC-06
MOH-23002	MOH-23002	WALAPANE	LK-2	LK-23	EC-06
MOH-23003	MOH-23003	HANGURANKETHA	LK-2	LK-23	EC-06
MOH-23004	MOH-23004	KOTHMALE	LK-2	LK-23	EC-06
MOH-23005	MOH-23005	AMBAGAMUWA	LK-2	LK-23	EC-06
MOH-23006	MOH-23006	KOTAGALA	LK-2	LK-23	EC-06
MOH-23007	MOH-23007	NAWATHISPANE	LK-2	LK-23	EC-06
MOH-23008	MOH-23008	NUWARA ELIYA	LK-2	LK-23	EC-06
MOH-23009	MOH-23009	NUWARA ELIYA MC	LK-2	LK-23	EC-06
MOH-23010	MOH-23010	RAGALA	LK-2	LK-23	EC-06
MOH-23011	MOH-23011	MASKELIYA	LK-2	LK-23	EC-06
MOH-23012	MOH-23012	BOGAWANTHALAWA	LK-2	LK-23	EC-06
MOH-23013	MOH-23013	LINDULA	LK-2	LK-23	EC-06
MOH-32001	MOH-32001	MATARA MC	LK-3	LK-32	EC-08
MOH-32002	MOH-32002	MATARA PS	LK-3	LK-32	EC-08
MOH-32003	MOH-32003	WELIGAMA	LK-3	LK-32	EC-08
MOH-32004	MOH-32004	PASGODA	LK-3	LK-32	EC-08
MOH-32005	MOH-32005	THIHAGODA	LK-3	LK-32	EC-08
MOH-32006	MOH-32006	KIRINDA PUHULWELLA	LK-3	LK-32	EC-08
MOH-32007	MOH-32007	MALIMBADA	LK-3	LK-32	EC-08
MOH-32008	MOH-32008	PITABEDDARA	LK-3	LK-32	EC-08
MOH-32009	MOH-32009	ATHURALIYA	LK-3	LK-32	EC-08
MOH-32010	MOH-32010	KOTAPOLA	LK-3	LK-32	EC-08
MOH-32011	MOH-32011	MULATIYANA	LK-3	LK-32	EC-08
MOH-32012	MOH-32012	HAKMANA	LK-3	LK-32	EC-08
MOH-32013	MOH-32013	KAMBURUPITIYA	LK-3	LK-32	EC-08
MOH-32014	MOH-32014	WELIPITIYA	LK-3	LK-32	EC-08
MOH-32015	MOH-32015	AKURESSA	LK-3	LK-32	EC-08
MOH-32016	MOH-32016	DEVINUWARA	LK-3	LK-32	EC-08
MOH-32017	MOH-32017	DICKWELLA	LK-3	LK-32	EC-08
MOH-22001	MOH-22001	DAMBULLA	LK-2	LK-22	EC-05
MOH-22002	MOH-22002	YATAWATTA	LK-2	LK-22	EC-05
MOH-22003	MOH-22003	AMBANGANGA KORALE	LK-2	LK-22	EC-05
MOH-22004	MOH-22004	NAULA	LK-2	LK-22	EC-05
MOH-22005	MOH-22005	PALLEPOLA	LK-2	LK-22	EC-05
MOH-22006	MOH-22006	RATTOTA	LK-2	LK-22	EC-05
MOH-22007	MOH-22007	GALEWELA	LK-2	LK-22	EC-05
MOH-22008	MOH-22008	LAGGALA-PALLEGAMA	LK-2	LK-22	EC-05
MOH-22009	MOH-22009	MATALE	LK-2	LK-22	EC-05
MOH-22010	MOH-22010	WILGAMUWA	LK-2	LK-22	EC-05
MOH-22011	MOH-22011	UKUWELA	LK-2	LK-22	EC-05
MOH-21001	MOH-21001	MENIKHINNA	LK-2	LK-21	EC-04
MOH-21002	MOH-21002	KUNDASALE	LK-2	LK-21	EC-04
MOH-21003	MOH-21003	KANDY FOUR GRAVETS & GANGAWATA KORALE	LK-2	LK-21	EC-04
