region_id	field_num	field_value
LK-8136150	0	456
LK-8136150	1	359
LK-8136150	2	9
LK-8136150	3	71
LK-8136150	4	0
LK-8136150	5	1
LK-8136150	6	13
LK-8136150	7	3
LK-5321035	0	293
LK-5321035	1	223
LK-5321035	2	10
LK-5321035	3	31
LK-5321035	4	0
LK-5321035	5	5
LK-5321035	6	24
LK-5321035	7	0
LK-5321030	0	338
LK-5321030	1	290
LK-5321030	2	5
LK-5321030	3	17
LK-5321030	4	0
LK-5321030	5	2
LK-5321030	6	24
LK-5321030	7	0
LK-1136335	0	328
LK-1136335	1	218
LK-1136335	2	78
LK-1136335	3	0
LK-1136335	4	0
LK-1136335	5	0
LK-1136335	6	32
LK-1136335	7	0
LK-8136155	0	296
LK-8136155	1	253
LK-8136155	2	1
LK-8136155	3	35
LK-8136155	4	1
LK-8136155	5	1
LK-8136155	6	0
LK-8136155	7	5
LK-1136330	0	426
LK-1136330	1	226
LK-1136330	2	176
LK-1136330	3	0
LK-1136330	4	0
LK-1136330	5	0
LK-1136330	6	24
LK-1136330	7	0
LK-2309010	0	69
LK-2309010	1	27
LK-2309010	2	0
LK-2309010	3	42
LK-2309010	4	0
LK-2309010	5	0
LK-2309010	6	0
LK-2309010	7	0
LK-2136295	0	259
LK-2136295	1	180
LK-2136295	2	30
LK-2136295	3	17
LK-2136295	4	0
LK-2136295	5	0
LK-2136295	6	32
LK-2136295	7	0
LK-2309015	0	102
LK-2309015	1	67
LK-2309015	2	0
LK-2309015	3	34
LK-2309015	4	0
LK-2309015	5	0
LK-2309015	6	1
LK-2309015	7	0
LK-2136290	0	337
LK-2136290	1	221
LK-2136290	2	74
LK-2136290	3	5
LK-2136290	4	0
LK-2136290	5	5
LK-2136290	6	29
LK-2136290	7	3
LK-6160035	0	137
LK-6160035	1	117
LK-6160035	2	5
LK-6160035	3	5
LK-6160035	4	0
LK-6160035	5	0
LK-6160035	6	10
LK-6160035	7	0
LK-6130240	0	167
LK-6130240	1	116
LK-6130240	2	10
LK-6130240	3	20
LK-6130240	4	0
LK-6130240	5	0
LK-6130240	6	20
LK-6130240	7	1
LK-6160030	0	311
LK-6160030	1	192
LK-6160030	2	68
LK-6160030	3	8
LK-6160030	4	0
LK-6160030	5	1
LK-6160030	6	42
LK-6160030	7	0
LK-6130245	0	184
LK-6130245	1	120
LK-6130245	2	5
LK-6130245	3	27
LK-6130245	4	0
LK-6130245	5	0
LK-6130245	6	32
LK-6130245	7	0
LK-3227005	0	248
LK-3227005	1	183
LK-3227005	2	33
LK-3227005	3	9
LK-3227005	4	0
LK-3227005	5	0
LK-3227005	6	23
LK-3227005	7	0
LK-5115020	0	766
LK-5115020	1	710
LK-5115020	2	27
LK-5115020	3	1
LK-5115020	4	0
LK-5115020	5	12
LK-5115020	6	16
LK-5115020	7	0
LK-3139210	0	526
LK-3139210	1	342
LK-3139210	2	167
LK-3139210	3	7
LK-3139210	4	1
