region_id	field_num	field_value
LK-8136150	0	456.0
LK-8136150	1	78.0
LK-8136150	2	43.0
LK-8136150	3	81.0
LK-8136150	4	104.0
LK-8136150	5	85.0
LK-8136150	6	36.0
LK-8136150	7	20.0
LK-8136150	8	7.0
LK-8136150	9	1.0
LK-8136150	10	1.0
LK-5321035	0	293.0
LK-5321035	1	39.0
LK-5321035	2	37.0
LK-5321035	3	52.0
LK-5321035	4	54.0
LK-5321035	5	69.0
LK-5321035	6	37.0
LK-5321035	7	4.0
LK-5321035	8	1.0
LK-5321035	9	0.0
LK-5321035	10	0.0
LK-5321030	0	338.0
LK-5321030	1	11.0
LK-5321030	2	49.0
LK-5321030	3	54.0
LK-5321030	4	93.0
LK-5321030	5	75.0
LK-5321030	6	37.0
LK-5321030	7	17.0
LK-5321030	8	1.0
LK-5321030	9	0.0
LK-5321030	10	1.0
LK-1136335	0	328.0
LK-1136335	1	12.0
LK-1136335	2	15.0
LK-1136335	3	24.0
LK-1136335	4	106.0
LK-1136335	5	117.0
LK-1136335	6	42.0
LK-1136335	7	11.0
LK-1136335	8	0.0
LK-1136335	9	0.0
LK-1136335	10	1.0
LK-8136155	0	296.0
LK-8136155	1	20.0
LK-8136155	2	46.0
LK-8136155	3	113.0
LK-8136155	4	77.0
LK-8136155	5	21.0
LK-8136155	6	13.0
LK-8136155	7	5.0
LK-8136155	8	0.0
LK-8136155	9	0.0
LK-8136155	10	1.0
LK-1136330	0	426.0
LK-1136330	1	28.0
LK-1136330	2	13.0
LK-1136330	3	53.0
LK-1136330	4	89.0
LK-1136330	5	143.0
LK-1136330	6	63.0
LK-1136330	7	14.0
LK-1136330	8	14.0
LK-1136330	9	8.0
LK-1136330	10	1.0
LK-2309010	0	69.0
LK-2309010	1	5.0
LK-2309010	2	5.0
LK-2309010	3	11.0
LK-2309010	4	15.0
LK-2309010	5	19.0
LK-2309010	6	7.0
LK-2309010	7	6.0
LK-2309010	8	0.0
LK-2309010	9	1.0
LK-2309010	10	0.0
LK-2136295	0	259.0
LK-2136295	1	10.0
LK-2136295	2	18.0
LK-2136295	3	33.0
LK-2136295	4	62.0
LK-2136295	5	54.0
LK-2136295	6	36.0
LK-2136295	7	20.0
LK-2136295	8	9.0
LK-2136295	9	11.0
LK-2136295	10	6.0
LK-2309015	0	102.0
LK-2309015	1	5.0
LK-2309015	2	12.0
LK-2309015	3	16.0
LK-2309015	4	22.0
LK-2309015	5	22.0
LK-2309015	6	11.0
LK-2309015	7	6.0
LK-2309015	8	6.0
LK-2309015	9	1.0
LK-2309015	10	1.0
LK-2136290	0	337.0
LK-2136290	1	12.0
LK-2136290	2	13.0
LK-2136290	3	34.0
LK-2136290	4	52.0
LK-2136290	5	103.0
LK-2136290	6	63.0
LK-2136290	7	29.0
LK-2136290	8	14.0
LK-2136290	9	10.0
LK-2136290	10	7.0
LK-6160035	0	137.0
LK-6160035	1	7.0
LK-6160035	2	6.0
LK-6160035	3	19.0
LK-6160035	4	48.0
LK-6160035	5	36.0
LK-6160035	6	18.0
LK-6160035	7	1.0
LK-6160035	8	2.0
LK-6160035	9	0.0
LK-6160035	10	0.0
LK-6130240	0	167.0
LK-6130240	1	9.0
LK-6130240	2	8.0
LK-6130240	3	21.0
LK-6130240	4	30.0
LK-6130240	5	47.0
LK-6130240	6	36.0
LK-6130240	7	14.0
LK-6130240	8	2.0
LK-6130240	9	0.0
LK-6130240	10	0.0
LK-6160030	0	311.0
LK-6160030	1	9.0
LK-6160030	2	6.0
LK-6160030	3	21.0
LK-6160030	4	33.0
LK-6160030	5	41.0
LK-6160030	6	96.0
LK-6160030	7	59.0
LK-6160030	8	29.0
LK-6160030	9	12.0
LK-6160030	10	5.0
LK-6130245	0	184.0
LK-6130245	1	3.0
LK-6130245	2	15.0
LK-6130245	3	20.0
LK-6130245	4	44.0
LK-6130245	5	61.0
LK-6130245	6	26.0
LK-6130245	7	10.0
LK-6130245	8	3.0
LK-6130245	9	1.0
LK-6130245	10	1.0
LK-3227005	0	248.0
LK-3227005	1	6.0
LK-3227005	2	6.0
LK-3227005	3	22.0
LK-3227005	4	83.0
LK-3227005	5	49.0
LK-3227005	6	56.0
LK-3227005	7	17.0
LK-3227005	8	5.0
LK-3227005	9	3.0
LK-3227005	10	1.0
LK-5115020	0	766.0
LK-5115020	1	52.0
LK-5115020	2	14.0
LK-5115020	3	98.0
LK-5115020	4	162.0
LK-5115020	5	314.0
LK-5115020	6	91.0
LK-5115020	7	23.0
LK-5115020	8	8.0
LK-5115020	9	3.0
LK-5115020	10	1.0
LK-3139210	0	526.0
LK-3139210	1	36.0
LK-3139210	2	74.0
LK-3139210	3	77.0
LK-3139210	4	96.0
LK-3139210	5	102.0
LK-3139210	6	74.0
LK-3139210	7	41.0
LK-3139210	8	12.0
LK-3139210	9	9.0
LK-3139210	10	5.0
LK-5133200	0	273.0
LK-5133200	1	102.0
LK-5133200	2	94.0
LK-5133200	3	50.0
LK-5133200	4	16.0
LK-5133200	5	7.0
LK-5133200	6	3.0
LK-5133200	7	1.0
LK-5133200	8	0.0
LK-5133200	9	0.0
LK-5133200	10	0.0
LK-9148130	0	728.0
LK-9148130	1	30.0
LK-9148130	2	70.0
LK-9148130	3	161.0
LK-9148130	4	153.0
LK-9148130	5	152.0
LK-9148130	6	100.0
LK-9148130	7	33.0
LK-9148130	8	19.0
LK-9148130	9	4.0
LK-9148130	10	6.0
LK-3139215	0	92.0
LK-3139215	1	14.0
LK-3139215	2	7.0
LK-3139215	3	13.0
LK-3139215	4	20.0
LK-3139215	5	10.0
LK-3139215	6	9.0
LK-3139215	7	9.0
LK-3139215	8	3.0
LK-3139215	9	4.0
LK-3139215	10	3.0
LK-1209185	0	230.0
LK-1209185	1	14.0
LK-1209185	2	8.0
LK-1209185	3	22.0
LK-1209185	4	26.0
LK-1209185	5	60.0
LK-1209185	6	65.0
LK-1209185	7	27.0
LK-1209185	8	8.0
LK-1209185	9	0.0
LK-1209185	10	0.0
LK-1209180	0	254.0
LK-1209180	1	10.0
LK-1209180	2	19.0
LK-1209180	3	21.0
LK-1209180	4	44.0
LK-1209180	5	91.0
LK-1209180	6	38.0
LK-1209180	7	20.0
LK-1209180	8	8.0
LK-1209180	9	2.0
LK-1209180	10	1.0
LK-2233325	0	293.0
LK-2233325	1	12.0
LK-2233325	2	14.0
LK-2233325	3	40.0
LK-2233325	4	70.0
LK-2233325	5	92.0
LK-2233325	6	47.0
LK-2233325	7	13.0
LK-2233325	8	4.0
LK-2233325	9	1.0
LK-2233325	10	0.0
LK-2233320	0	231.0
LK-2233320	1	9.0
LK-2233320	2	49.0
LK-2233320	3	41.0
LK-2233320	4	39.0
LK-2233320	5	42.0
LK-2233320	6	38.0
LK-2233320	7	9.0
LK-2233320	8	3.0
LK-2233320	9	1.0
LK-2233320	10	0.0
LK-6115055	0	171.0
LK-6115055	1	7.0
LK-6115055	2	13.0
LK-6115055	3	8.0
LK-6115055	4	31.0
LK-6115055	5	62.0
LK-6115055	6	37.0
LK-6115055	7	10.0
LK-6115055	8	3.0
LK-6115055	9	0.0
LK-6115055	10	0.0
LK-5224080	0	305.0
LK-5224080	1	11.0
LK-5224080	2	13.0
LK-5224080	3	39.0
LK-5224080	4	55.0
LK-5224080	5	93.0
LK-5224080	6	45.0
LK-5224080	7	26.0
LK-5224080	8	10.0
LK-5224080	9	10.0
LK-5224080	10	3.0
LK-6115050	0	202.0
LK-6115050	1	7.0
LK-6115050	2	8.0
LK-6115050	3	21.0
LK-6115050	4	24.0
LK-6115050	5	70.0
LK-6115050	6	50.0
LK-6115050	7	18.0
LK-6115050	8	4.0
LK-6115050	9	0.0
LK-6115050	10	0.0
LK-7148160	0	508.0
LK-7148160	1	25.0
LK-7148160	2	59.0
LK-7148160	3	70.0
LK-7148160	4	107.0
LK-7148160	5	113.0
LK-7148160	6	83.0
LK-7148160	7	40.0
LK-7148160	8	6.0
LK-7148160	9	2.0
LK-7148160	10	3.0
LK-6148130	0	181.0
LK-6148130	1	3.0
LK-6148130	2	9.0
LK-6148130	3	27.0
LK-6148130	4	38.0
LK-6148130	5	47.0
LK-6148130	6	31.0
LK-6148130	7	18.0
LK-6148130	8	4.0
LK-6148130	9	3.0
LK-6148130	10	1.0
LK-6148135	0	165.0
LK-6148135	1	19.0
LK-6148135	2	10.0
LK-6148135	3	18.0
LK-6148135	4	36.0
LK-6148135	5	32.0
LK-6148135	6	32.0
LK-6148135	7	9.0
LK-6148135	8	7.0
LK-6148135	9	0.0
LK-6148135	10	2.0
LK-4104005	0	172.0
LK-4104005	1	11.0
LK-4104005	2	17.0
LK-4104005	3	30.0
LK-4104005	4	54.0
LK-4104005	5	36.0
LK-4104005	6	16.0
LK-4104005	7	5.0
LK-4104005	8	2.0
LK-4104005	9	1.0
LK-4104005	10	0.0
LK-6109055	0	173.0
LK-6109055	1	10.0
LK-6109055	2	1.0
LK-6109055	3	14.0
LK-6109055	4	21.0
LK-6109055	5	41.0
LK-6109055	6	40.0
LK-6109055	7	31.0
LK-6109055	8	9.0
LK-6109055	9	6.0
LK-6109055	10	0.0
LK-3324065	0	467.0
LK-3324065	1	32.0
LK-3324065	2	46.0
LK-3324065	3	90.0
LK-3324065	4	83.0
LK-3324065	5	84.0
LK-3324065	6	81.0
LK-3324065	7	29.0
LK-3324065	8	11.0
LK-3324065	9	8.0
LK-3324065	10	3.0
LK-8127040	0	144.0
LK-8127040	1	4.0
LK-8127040	2	6.0
LK-8127040	3	20.0
LK-8127040	4	27.0
LK-8127040	5	27.0
LK-8127040	6	36.0
LK-8127040	7	13.0
LK-8127040	8	7.0
LK-8127040	9	4.0
LK-8127040	10	0.0
LK-5136180	0	266.0
LK-5136180	1	9.0
LK-5136180	2	13.0
LK-5136180	3	69.0
LK-5136180	4	86.0
LK-5136180	5	47.0
LK-5136180	6	28.0
LK-5136180	7	10.0
LK-5136180	8	2.0
LK-5136180	9	0.0
LK-5136180	10	2.0
LK-6175105	0	255.0
LK-6175105	1	6.0
LK-6175105	2	12.0
LK-6175105	3	37.0
LK-6175105	4	59.0
LK-6175105	5	74.0
LK-6175105	6	41.0
LK-6175105	7	17.0
LK-6175105	8	4.0
LK-6175105	9	3.0
LK-6175105	10	2.0
LK-5136185	0	276.0
LK-5136185	1	4.0
LK-5136185	2	13.0
LK-5136185	3	50.0
LK-5136185	4	73.0
LK-5136185	5	69.0
LK-5136185	6	34.0
LK-5136185	7	23.0
LK-5136185	8	6.0
LK-5136185	9	3.0
LK-5136185	10	1.0
LK-7148165	0	533.0
LK-7148165	1	35.0
LK-7148165	2	42.0
LK-7148165	3	77.0
LK-7148165	4	91.0
LK-7148165	5	118.0
LK-7148165	6	102.0
LK-7148165	7	47.0
LK-7148165	8	11.0
LK-7148165	9	6.0
LK-7148165	10	4.0
LK-9212200	0	332.0
LK-9212200	1	10.0
LK-9212200	2	22.0
LK-9212200	3	40.0
LK-9212200	4	69.0
LK-9212200	5	118.0
LK-9212200	6	53.0
LK-9212200	7	18.0
LK-9212200	8	1.0
LK-9212200	9	1.0
LK-9212200	10	0.0
LK-3142125	0	245.0
LK-3142125	1	5.0
LK-3142125	2	3.0
LK-3142125	3	23.0
LK-3142125	4	69.0
LK-3142125	5	71.0
LK-3142125	6	38.0
LK-3142125	7	22.0
LK-3142125	8	8.0
LK-3142125	9	2.0
LK-3142125	10	4.0
LK-9212205	0	296.0
LK-9212205	1	15.0
LK-9212205	2	10.0
LK-9212205	3	25.0
LK-9212205	4	68.0
LK-9212205	5	80.0
LK-9212205	6	46.0
LK-9212205	7	27.0
LK-9212205	8	10.0
LK-9212205	9	10.0
LK-9212205	10	5.0
LK-6224130	0	151.0
LK-6224130	1	1.0
LK-6224130	2	13.0
LK-6224130	3	28.0
LK-6224130	4	12.0
LK-6224130	5	29.0
LK-6224130	6	39.0
LK-6224130	7	22.0
LK-6224130	8	6.0
LK-6224130	9	1.0
LK-6224130	10	0.0
LK-3142120	0	196.0
LK-3142120	1	6.0
LK-3142120	2	5.0
LK-3142120	3	27.0
LK-3142120	4	44.0
LK-3142120	5	61.0
LK-3142120	6	32.0
LK-3142120	7	17.0
LK-3142120	8	2.0
LK-3142120	9	1.0
LK-3142120	10	1.0
LK-8121035	0	425.0
LK-8121035	1	11.0
LK-8121035	2	25.0
LK-8121035	3	33.0
LK-8121035	4	46.0
LK-8121035	5	81.0
LK-8121035	6	134.0
LK-8121035	7	74.0
LK-8121035	8	14.0
LK-8121035	9	4.0
LK-8121035	10	3.0
LK-2233140	0	417.0
LK-2233140	1	21.0
LK-2233140	2	17.0
LK-2233140	3	31.0
LK-2233140	4	89.0
LK-2233140	5	89.0
LK-2233140	6	70.0
LK-2233140	7	59.0
LK-2233140	8	23.0
LK-2233140	9	10.0
LK-2233140	10	8.0
LK-2233145	0	365.0
LK-2233145	1	13.0
LK-2233145	2	16.0
LK-2233145	3	54.0
LK-2233145	4	73.0
LK-2233145	5	105.0
LK-2233145	6	69.0
LK-2233145	7	22.0
LK-2233145	8	9.0
LK-2233145	9	2.0
LK-2233145	10	2.0
LK-3324060	0	302.0
LK-3324060	1	15.0
LK-3324060	2	20.0
LK-3324060	3	43.0
LK-3324060	4	40.0
LK-3324060	5	59.0
LK-3324060	6	78.0
LK-3324060	7	27.0
LK-3324060	8	15.0
LK-3324060	9	3.0
LK-3324060	10	2.0
LK-3245080	0	352.0
LK-3245080	1	12.0
LK-3245080	2	16.0
LK-3245080	3	27.0
LK-3245080	4	88.0
LK-3245080	5	115.0
LK-3245080	6	63.0
LK-3245080	7	20.0
LK-3245080	8	7.0
LK-3245080	9	4.0
LK-3245080	10	0.0
LK-3245085	0	176.0
LK-3245085	1	9.0
LK-3245085	2	1.0
LK-3245085	3	7.0
LK-3245085	4	77.0
LK-3245085	5	42.0
LK-3245085	6	27.0
LK-3245085	7	9.0
LK-3245085	8	3.0
LK-3245085	9	0.0
LK-3245085	10	1.0
LK-5315210	0	551.0
LK-5315210	1	17.0
LK-5315210	2	34.0
LK-5315210	3	140.0
LK-5315210	4	190.0
LK-5315210	5	92.0
LK-5315210	6	53.0
LK-5315210	7	17.0
LK-5315210	8	5.0
LK-5315210	9	2.0
LK-5315210	10	1.0
LK-8121030	0	788.0
LK-8121030	1	26.0
LK-8121030	2	45.0
LK-8121030	3	146.0
LK-8121030	4	210.0
LK-8121030	5	153.0
LK-8121030	6	122.0
LK-8121030	7	56.0
LK-8121030	8	16.0
LK-8121030	9	9.0
LK-8121030	10	5.0
LK-9215005	0	484.0
LK-9215005	1	23.0
LK-9215005	2	44.0
LK-9215005	3	43.0
LK-9215005	4	100.0
LK-9215005	5	148.0
LK-9215005	6	79.0
LK-9215005	7	35.0
LK-9215005	8	9.0
LK-9215005	9	2.0
LK-9215005	10	1.0
LK-8142020	0	697.0
LK-8142020	1	54.0
LK-8142020	2	86.0
LK-8142020	3	148.0
LK-8142020	4	229.0
LK-8142020	5	71.0
LK-8142020	6	36.0
LK-8142020	7	14.0
LK-8142020	8	6.0
LK-8142020	9	36.0
LK-8142020	10	17.0
LK-6178385	0	553.0
LK-6178385	1	24.0
LK-6178385	2	31.0
LK-6178385	3	82.0
LK-6178385	4	123.0
LK-6178385	5	148.0
LK-6178385	6	92.0
LK-6178385	7	31.0
LK-6178385	8	12.0
LK-6178385	9	5.0
LK-6178385	10	5.0
LK-9115140	0	457.0
LK-9115140	1	18.0
LK-9115140	2	35.0
LK-9115140	3	59.0
LK-9115140	4	85.0
LK-9115140	5	100.0
LK-9115140	6	91.0
LK-9115140	7	40.0
LK-9115140	8	20.0
LK-9115140	9	3.0
LK-9115140	10	6.0
LK-1230220	0	233.0
LK-1230220	1	13.0
LK-1230220	2	24.0
LK-1230220	3	29.0
LK-1230220	4	41.0
LK-1230220	5	84.0
LK-1230220	6	34.0
LK-1230220	7	8.0
LK-1230220	8	0.0
LK-1230220	9	0.0
LK-1230220	10	0.0
LK-8142025	0	707.0
LK-8142025	1	92.0
LK-8142025	2	97.0
LK-8142025	3	148.0
LK-8142025	4	185.0
LK-8142025	5	77.0
LK-8142025	6	81.0
LK-8142025	7	13.0
LK-8142025	8	9.0
LK-8142025	9	4.0
LK-8142025	10	1.0
LK-1230225	0	383.0
LK-1230225	1	24.0
LK-1230225	2	19.0
LK-1230225	3	33.0
LK-1230225	4	71.0
LK-1230225	5	124.0
LK-1230225	6	81.0
LK-1230225	7	24.0
LK-1230225	8	6.0
LK-1230225	9	1.0
LK-1230225	10	0.0
LK-9115145	0	482.0
LK-9115145	1	30.0
LK-9115145	2	52.0
LK-9115145	3	68.0
LK-9115145	4	108.0
LK-9115145	5	107.0
LK-9115145	6	62.0
LK-9115145	7	32.0
LK-9115145	8	9.0
LK-9115145	9	5.0
LK-9115145	10	9.0
LK-3327060	0	147.0
LK-3327060	1	4.0
LK-3327060	2	3.0
LK-3327060	3	6.0
LK-3327060	4	12.0
LK-3327060	5	45.0
LK-3327060	6	45.0
LK-3327060	7	20.0
LK-3327060	8	12.0
LK-3327060	9	0.0
LK-3327060	10	0.0
LK-3227105	0	296.0
LK-3227105	1	26.0
LK-3227105	2	20.0
LK-3227105	3	32.0
LK-3227105	4	75.0
LK-3227105	5	88.0
LK-3227105	6	35.0
LK-3227105	7	16.0
LK-3227105	8	2.0
LK-3227105	9	0.0
LK-3227105	10	2.0
LK-3312110	0	434.0
LK-3312110	1	33.0
LK-3312110	2	85.0
LK-3312110	3	142.0
LK-3312110	4	107.0
LK-3312110	5	50.0
LK-3312110	6	8.0
LK-3312110	7	7.0
LK-3312110	8	0.0
LK-3312110	9	1.0
LK-3312110	10	1.0
LK-1224130	0	616.0
LK-1224130	1	19.0
LK-1224130	2	11.0
LK-1224130	3	34.0
LK-1224130	4	71.0
LK-1224130	5	166.0
LK-1224130	6	144.0
LK-1224130	7	82.0
LK-1224130	8	48.0
LK-1224130	9	20.0
LK-1224130	10	21.0
LK-6145280	0	272.0
LK-6145280	1	24.0
LK-6145280	2	28.0
LK-6145280	3	38.0
LK-6145280	4	38.0
LK-6145280	5	43.0
LK-6145280	6	55.0
LK-6145280	7	28.0
LK-6145280	8	12.0
LK-6145280	9	5.0
LK-6145280	10	1.0
LK-3312115	0	508.0
LK-3312115	1	30.0
LK-3312115	2	30.0
LK-3312115	3	82.0
LK-3312115	4	154.0
LK-3312115	5	128.0
LK-3312115	6	55.0
LK-3312115	7	18.0
LK-3312115	8	8.0
LK-3312115	9	0.0
LK-3312115	10	3.0
LK-6145285	0	227.0
LK-6145285	1	11.0
LK-6145285	2	16.0
LK-6145285	3	34.0
LK-6145285	4	40.0
LK-6145285	5	41.0
LK-6145285	6	48.0
LK-6145285	7	29.0
LK-6145285	8	5.0
LK-6145285	9	2.0
LK-6145285	10	1.0
LK-1224135	0	351.0
LK-1224135	1	4.0
LK-1224135	2	6.0
LK-1224135	3	31.0
LK-1224135	4	58.0
LK-1224135	5	85.0
LK-1224135	6	72.0
LK-1224135	7	49.0
LK-1224135	8	24.0
LK-1224135	9	8.0
LK-1224135	10	14.0
LK-9124175	0	650.0
LK-9124175	1	29.0
LK-9124175	2	102.0
LK-9124175	3	125.0
LK-9124175	4	156.0
LK-9124175	5	148.0
LK-9124175	6	58.0
LK-9124175	7	25.0
LK-9124175	8	4.0
LK-9124175	9	1.0
LK-9124175	10	2.0
LK-4203135	0	338.0
LK-4203135	1	64.0
LK-4203135	2	61.0
LK-4203135	3	107.0
LK-4203135	4	81.0
LK-4203135	5	23.0
LK-4203135	6	0.0
LK-4203135	7	1.0
LK-4203135	8	1.0
LK-4203135	9	0.0
LK-4203135	10	0.0
LK-7121170	0	284.0
LK-7121170	1	19.0
LK-7121170	2	13.0
LK-7121170	3	41.0
LK-7121170	4	70.0
LK-7121170	5	56.0
LK-7121170	6	44.0
LK-7121170	7	24.0
LK-7121170	8	10.0
LK-7121170	9	6.0
LK-7121170	10	1.0
LK-2139430	0	245.0
LK-2139430	1	12.0
LK-2139430	2	17.0
LK-2139430	3	28.0
LK-2139430	4	62.0
LK-2139430	5	51.0
LK-2139430	6	37.0
LK-2139430	7	20.0
LK-2139430	8	6.0
LK-2139430	9	9.0
LK-2139430	10	3.0
LK-4203130	0	498.0
LK-4203130	1	110.0
LK-4203130	2	99.0
LK-4203130	3	161.0
LK-4203130	4	106.0
LK-4203130	5	19.0
LK-4203130	6	2.0
LK-4203130	7	0.0
LK-4203130	8	1.0
LK-4203130	9	0.0
LK-4203130	10	0.0
LK-2139435	0	241.0
LK-2139435	1	15.0
LK-2139435	2	12.0
LK-2139435	3	28.0
LK-2139435	4	42.0
LK-2139435	5	57.0
LK-2139435	6	49.0
LK-2139435	7	12.0
LK-2139435	8	14.0
LK-2139435	9	5.0
LK-2139435	10	7.0
LK-7121175	0	318.0
LK-7121175	1	21.0
LK-7121175	2	11.0
LK-7121175	3	19.0
LK-7121175	4	43.0
LK-7121175	5	124.0
LK-7121175	6	77.0
LK-7121175	7	15.0
LK-7121175	8	4.0
LK-7121175	9	4.0
LK-7121175	10	0.0
