id	district_id	province_id	name	centroid
LK-11	LK-11	LK-1	Colombo	6.869685,80.019739
LK-12	LK-12	LK-1	Gampaha	7.123584,80.018436
LK-13	LK-13	LK-1	Kalutara	6.577363,80.127416
LK-21	LK-21	LK-2	Kandy	7.273339,80.709712
LK-22	LK-22	LK-2	Matale	7.667594,80.730964
LK-23	LK-23	LK-2	Nuwara Eliya	6.974246,80.711236
LK-31	LK-31	LK-3	Galle	6.222873,80.252034
LK-32	LK-32	LK-3	Matara	6.142819,80.540032
LK-33	LK-33	LK-3	Hambantota	6.259794,81.098488
LK-41	LK-41	LK-4	Jaffna	9.691862,80.098229
LK-42	LK-42	LK-4	Mannar	8.877466,80.088789
LK-43	LK-43	LK-4	Vavuniya	8.852089,80.467385
LK-44	LK-44	LK-4	Mullaitivu	9.167644,80.549049
LK-45	LK-45	LK-4	Kilinochchi	9.415768,80.303620
LK-51	LK-51	LK-5	Batticaloa	7.792541,81.486564
LK-52	LK-52	LK-5	Ampara	7.237331,81.550219
LK-53	LK-53	LK-5	Trincomalee	8.551064,81.091792
LK-61	LK-61	LK-6	Kurunegala	7.664752,80.236782
LK-62	LK-62	LK-6	Puttalam	7.973502,79.913920
LK-71	LK-71	LK-7	Anuradhapura	8.391990,80.512962
LK-72	LK-72	LK-7	Polonnaruwa	7.993729,81.026118
LK-81	LK-81	LK-8	Badulla	7.074508,81.044898
LK-82	LK-82	LK-8	Moneragala	6.787468,81.303753
LK-91	LK-91	LK-9	Ratnapura	6.586845,80.566165
LK-92	LK-92	LK-9	Kegalle	7.104189,80.342871
