id	dsd_id	name	province_id	district_id	centroid
LK-1103	LK-1103	Colombo	LK-1	LK-11	6.945119,79.861623
LK-1106	LK-1106	Kolonnawa	LK-1	LK-11	6.934457,79.915733
LK-1109	LK-1109	Kaduwela	LK-1	LK-11	6.903622,79.978318
LK-1112	LK-1112	Homagama	LK-1	LK-11	6.833266,80.015980
LK-1115	LK-1115	Seethawaka	LK-1	LK-11	6.922816,80.147065
LK-1118	LK-1118	Padukka	LK-1	LK-11	6.834176,80.122116
LK-1121	LK-1121	Maharagama	LK-1	LK-11	6.856942,79.942632
LK-1124	LK-1124	Sri Jayawardanapura Kotte	LK-1	LK-11	6.891056,79.898758
LK-1127	LK-1127	Thimbirigasyaya	LK-1	LK-11	6.900096,79.870017
LK-1130	LK-1130	Dehiwala	LK-1	LK-11	6.858394,79.875670
LK-1131	LK-1131	Ratmalana	LK-1	LK-11	6.827080,79.878566
LK-1133	LK-1133	Moratuwa	LK-1	LK-11	6.782673,79.891096
LK-1136	LK-1136	Kesbewa	LK-1	LK-11	6.803476,79.928354
LK-1203	LK-1203	Negombo	LK-1	LK-12	7.213264,79.844853
LK-1206	LK-1206	Katana	LK-1	LK-12	7.194279,79.889599
LK-1209	LK-1209	Divulapitiya	LK-1	LK-12	7.254006,80.007356
LK-1212	LK-1212	Mirigama	LK-1	LK-12	7.224957,80.123625
LK-1215	LK-1215	Minuwangoda	LK-1	LK-12	7.154861,79.978706
LK-1218	LK-1218	Wattala	LK-1	LK-12	7.035439,79.880814
LK-1221	LK-1221	Ja-Ela	LK-1	LK-12	7.071664,79.908897
LK-1224	LK-1224	Gampaha	LK-1	LK-12	7.071002,79.993324
LK-1227	LK-1227	Attanagalla	LK-1	LK-12	7.114612,80.110020
LK-1230	LK-1230	Dompe	LK-1	LK-12	6.990666,80.099049
LK-1233	LK-1233	Mahara	LK-1	LK-12	7.029630,80.015565
LK-1236	LK-1236	Kelaniya	LK-1	LK-12	6.970155,79.909850
