id	name	centroid	province_id	district_id	ed_id	population
LK-11	Colombo	[6.869685, 80.019739]	LK-1	LK-11	EC-01	2323964
LK-12	Gampaha	[7.123587, 80.018428]	LK-1	LK-12	EC-02	2304833
LK-13	Kalutara	[6.577363, 80.127416]	LK-1	LK-13	EC-03	1221948
LK-21	Kandy	[7.273339, 80.709712]	LK-2	LK-21	EC-04	1375382
LK-22	Matale	[7.667594, 80.730964]	LK-2	LK-22	EC-05	484531
LK-23	Nuwara Eliya	[6.974246, 80.711236]	LK-2	LK-23	EC-06	711644
LK-31	Galle	[6.222873, 80.252034]	LK-3	LK-31	EC-07	1063334
LK-32	Matara	[6.142819, 80.540032]	LK-3	LK-32	EC-08	814048
LK-33	Hambantota	[6.259794, 81.098488]	LK-3	LK-33	EC-09	599903
LK-41	Jaffna	[9.691862, 80.098229]	LK-4	LK-41	EC-10	583882
LK-42	Mannar	[8.87747, 80.08878]	LK-4	LK-42	EC-11	99570
LK-43	Vavuniya	[8.852089, 80.467385]	LK-4	LK-43	EC-11	172060
LK-44	Mullaitivu	[9.167644, 80.549049]	LK-4	LK-44	EC-11	92193
LK-45	Kilinochchi	[9.415768, 80.30362]	LK-4	LK-45	EC-10	113510
LK-51	Batticaloa	[7.792541, 81.486564]	LK-5	LK-51	EC-12	526567
LK-52	Ampara	[7.237331, 81.550219]	LK-5	LK-52	EC-13	649402
LK-53	Trincomalee	[8.551064, 81.091792]	LK-5	LK-53	EC-14	379541
LK-61	Kurunegala	[7.664752, 80.236782]	LK-6	LK-61	EC-15	1617287
LK-62	Puttalam	[7.973502, 79.91392]	LK-6	LK-62	EC-16	762396
LK-71	Anuradhapura	[8.39199, 80.512962]	LK-7	LK-71	EC-17	860575
LK-72	Polonnaruwa	[7.993729, 81.026118]	LK-7	LK-72	EC-18	406088
LK-81	Badulla	[7.074508, 81.044898]	LK-8	LK-81	EC-19	815405
LK-82	Moneragala	[6.787468, 81.303753]	LK-8	LK-82	EC-20	451058
LK-91	Ratnapura	[6.586845, 80.566165]	LK-9	LK-91	EC-21	1088007
LK-92	Kegalle	[7.104189, 80.342871]	LK-9	LK-92	EC-22	840648
