id	dsd_id	name	province_id	district_id	centroid	population
LK-1103	LK-1103	Colombo	LK-1	LK-11	[6.945118825366809, 79.86162324179273]	323223.0
LK-1106	LK-1106	Kolonnawa	LK-1	LK-11	[6.934457493959711, 79.91573324628155]	191687.0
LK-1109	LK-1109	Kaduwela	LK-1	LK-11	[6.903621788796238, 79.97831838978774]	252041.0
LK-1112	LK-1112	Homagama	LK-1	LK-11	[6.833266322806927, 80.0159800696216]	237905.0
LK-1115	LK-1115	Seethawaka	LK-1	LK-11	[6.922816007772515, 80.14706506868951]	113807.0
LK-1118	LK-1118	Padukka	LK-1	LK-11	[6.834176145460165, 80.12211643629081]	65267.0
LK-1121	LK-1121	Maharagama	LK-1	LK-11	[6.856942341197085, 79.94263163522069]	196423.0
LK-1124	LK-1124	Sri Jayawardanapura Kotte	LK-1	LK-11	[6.891055973158327, 79.89875758827719]	107883.0
LK-1127	LK-1127	Thimbirigasyaya	LK-1	LK-11	[6.90009594517584, 79.8700167973238]	237748.0
LK-1130	LK-1130	Dehiwala	LK-1	LK-11	[6.858393681912415, 79.87567012805206]	88962.0
LK-1131	LK-1131	Ratmalana	LK-1	LK-11	[6.827079902684515, 79.87856649435403]	95506.0
LK-1133	LK-1133	Moratuwa	LK-1	LK-11	[6.7826733548607905, 79.89109551135626]	168280.0
LK-1136	LK-1136	Kesbewa	LK-1	LK-11	[6.803476388755985, 79.92835396064689]	245232.0
LK-1203	LK-1203	Negombo	LK-1	LK-12	[7.21322405998541, 79.8448352785552]	142136.0
LK-1206	LK-1206	Katana	LK-1	LK-12	[7.194278634553157, 79.88959872947986]	235291.0
LK-1209	LK-1209	Divulapitiya	LK-1	LK-12	[7.25400563016331, 80.00735604336951]	144506.0
LK-1212	LK-1212	Mirigama	LK-1	LK-12	[7.224957175110031, 80.12362485907575]	164580.0
LK-1215	LK-1215	Minuwangoda	LK-1	LK-12	[7.154861418000976, 79.97870613193238]	178331.0
LK-1218	LK-1218	Wattala	LK-1	LK-12	[7.035438553735119, 79.88081443892844]	175525.0
LK-1221	LK-1221	Ja-Ela	LK-1	LK-12	[7.0716636273732645, 79.90889707653976]	201521.0
LK-1224	LK-1224	Gampaha	LK-1	LK-12	[7.071002081506329, 79.99332384320522]	197667.0
LK-1227	LK-1227	Attanagalla	LK-1	LK-12	[7.11461176960893, 80.11001980510362]	179565.0
LK-1230	LK-1230	Dompe	LK-1	LK-12	[6.990665994589568, 80.09904899523401]	154005.0
LK-1233	LK-1233	Mahara	LK-1	LK-12	[7.029630373263808, 80.01556491245285]	207782.0
LK-1236	LK-1236	Kelaniya	LK-1	LK-12	[6.970154594143134, 79.90985013553859]	137339.0
LK-1239	LK-1239	Biyagama	LK-1	LK-12	[6.96896942987015, 79.97806727754268]	186585.0
LK-1303	LK-1303	Panadura	LK-1	LK-13	[6.715816335254973, 79.92314381295078]	182285.0
LK-1306	LK-1306	Bandaragama	LK-1	LK-13	[6.718941545765004, 79.97533709969916]	109236.0
LK-1309	LK-1309	Horana	LK-1	LK-13	[6.756295991159192, 80.05585964415289]	113364.0
LK-1310	LK-1310	Ingiriya	LK-1	LK-13	[6.76283110277295, 80.15180505127887]	53896.0
LK-1312	LK-1312	Bulathsinhala	LK-1	LK-13	[6.648437596762084, 80.17524722279308]	64600.0
LK-1315	LK-1315	Madurawala	LK-1	LK-13	[6.649362383169435, 80.09582693004147]	34381.0
LK-1318	LK-1318	Millaniya	LK-1	LK-13	[6.6584127777884925, 80.03184364895483]	52176.0
LK-1321	LK-1321	Kalutara	LK-1	LK-13	[6.618526079394365, 79.97182003252007]	159697.0
LK-1324	LK-1324	Beruwala	LK-1	LK-13	[6.489021455507894, 80.00486859639665]	164969.0
LK-1327	LK-1327	Dodangoda	LK-1	LK-13	[6.570909238615778, 80.04610096778843]	63960.0
LK-1330	LK-1330	Mathugama	LK-1	LK-13	[6.4883796984383935, 80.09075432528458]	81286.0
LK-1333	LK-1333	Agalawatta	LK-1	LK-13	[6.51477135482184, 80.17466448379486]	36669.0
LK-1336	LK-1336	Palindanuwara	LK-1	LK-13	[6.505990122290631, 80.2738694715262]	50801.0
LK-1339	LK-1339	Walallavita	LK-1	LK-13	[6.407343910901186, 80.18686555760048]	54628.0
LK-2103	LK-2103	Thumpane	LK-2	LK-21	[7.3666289679113515, 80.51433679152171]	37642.0
LK-2106	LK-2106	Pujapitiya	LK-2	LK-21	[7.400499985219852, 80.56605118995391]	57914.0
LK-2109	LK-2109	Akurana	LK-2	LK-21	[7.390799257118307, 80.61848231374866]	63397.0
