id	moh_id	name	province_id	district_id	ed_id	centroid	population
MOH-23001	MOH-23001	MATHURATA	LK-2	LK-23	EC-06	[7.062640667424255, 80.78697389753982]	29176
MOH-23002	MOH-23002	WALAPANE	LK-2	LK-23	EC-06	[7.129449552066069, 80.89004306576048]	44706
MOH-23003	MOH-23003	HANGURANKETHA	LK-2	LK-23	EC-06	[7.155934747199406, 80.77221862163314]	59352
MOH-23004	MOH-23004	KOTHMALE	LK-2	LK-23	EC-06	[7.039434806203021, 80.68526587588269]	62586
MOH-23005	MOH-23005	AMBAGAMUWA	LK-2	LK-23	EC-06	[6.941394803058401, 80.50631911175185]	81108
MOH-23006	MOH-23006	KOTAGALA	LK-2	LK-23	EC-06	[6.942634373156795, 80.62971485917863]	53183
MOH-23007	MOH-23007	NAWATHISPANE	LK-2	LK-23	EC-06	[7.0386303980822165, 80.60642540599068]	38594
MOH-23008	MOH-23008	NUWARA ELIYA	LK-2	LK-23	EC-06	[6.908405678216929, 80.77899293995767]	61691
MOH-23009	MOH-23009	NUWARA ELIYA MC	LK-2	LK-23	EC-06	[6.973856653845641, 80.77863455820203]	25256
MOH-23010	MOH-23010	RAGALA	LK-2	LK-23	EC-06	[7.035708258789675, 80.88139860372621]	59413
MOH-23011	MOH-23011	MASKELIYA	LK-2	LK-23	EC-06	[6.8183731909848015, 80.5640011219671]	70152
MOH-23012	MOH-23012	BOGAWANTHALAWA	LK-2	LK-23	EC-06	[6.806936924393114, 80.6734618930318]	54463
MOH-23013	MOH-23013	LINDULA	LK-2	LK-23	EC-06	[6.872168594710372, 80.71045211565152]	71964
MOH-32001	MOH-32001	MATARA MC	LK-3	LK-32	EC-08	[5.953694468382742, 80.53720247870493]	77156
MOH-32002	MOH-32002	MATARA PS	LK-3	LK-32	EC-08	[5.969965309630008, 80.57959093386896]	38649
MOH-32003	MOH-32003	WELIGAMA	LK-3	LK-32	EC-08	[5.967359882731203, 80.44496220789593]	72843
MOH-32004	MOH-32004	PASGODA	LK-3	LK-32	EC-08	[6.275885369079918, 80.60835698742484]	59160
MOH-32005	MOH-32005	THIHAGODA	LK-3	LK-32	EC-08	[6.010129805094282, 80.55999295034802]	33535
MOH-32006	MOH-32006	KIRINDA PUHULWELLA	LK-3	LK-32	EC-08	[6.046061073699223, 80.63729517636499]	20291
MOH-32007	MOH-32007	MALIMBADA	LK-3	LK-32	EC-08	[6.019324596214455, 80.49832052503857]	34856
MOH-32008	MOH-32008	PITABEDDARA	LK-3	LK-32	EC-08	[6.23924319166931, 80.47272225818669]	51186
MOH-32009	MOH-32009	ATHURALIYA	LK-3	LK-32	EC-08	[6.117275738008319, 80.508634024168]	32304
MOH-32010	MOH-32010	KOTAPOLA	LK-3	LK-32	EC-08	[6.3228609016190855, 80.53939855497602]	63255
MOH-32011	MOH-32011	MULATIYANA	LK-3	LK-32	EC-08	[6.14691551310665, 80.58650846902185]	50261
MOH-32012	MOH-32012	HAKMANA	LK-3	LK-32	EC-08	[6.09486593872586, 80.65003991104899]	31648
MOH-32013	MOH-32013	KAMBURUPITIYA	LK-3	LK-32	EC-08	[6.066377539312285, 80.56138261446588]	40969
MOH-32014	MOH-32014	WELIPITIYA	LK-3	LK-32	EC-08	[6.016564042200577, 80.43852213930255]	52098
MOH-32015	MOH-32015	AKURESSA	LK-3	LK-32	EC-08	[6.136287929274612, 80.43960344782465]	51108
MOH-32016	MOH-32016	DEVINUWARA	LK-3	LK-32	EC-08	[5.975776996267081, 80.61481710640984]	48253
MOH-32017	MOH-32017	DICKWELLA	LK-3	LK-32	EC-08	[5.985143977640161, 80.67363104593133]	54672
MOH-22001	MOH-22001	DAMBULLA	LK-2	LK-22	EC-05	[7.877955621011861, 80.72267842723024]	55098
MOH-22002	MOH-22002	YATAWATTA	LK-2	LK-22	EC-05	[7.552370908894113, 80.58849502362112]	23534
MOH-22003	MOH-22003	AMBANGANGA KORALE	LK-2	LK-22	EC-05	[7.558996070686532, 80.67858947677415]	12220
MOH-22004	MOH-22004	NAULA	LK-2	LK-22	EC-05	[7.698064126931309, 80.70563601103154]	22745
MOH-22005	MOH-22005	PALLEPOLA	LK-2	LK-22	EC-05	[7.647080973925818, 80.5988676721775]	22722
MOH-22006	MOH-22006	RATTOTA	LK-2	LK-22	EC-05	[7.488359079347909, 80.68754589020458]	41344
MOH-22007	MOH-22007	GALEWELA	LK-2	LK-22	EC-05	[7.775632792506644, 80.57008639657725]	52572
