id	name	country_id	province_id	district_id	ed_id	pd_id	centroid	population
EC-01A	Colombo North	LK	LK-1	LK-11	EC-01	EC-01A	[6.962235267815701, 79.86992966893676]	131012
EC-01B	Colombo Central	LK	LK-1	LK-11	EC-01	EC-01B	[6.933311281721041, 79.86153869964832]	192211
EC-01C	Borella	LK	LK-1	LK-11	EC-01	EC-01C	[6.917459865860785, 79.87294894724843]	89806
EC-01D	Colombo East	LK	LK-1	LK-11	EC-01	EC-01D	[6.891251170698533, 79.87639899507201]	93260
EC-01E	Colombo West	LK	LK-1	LK-11	EC-01	EC-01E	[6.891531084174009, 79.85853549497743]	54682
EC-01F	Dehiwala	LK	LK-1	LK-11	EC-01	EC-01F	[6.858393681912412, 79.8756701280519]	88962
EC-01G	Ratmalana	LK	LK-1	LK-11	EC-01	EC-01G	[6.827079902684504, 79.87856649435398]	95506
EC-01H	Kolonnawa	LK	LK-1	LK-11	EC-01	EC-01H	[6.934457493959719, 79.91573324628159]	191687
EC-01I	Kotte	LK	LK-1	LK-11	EC-01	EC-01I	[6.891055973158331, 79.89875758827729]	107883
EC-01J	Kaduwela	LK	LK-1	LK-11	EC-01	EC-01J	[6.903622967236592, 79.97828928792252]	252041
EC-01K	Avissawella	LK	LK-1	LK-11	EC-01	EC-01K	[6.890936546256575, 80.14250128834247]	164510
EC-01L	Homagama	LK	LK-1	LK-11	EC-01	EC-01L	[6.831278391937623, 80.02239513846453]	252469
EC-01M	Maharagama	LK	LK-1	LK-11	EC-01	EC-01M	[6.856942341197099, 79.94263163522075]	196423
EC-01N	Kesbewa	LK	LK-1	LK-11	EC-01	EC-01N	[6.804266455333093, 79.92833284918744]	245232
EC-01O	Moratuwa	LK	LK-1	LK-11	EC-01	EC-01O	[6.782673354860794, 79.89109551135638]	168280
EC-02A	Wattala	LK	LK-1	LK-12	EC-02	EC-02A	[7.0354385537351245, 79.88081443892816]	175525
EC-02B	Negombo	LK	LK-1	LK-12	EC-02	EC-02B	[7.214036302083143, 79.8456304078487]	142136
EC-02C	Katana	LK	LK-1	LK-12	EC-02	EC-02C	[7.19437151898143, 79.88971538944693]	232153
EC-02D	Divulapitiya	LK	LK-1	LK-12	EC-02	EC-02D	[7.253896767575316, 80.00617182329238]	141947
EC-02E	Mirigama	LK	LK-1	LK-12	EC-02	EC-02E	[7.225208198125755, 80.12379051354476]	164580
EC-02F	Minuwangoda	LK	LK-1	LK-12	EC-02	EC-02F	[7.1548612429554534, 79.97870591376683]	178331
EC-02G	Attanagalla	LK	LK-1	LK-12	EC-02	EC-02G	[7.114457415518677, 80.10915053328533]	178537
EC-02H	Gampaha	LK	LK-1	LK-12	EC-02	EC-02H	[7.070641351097315, 79.99301530047819]	197667
EC-02I	Ja Ela	LK	LK-1	LK-12	EC-02	EC-02I	[7.071663627373289, 79.9088970765398]	201521
EC-02J	Mahara	LK	LK-1	LK-12	EC-02	EC-02J	[7.028731284173429, 80.01466243376728]	207782
EC-02K	Dompe	LK	LK-1	LK-12	EC-02	EC-02K	[6.990571039902515, 80.0990604465857]	154005
EC-02L	Biyagama	LK	LK-1	LK-12	EC-02	EC-02L	[6.968969429870154, 79.97806727754273]	186585
EC-02M	Kelaniya	LK	LK-1	LK-12	EC-02	EC-02M	[6.970154594143167, 79.90985013553869]	137339
EC-03A	Panadura	LK	LK-1	LK-13	EC-03	EC-03A	[6.711938519588497, 79.919919904438]	160089
EC-03B	Bandaragama	LK	LK-1	LK-13	EC-03	EC-03B	[6.686246259925108, 80.0041963740803]	183608
EC-03C	Horana	LK	LK-1	LK-13	EC-03	EC-03C	[6.75926769565255, 80.09948882282923]	167260
EC-03D	Bulathsinhala	LK	LK-1	LK-13	EC-03	EC-03D	[6.640496236487794, 80.15708506792393]	109739
EC-03E	Mathugama	LK	LK-1	LK-13	EC-03	EC-03E	[6.525279837997575, 80.07079226087274]	145246
EC-03F	Kalutara	LK	LK-1	LK-13	EC-03	EC-03F	[6.618444098247074, 79.97210004724249]	157321
EC-03G	Beruwala	LK	LK-1	LK-13	EC-03	EC-03G	[6.489021521249326, 80.00486845459614]	164969
