id	valid	rejected	polled	electors	SLPP	UNP	UPFA	JVP	SLFP	ITAK	IG	CWC	IG2	SLMC	ACMC	AITC	EPDP	TULF	IG3	UPA	TMVP	UNFF	NC	UPA2	NPP	NFGG	IG4	DUNF	UPP	MNA	IG5	JSP	DNM	ELMSP	DUA	SDPT	SLNF	CPSL	SLMP	SPSL	LP	LSSP	ULF		USP	_ERROR	OWORS	NSSP	DNA	MJP	IG6	NSU	DLF	AITM	SEP	ONF
EC-01	1242439	26347	1268787	1652401	476869	410530	134148	104715	0	0	2157	2848	51009	0	0	0	0	0	5090	27167	0	3677	0	6222	4085	2771	419	1818	0	0	4413	154	0	226	0	0	3254	0	0	640	0	0	0	0	191	0	0	0	0	0	0	0	0	0	22	35
EC-01A	66557	1641	68195	92027	14033	30677	7338	3326	0	0	0	665	1128	0	0	0	0	0	218	6345	0	324	0	1099	0	647	0	0	0	0	0	0	0	0	0	0	759	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EC-01B	97643	2404	100054	135014	20589	45008	10766	4877	0	0	0	975	1658	0	0	0	0	0	315	9308	0	473	0	1610	0	951	0	0	0	0	0	0	0	0	0	0	1116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EC-01C	45624	1124	46748	63083	9620	21030	5031	2277	0	0	0	456	774	0	0	0	0	0	149	4350	0	221	0	753	0	443	0	0	0	0	0	0	0	0	0	0	521	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EC-01D	47377	1167	48544	65508	9990	21838	5224	2366	0	0	0	474	803	0	0	0	0	0	156	4517	0	229	0	782	0	461	0	0	0	0	0	0	0	0	0	0	540	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EC-01E	27779	685	28463	38410	5858	12805	3062	1387	0	0	0	278	471	0	0	0	0	0	90	2647	0	136	0	459	0	269	0	0	0	0	0	0	0	0	0	0	318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EC-01F	44838	890	45728	62562	17376	17837	5284	3639	0	0	0	0	0	0	0	0	0	0	0	0	0	311	0	393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EC-01G	48136	957	49092	67163	18652	19148	5673	3904	0	0	0	0	0	0	0	0	0	0	0	0	0	331	0	422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EC-01H	101260	2189	103443	130203	39567	39013	13002	7977	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	704	0	0	0	780	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	191	0	0	0	0	0	0	0	0	0	22	0
EC-01I	53289	1264	54553	74478	22068	17989	7675	4886	0	0	115	0	0	0	0	0	0	0	0	0	0	522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35
