entity_id	valid	rejected	polled	electors	UNP	PA	SU	ACTC	NUA	JVP	CWC	NLF	NPP	PP	TLP	SLMK	SMBP	IG3	ULF	MULF	SEP	IG2	DUNF	IG4	IG5	PFF	RJP	IG1	SLPF
EC-01	0	0	0	0	440395	393874	49398	5090	26802	77847	4406	3593	1137	2597	282	138	938	599	390	1044	191	223	95	13	20	3	42	1	37
EC-01A	0	0	0	0	33206	13416	1037	906	3144	2026	1092	276	44	152	1	30	19	20	42	55	2	41	12	0	2	0	0	1	1
EC-01B	0	0	0	0	57567	20401	1670	736	16406	2794	1234	364	82	1224	3	24	34	62	66	784	15	82	13	0	4	0	3	0	35
EC-01C	0	0	0	0	19584	14022	2104	133	1438	1987	206	159	38	139	26	3	34	10	19	51	14	53	12	3	8	0	8	0	0
EC-01D	0	0	0	0	22230	13919	2935	923	530	2841	407	228	93	165	31	25	48	6	23	27	21	12	8	2	0	0	30	0	0
EC-01E	0	0	0	0	15477	4995	1414	1368	923	705	286	250	102	89	84	32	18	17	13	13	9	6	2	2	1	1	1	0	0
EC-01F	0	0	0	0	19639	14374	3192	615	968	2546	114	185	76	52	29	16	50	43	16	16	14	0	4	0	0	0	0	0	0
EC-01G	0	0	0	0	18548	17879	3349	203	541	4447	52	149	86	75	48	6	66	415	20	38	20	1	11	1	4	0	0	0	0
EC-01H	0	0	0	0	30498	32371	2583	0	1665	5717	183	182	55	97	0	0	45	0	9	29	6	0	4	0	0	0	0	0	0
EC-01I	0	0	0	0	22198	20239	4871	8	257	3556	34	144	95	110	25	0	75	4	17	4	13	15	4	0	1	0	0	0	0
EC-01J	0	0	0	0	35762	43445	4672	0	79	11240	0	252	101	56	8	0	110	0	42	3	8	0	3	0	0	0	0	0	0
EC-01K	0	0	0	0	26616	33937	1038	0	266	4384	777	314	0	15	0	0	10	0	12	0	0	0	0	0	0	0	0	0	0
EC-01L	0	0	0	0	33880	41286	3235	0	2	8710	0	303	19	50	0	0	51	0	50	3	0	0	2	0	0	0	0	0	0
EC-01M	0	0	0	0	28932	36977	6284	0	71	8150	0	232	126	107	20	0	126	0	39	0	24	11	11	0	0	0	0	0	0
EC-01N	0	0	0	0	34938	41941	6176	0	0	10183	0	299	87	60	3	0	165	0	12	18	3	0	2	0	0	0	0	0	0
EC-01O	0	0	0	0	35550	36864	3701	148	461	6827	0	210	101	181	4	0	36	16	4	1	33	0	2	0	0	0	0	0	0
EC-01P	0	0	0	0	5770	7808	1137	50	51	1734	21	46	32	25	0	2	51	6	6	2	9	2	5	5	0	2	0	0	1
EC-02	0	0	0	0	377727	469438	19721		10471	72514		2914		234	10		871	3	461			0	29	1	2	1	2	7	5
EC-02A	0	0	0	0	32550	28993	1299		167	4121		206		33	0		40	1	57			0	4	0	0	0	0	3	0
EC-02B	0	0	0	0	28961	24807	956		2573	2539		264		8	2		11	0	46			0	5	0	0	0	0	0	0
EC-02C	0	0	0	0	30120	42284	1538		183	3865		275		9	0		11	1	35			0	4	0	0	0	0	0	0
EC-02D	0	0	0	0	28833	32239	594		0	3232		191		0	0		1	0	28			0	0	0	0	0	0	0	0
EC-02E	0	0	0	0	29950	33040	742		910	6658		234		2	0		11	0	20			0	0	0	0	0	0	0	0
EC-02F	0	0	0	0	29962	38292	1470		350	6080		210		1	0		172	0	24			0	0	0	0	0	0	0	0
EC-02G	0	0	0	0	23166	42456	1247		3396	6158		214		9	0		36	1	16			0	1	0	0	0	0	1	1
EC-02H	0	0	0	0	27741	45346	2380		1	8230		240		52	0		109	0	15			0	2	0	0	0	0	0	0
EC-02I	0	0	0	0	33061	38121	2154		13	6168		235		13	0		38	0	46			0	1	0	0	0	0	1	0
EC-02J	0	0	0	0	29984	40836	1933		293	7442		218		28	0		64	0	59			0	6	0	0	0	0	0	0
EC-02K	0	0	0	0	24982	35826	908		143	4512		247		0	0		2	0	28			0	0	0	0	0	0	0	0
EC-02L	0	0	0	0	27028	30806	1517		2013	5771		177		22	0		160	0	42			0	0	0	0	0	0	0	0
EC-02M	0	0	0	0	24027	24715	2275		386	5629		160		38	0		151	0	41			0	1	0	0	0	0	0	0
EC-02P	0	0	0	0	7362	11677	708		43	2109		43		19	8		65	0	4			0	5	1	2	1	2	2	4
EC-03	0	0	0	0	216841	254814	15246		11542	37994		2534		264		4	248	0				0	8	42	3	0	0	0	0
EC-03A	0	0	0	0	25964	30816	4003		2820	7017		328		43		0	112	0				0	4	2	0	0	0	0	0
EC-03B	0	0	0	0	27383	35812	2707		1626	5481		267		3		0	22	0				0	0	7	0	0	0	0	0
EC-03C	0	0	0	0	27213	36609	1188		29	4146		403		19		0	28	0				0	0	1	0	0	0	0	0
EC-03D	0	0	0	0	22764	24268	549		419	1990		216		5		0	5	0				0	1	0	0	0	0	0	0
EC-03E	0	0	0	0	25465	29915	1597		470	4658		373		26		0	2	0				0	0	4	0	0	0	0	0
EC-03F	0	0	0	0	26597	31430	2383		2422	5475		240		3		0	35	0				0	0	0	0	0	0	0	0
EC-03G	0	0	0	0	29354	30141	1525		3631	3944		257		148		0	3	0				0	3	21	0	0	0	0	0
EC-03H	0	0	0	0	27601	28470	776		87	4060		425		5		0	20	0				0	0	7	0	0	0	0	0
EC-03P	0	0	0	0	4500	7353	518		38	1223		25		12		4	21	0				0	0	0	3	0	0	0	0
EC-04	0	0	0	0	243028	281678	10407		31455	20975	5648	2237		784	39	9	294	2				12	12	19	0		0	2	
EC-04A	0	0	0	0	15337	15985	268		994	1083	0	117		0	0	0	0	0				0	0	0	0		0	0	
EC-04B	0	0	0	0	35737	34083	1501		10896	3636	21	237		13	0	0	4	0				0	0	0	0		0	0	
EC-04C	0	0	0	0	13770	24201	488		3242	983	425	139		171	0	0	2	0				0	0	0	0		0	0	
EC-04D	0	0	0	0	13765	17845	8		2	688	6	152		47	0	0	0	0				0	0	0	0		0	0	
EC-04E	0	0	0	0	10322	13836	106		423	793	725	160		159	0	0	0	0				1	0	0	0		0	0	
EC-04F	0	0	0	0	22068	21861	854		844	2277	927	120		137	0	0	23	0				0	1	6	0		0	0	
