entity_id	valid	rejected	polled	electors	UNP	PA	TULF	JVP	SU	DLF	NLF	EPDP	USP	ULF	SLMK	SEP	SMBP	IND4	IND2	IND3	JSP	RJP	SLPF	IND1	SLNF
EC-01	1058206	40625	1099088	1457846	546140	353133	12530	117126	16693	3046	3176	376	1220	819	67	51	224	10	5	1	9	1	14	3	2
EC-01A	59444	3347	62795	86837	41048	11787	2478	3093	337	133	179	58	137	72	11	5	1	1	2	0	1	0	11	0	1
EC-01B	106958	5688	112656	159404	80305	19138	1637	3871	719	165	297	65	303	200	37	0	5	1	0	0	0	0	3	0	1
EC-01C	41384	1595	42982	61370	24346	12707	239	2869	781	82	131	16	61	54	8	10	19	0	0	0	0	0	0	0	0
EC-01D	45742	1852	47597	66732	26632	11804	2072	3609	959	200	138	84	98	36	0	8	22	5	0	0	5	1	0	2	0
EC-01E	27286	954	28244	41904	18017	4050	3496	923	393	126	81	54	39	29	7	7	7	2	1	0	0	0	0	0	0
EC-01F	43550	1442	44996	61213	24211	12678	1428	3778	937	184	114	19	30	25	0	0	21	0	0	0	0	0	0	0	0
EC-01G	48606	1657	50271	67905	23425	17338	565	5744	1008	125	172	18	46	29	1	9	27	0	0	0	1	0	0	0	0
EC-01H	76395	2739	79152	102652	37231	28444	15	8847	980	161	214	8	99	55	1	0	30	0	0	0	0	0	0	0	0
EC-01I	53874	1688	55573	74130	27708	18561	63	5264	1683	193	144	2	37	32	1	4	22	0	0	0	1	0	0	0	0
EC-01J	101684	3190	104900	135522	43303	39207	0	16575	1514	275	255	6	88	63	0	0	11	0	0	0	0	0	0	0	0
EC-01K	70511	3271	73837	93574	32733	29126	0	7066	464	220	281	3	38	47	0	0	0	0	0	0	0	0	0	0	0
EC-01L	93760	3685	97479	127376	39894	37347	0	14112	1183	302	339	3	47	52	0	0	1	0	0	0	0	0	0	0	0
EC-01M	84480	2584	87084	114834	35912	32780	19	12755	2083	277	252	17	45	35	0	0	24	0	0	0	0	0	0	0	0
EC-01N	99300	3318	102658	131537	42224	37780	0	16009	2133	324	317	0	59	33	0	0	12	0	0	0	0	0	0	0	0
EC-01O	88125	3274	91416	115408	42132	33609	427	9914	1140	204	235	16	88	50	0	4	10	0	0	0	0	0	0	0	0
EC-01P	17107	341	17448	17448	7019	6777	91	2697	379	75	27	7	5	7	1	4	12	1	2	1	1	0	0	1	0
EC-02	994645	37562	1032842	1306095	436700	428218		113402	7524		2917		232	123	1		49	3	2	1		16	1	2	0
EC-02A	69825	2767	72618	92129	37568	24635		6619	489		199		36	15	0		1	0	0	0		0	0	0	0
EC-02B	62355	3024	65397	85766	35659	21792		4120	246		245		38	18	0		0	0	0	0		0	0	0	0
EC-02C	83051	3117	86210	106469	35037	39460		7346	512		260		16	13	0		0	0	0	0		0	0	0	0
EC-02D	67527	2604	70202	86991	31378	29595		5756	238		138		0	0	0		0	0	0	0		0	0	0	0
EC-02E	75572	3255	78902	100759	33327	30943		10071	383		206		5	2	0		0	0	0	0		0	0	0	0
EC-02F	77847	2840	80753	103396	32661	34293		9570	579		201		2	3	0		0	0	0	0		0	0	0	0
EC-02G	79740	3412	83235	105953	29542	39458		9280	618		257		1	1	0		1	0	0	0		1	0	0	0
EC-02H	88407	2854	91310	116714	32432	41471		12736	1041		267		1	1	0		1	0	0	0		0	0	0	0
EC-02I	83840	2491	86368	109773	38187	34493		9825	680		255		29	28	0		0	0	0	0		1	0	0	0
EC-02J	85079	3110	88231	113124	34857	37454		11218	787		261		16	3	0		1	0	0	0		1	0	0	0
EC-02K	70306	2496	72882	91399	28644	33131		7486	273		229		0	3	0		0	0	0	0		0	0	0	0
EC-02L	71354	2592	73974	93710	32856	28756		8642	523		196		56	20	0		1	0	0	0		11	0	0	0
EC-02M	59514	2513	62045	79197	27156	23402		7572	915		156		24	13	0		23	0	0	0		0	0	0	0
EC-02P	20228	487	20715	20715	7396	9335		3161	240		47		8	3	1		21	3	2	1		2	1	2	0
EC-03	553247	32234	585856	730921	253961	226096		60056	4728		1984		1780				25	3	2	0	2	4		0	1
EC-03A	72927	3618	76585	96452	31979	29256		9402	1337		258		199				19	0	0	0	0	0		0	0
EC-03B	76493	3859	80412	98814	33225	32913		8484	788		271		202				1	0	0	0	0	0		0	0
EC-03C	71596	3733	75370	91922	31415	31749		6962	432		299		171				0	0	0	0	0	0		0	0
EC-03D	50398	3681	54126	67744	24542	20864		3926	173		154		190				0	0	0	0	0	0		0	0
EC-03E	64138	4419	68608	88131	29238	25711		7644	497		231		221				0	0	0	0	0	0		0	0
EC-03F	71367	3867	75271	95653	32303	28646		8723	696		220		243				0	0	0	0	0	0		0	0
EC-03G	70390	3867	74293	92620	36667	25596		6539	413		277		318				0	0	0	0	0	0		0	0
EC-03H	62685	4898	67646	86040	29669	25086		6538	232		253		228				0	0	0	0	0	0		0	0
EC-03P	13253	292	13545	13545	4923	6275		1838	160		21		8				5	3	2	0	2	4		0	1
EC-04	594993	41498	637083	858726	313705	233036		36558	3431		3329						16	1	11	2	32	0	0	3	0
EC-04A	34000	1966	36024	48579	18115	13657		1626	49		157						0	0	0	0	0	0	0	0	0
EC-04B	90780	6720	97592	126714	53156	28538		7407	497		417						0	0	0	0	0	0	0	0	0
EC-04C	42024	3035	45091	67292	19426	19876		2039	153		235						0	0	0	0	0	0	0	0	0
EC-04D	33750	3889	37697	49469	17423	14053		1643	15		236						0	0	0	0	0	0	0	0	0
EC-04E	27184	2732	29967	37853	13745	11232		1650	7		223						0	0	0	0	0	0	0	0	0
EC-04F	49848	3374	53258	70347	26774	18870		3314	292		241						1	0	1	0	0	0	0	0	0
EC-04G	25753	2175	27982	57800	14004	10321		944	18		146						0	0	0	0	0	0	0	0	0
EC-04H	44726	2232	46975	61654	25120	15265		3232	626		199						4	0	4	0	6	0	0	0	0
EC-04I	25528	1141	26679	35339	16753	6479		1541	540		80						1	0	1	0	11	0	0	0	0
EC-04J	49426	2467	51943	66470	24827	20266		3193	462		298						0	0	0	0	1	0	0	0	0
EC-04K	47680	3006	50750	65805	28038	15930		2795	230		230						0	0	0	0	0	0	0	0	0
EC-04L	52947	4296	57285	77817	25052	24759		2130	189		426						0	0	0	0	2	0	0	0	0
EC-04M	51426	3747	55201	72948	22079	25600		2782	158		403						0	0	0	0	0	0	0	0	0
EC-04P	19921	718	20639	20639	9193	8190		2262	195		38						10	1	5	2	12	0	0	3	0
EC-05	217806	15184	233269	306924	109710	88728		15789			1546			102	3						0	0			0
EC-05A	71285	5143	76518	102218	33980	29202		6874			570			37	1						0	0			0
EC-05B	39722	2669	42466	56167	16040	20863		2064			324			4	0						0	0			0
EC-05C	46815	3054	49924	66982	28427	14988		2762			253			36	0						0	0			0
EC-05D	52515	4193	56767	73963	28021	20445		3112			385			24	0						0	0			0
EC-05P	7469	125	7594	7594	3242	3230		977			14			1	2						0	0			0
EC-06	314851	28128	343226	423141	214915	77491		10834	439	196	1451		995					0	1	0	6		0	1	0
EC-06A	172235	14027	186340	228247	130568	28670		4157	359	57	780		749					0	0	0	5		0	0	0
EC-06B	46290	3592	49919	62188	29501	14373		1461	23	0	199		100					0	0	0	0		0	0	0
EC-06C	42250	5149	47471	59987	25565	13547		2436	8	0	180		55					0	0	0	0		0	0	0
EC-06D	48055	5274	53389	66612	26368	18523		2121	18	132	280		86					0	0	0	0		0	0	0
EC-06P	6021	86	6107	6107	2913	2378		659	31	7	12		5					0	1	0	1		0	1	0
EC-07	541504	24105	566020	712030	238542	232492		61377	1869	226	1999		233	47				1	0	0			2	2	1
EC-07A	34384	1397	35809	47750	16007	13931		3908	155	0	128		11	0				0	0	0			0	0	0
EC-07B	47167	1905	49105	61778	20257	20368		5726	194	0	248		7	2				0	0	0			0	0	0
EC-07C	44880	1980	46886	60242	18601	18897		6691	85	0	209		10	10				0	0	0			0	0	0
EC-07D	60016	2762	62831	78910	25000	26682		7247	227	0	236		23	14				0	0	0			0	0	0
EC-07E	67406	2975	70447	83231	29597	30084		6652	37	0	281		57	2				0	0	0			0	0	0
EC-07F	62468	3872	66367	80975	27385	28276		5663	94	0	294		37	6				0	0	0			0	0	0
EC-07G	52992	2305	55348	71537	22441	23969		5665	226	22	166		22	4				0	0	0			0	0	0
EC-07H	49291	1980	51299	68926	27490	15616		5235	381	190	68		41	4				0	0	0			0	0	0
EC-07I	56518	2404	58977	73345	24744	25510		5372	195	1	163		20	1				0	0	0			0	0	0
EC-07J	52686	2307	55037	71422	21572	23455		6834	164	0	188		1	1				0	0	0			0	0	0
EC-07P	13696	218	13914	13914	5448	5704		2384	111	13	18		4	3				1	0	0			2	2	1
EC-08	403637	20489	424468	543614	171324	170821		54153	1543		2456		515				3	0	0	1	0		0	1	
EC-08A	58379	3982	62410	77496	26064	24356		6734	91		525		127				0	0	0	0	0		0	0	
EC-08B	56098	3827	59984	77878	23400	24526		7043	131		458		111				0	0	0	0	0		0	0	
EC-08C	60675	3116	63843	79801	25320	25244		9065	130		388		89				0	0	0	0	0		0	0	
EC-08D	52479	2736	55270	72534	21933	23135		6422	170		331		20				0	0	0	0	0		0	0	
EC-08E	51567	2076	53693	70368	22447	19982		8333	181		240		44				0	0	0	0	0		0	0	
EC-08F	56570	1953	58559	75270	24345	24448		6734	508		218		40				0	0	0	0	0		0	0	
EC-08G	58863	2565	61469	81027	24196	25657		8014	255		286		72				0	0	0	0	0		0	0	
EC-08P	9006	234	9240	9240	3619	3473		1808	77		10		12				3	0	0	1	0		0	1	
EC-09	280887	13101	294249	375841	112239	104890		59408	358		1814			44					1	1			1	2	0
EC-09A	59929	3228	63226	82296	25775	22548		10521	65		439			4					0	0			0	0	0
EC-09B	51738	2423	54218	70500	20398	21203		9316	35		327			1					0	0			0	0	0
EC-09C	70949	2957	73975	94058	25469	26674		17677	146		433			9					0	0			0	0	0
EC-09D	91331	4380	95777	121934	37866	32091		20109	79		603			29					0	0			0	2	0
EC-09P	6940	113	7053	7053	2731	2374		1785	33		12			1					1	1			1	0	0
EC-10	182721	10152	193120	635551	15760		101461	88	39	1893	221	56623	220												
EC-10A	20537	732	21311	51024	716		4253	0	0	0	0	15324	0												
EC-10B	18630	1461	20108	60948	3424		9783	31	0	441	38	4589	54												
