entity_id	valid	rejected	polled	electors	UNP	UPFA	JHU	NLF	S	JSP	UMPA	EPDP	USP	NPP	ULF	SLMK	SEP	IP2D	IP7D	IP1D	IP4D	IP6D	SMBP	IP5D	IP8D	SLNF	IP3D	IP9D	RJP	SLPF
EC-01	1057581	38334	1096293	1484228	441566	414411	190349	1765	248	2146	611	282	594	1004	300	41	28	4	594	0	3	1	27	0	0	0	0	1	0	24
EC-01A	57515	3427	60952	86383	40382	12719	3405	170	2	410	71	41	87	20	52	1	5	0	37	0	1	0	1	0	0	0	0	1	0	1
EC-01B	100115	5439	105580	153749	71583	17670	8869	212	82	220	307	53	193	35	107	23	0	1	489	0	0	1	0	0	0	0	0	0	0	23
EC-01C	40876	1453	42347	62718	21540	12480	6358	86	26	105	57	8	24	37	17	7	8	2	51	0	0	0	0	0	0	0	0	0	0	0
EC-01D	45570	1686	47262	67881	23736	12136	9114	163	34	88	36	61	52	42	21	2	8	0	1	0	0	0	7	0	0	0	0	0	0	0
EC-01E	25907	866	26781	40206	19081	3610	2822	147	51	40	18	17	16	16	16	7	1	1	1	0	0	0	0	0	0	0	0	0	0	0
EC-01F	42079	1165	43252	60151	19857	12569	9240	105	16	55	16	22	22	36	11	0	0	0	1	0	0	0	6	0	0	0	0	0	0	0
EC-01G	47189	1525	48726	67169	18442	19278	9079	64	20	77	17	20	25	44	13	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
EC-01H	77503	2811	80337	106311	29518	32954	14288	84	0	171	57	4	47	56	5	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0
EC-01I	53348	1404	54760	74151	19627	20062	13183	84	14	131	19	2	17	44	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
EC-01J	105043	3288	108365	143613	32746	53036	18456	116	0	175	3	16	23	87	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EC-01K	72439	3441	75939	97959	28552	37324	5900	81	0	43	0	0	14	15	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EC-01L	96994	3467	100533	135201	28982	49473	17725	81	0	135	0	0	9	135	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EC-01M	86302	2141	88467	118301	22317	37901	25364	114	0	157	0	16	11	142	13	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0
EC-01N	102902	2799	105737	137246	26270	45906	29814	84	0	177	0	3	3	212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EC-01O	87347	3117	90498	116432	34292	38811	13472	144	0	147	8	15	50	82	30	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
EC-01P	16452	305	16757	16757	4641	8482	3260	30	3	15	2	4	1	1	1	1	4	0	0	0	2	0	5	0	0	0	0	0	0	0
EC-02	989157	40879	1030863	1347912	366986	509379	101938	443	14	4025			2266			0		0	1	1	0	1	22	0	0	0	1	1	0	1
EC-02A	67798	2737	70572	91886	34018	28326	4500	75	0	454			213			0		0	0	0	0	0	0	0	0	0	0	1	0	0
EC-02B	60695	2827	63543	88755	33691	24335	1739	130	0	367			255			0		0	0	0	0	0	0	0	0	0	0	0	0	0
EC-02C	81129	3229	84414	110671	31877	41782	6215	58	0	600			248			0		0	0	0	0	0	16	0	0	0	0	0	0	0
EC-02D	66758	2821	69673	90290	26206	34198	5611	0	0	210			175			0		0	0	0	0	0	0	0	0	0	0	0	0	0
EC-02E	74660	3597	78355	104044	27446	39774	6700	0	0	123			190			0		0	0	0	0	0	0	0	0	0	0	0	0	0
EC-02F	79625	3113	82822	107618	28572	40970	9233	2	0	278			186			0		0	0	0	0	0	0	0	0	0	0	0	0	0
EC-02G	79052	3779	82929	109655	24203	45457	8667	1	0	108			161			0		0	0	0	0	0	0	0	0	0	0	0	0	0
EC-02H	88524	3434	92033	120787	24602	51895	11308	2	0	275			63			0		0	0	0	0	0	0	0	0	0	0	0	0	0
EC-02I	83767	2971	86784	113531	34221	42423	5979	64	0	644			208			0		0	0	0	0	0	0	0	0	0	0	0	0	0
EC-02J	86451	3404	89914	117781	26971	47515	11148	28	0	333			132			0		0	0	0	0	0	0	0	0	0	0	0	0	0
EC-02K	69797	3004	72892	94687	23046	40258	5879	0	0	95			125			0		0	0	0	0	0	0	0	0	0	0	0	0	0
EC-02L	71255	2562	73850	96546	24673	34476	11408	27	0	281			170			0		0	0	0	0	0	0	0	0	0	0	0	0	0
EC-02M	58719	2977	61730	80309	21430	25754	10940	35	13	232			130			0		0	0	0	0	0	0	0	0	0	0	0	0	0
EC-02P	20927	424	21352	21352	6030	12216	2611	21	1	25			10			0		0	1	1	0	1	6	0	0	0	1	0	0	1
