entity_id	valid	rejected	polled	electors	UNP	UPFA	DNA	TULF	LLF	ELPP	UNAF	IG1C	USP	SLNF	SEP	ONF	UDF	JSP	MNA	SMBP	IG6C	CDUA	SLLP	IG4C	NPP	IG2C	OWORS	PNF	IG9C	IG5C	ELMS	IG7C	IG8C	IG3C	OWOS	JS	J	OORS
EC-01	938434	50087	989453	1542181	339471	480616	110408	709	503	1548	119	0	190	689	22	121	11	57	30	0	1	1	3	4	1	1	33	1	7	0	38	4	1	1	3	0	79	0
EC-01A	50853	4490	55398	95379	30819	15971	3220	133	109	87	39	0	49	96	8	20	2	34	7	0	0	0	0	1	0	0		0	7	0	7	2	0	0			79	0
EC-01B	80580	6595	87285	139807	51410	21781	6233	77	129	290	40	0	57	13	0	17	4	5	17	0	0	0	0	3	0	1	23	0	0	0	23	0	0	0				
EC-01C	34110	1995	36156	58753	16418	13658	3616	3	76	86	10	0	18	17	3	3	2	8	0	0	0	0	0	0	0	0		0	0	0	3	0	0	0	3			
EC-01D	38973	2559	41554	68639	19237	14658	4605	173	36	77	7	0	36	16	2	2	0	0	5	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0				
EC-01E	20290	1281	21591	38919	13052	5167	1672	180	66	36	16	0	9	7	6	2	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
EC-01F	35846	1597	37467	61185	15825	15465	4248	85	40	46	2	0	2	0	0	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0		
EC-01G	40231	1985	42248	66616	15376	19480	5054	41	29	72	0	0	12	29	0	11	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0			
EC-01H	70526	3840	74421	112342	23926	37757	8348	0	0	152	1	0	0	24	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
EC-01I	46123	1869	48025	72999	16365	22789	6716	0	4	63	1	0	1	11	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0				
EC-01J	95167	4167	99424	158708	23517	56510	14429	0	0	161	0	0	0	200	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
EC-01K	64699	4172	68981	108087	16674	42208	5380	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
EC-01L	95211	4163	99476	155676	26797	57904	10060	0	0	73	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0			
EC-01M	75782	2992	78842	121230	18915	44179	12293	0	0	103	0	0	0	39	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
EC-01N	96078	4126	100301	148658	21918	60105	13499	0	0	145	0	0	0	45	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
EC-01O	74459	3705	78221	114580	25337	40347	8139	8	4	70	2	0	1	176	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	0	0				
EC-01P	19506	551	20063	20603	3885	12637	2896	9	10	21	1	0	5	13	3	4	1	4	0	0	1	1	3	0	1	0	3	1	0	0	1	0	1	1				
EC-02	929166	49652	979874	1506373	265938	588879	69153				10			197			8	37					2				4	1			0							
EC-02A	63397	4306	67761	103869	26634	31418	4906				4			69			0	0					0				0	0			0							
EC-02B	53994	3694	57730	96008	23969	26054	3441				0			0			0	32					0				0	0			0							
EC-02C	78543	4987	83578	127383	22881	49723	5187				0			13			0	0					0				0	0			0							
EC-02D	60102	3957	64125	99680	17966	38896	2871				0			5			0	0					0				0	0			0							
EC-02E	68020	3446	71599	114489	17898	45353	4413				0			2			0	0					0				0	0			0							
EC-02F	73815	3615	77553	120797	19230	48972	5212				0			0			0	0					0				0	0			0							
EC-02G	72842	3695	76648	120824	15833	51096	5555				0			1			0	0					0				0	0			0							
EC-02H	83650	3876	87650	133552	17927	58215	7132				0			16			0	0					0				0	0			0							
EC-02I	77268	4180	81509	127794	26367	43891	6517				0			54			0	0					0				0	0			0							
EC-02J	82926	3878	86888	134536	20342	55281	6983				0			0			0	0					0				0	0			0							
EC-02K	64347	3452	67890	104089	14120	46287	3640				0			0			0	0					0				0	0			0							
EC-02L	67133	2975	70156	107761	20417	41456	5063				0			0			0	0					0				0	0			0							
EC-02M	52232	2652	54932	83086	16462	30262	5303				0			0			0	0					0				0	0			0							
EC-02P	30897	939	31855	32505	5892	21975	2930				6			37			8	5					2				4	1			0							
EC-03	492016	51360	544223	834807	139226	313465	36338		4		2			82		19	2	1		3			2				1	0			1							
EC-03A	63378	5814	69286	105533	17990	37789	7311		2		0			0		1	0	0		0			0				0	0			0							
EC-03B	70026	7068	77205	118886	18965	44868	5744		0		0			0		7	0	0		0			0				0	0			0							
EC-03C	65141	6051	71334	108733	16572	44093	3973		0		0			79		1	0	0		0			0				0	0			0							
EC-03D	43006	5684	48777	74945	11687	29476	1524		0		0			0		0	0	0		0			0				0	0			0							
EC-03E	56425	6519	63045	99693	17246	35873	2939		0		0			0		0	0	0		0			0				0	0			0							
EC-03F	60934	6009	67023	106833	16797	38256	5546		0		0			0		0	0	0		0			0				0	0			0							
EC-03G	60373	6601	67067	104321	21695	32669	5676		0		1			0		3	0	0		0			0				0	0			0							
EC-03H	52016	6787	58936	93910	14339	35478	1842		0		0			0		0	0	0		0			0				0	0			0							
EC-03P	20717	827	21550	21953	3935	14963	1783		2		1			3		7	2	1		3			2				1	0			1							
EC-04	558221	57747	616961	1000268	192210	339250	23129		2		12			608				3		1		4	1					1			1							
EC-04A	28274	2941	31301	52497	8773	18137	1148		0		0			0				0		0		0	0					0			0							
EC-04B	79907	8256	88309	147387	30027	45939	3457		0		0			2				0		0		0	0					0			0							
EC-04C	41887	5144	47094	78655	16182	23926	1445		0		3			97				0		0		0	0					0			0							
EC-04D	28959	4107	33167	55576	7490	20796	462		0		0			0				0		0		0	0					0			0							
EC-04E	22869	3499	26434	45097	7687	14232	754		0		0			3				0		0		0	0					0			0							
EC-04F	45441	4743	50260	85815	16246	26034	2735		0		1			167				0		0		0	0					0			0							
EC-04G	34804	4713	39597	65126	13097	20798	684		0		0			1				0		0		0	0					0			0							
EC-04H	40162	2913	43116	72880	15389	21410	2941		0		0			258				0		0		0	0					0			0							
EC-04I	20962	1379	22356	36928	10216	9177	1442		0		0			42				0		0		0	0					0			0							
EC-04J	43116	3816	46993	76950	14572	26369	1939		0		0			0				0		0		0	0					0			0							
EC-04K	43754	3982	47817	76750	15526	26096	1884		0		0			0				0		0		0	0					0			0							
EC-04L	48362	6742	55201	91103	19107	27806	1194		0		3			0				0		0		0	0					0			0							
EC-04M	51007	4228	55304	85099	11617	38122	1092		0		0			0				0		0		0	0					0			0							
EC-04P	28717	1284	30012	30405	6281	20408	1952		2		5			38				3		1		4	1					1			1							
EC-05	195292	19034	214794	356783	55465	130798	7362		0		2			11		10	3	4		1			3				1	1			0							
EC-05A	60779	5853	66746	119369	14999	42770	2561		0		0			0		1	0	0		0			0				0	0			0							
EC-05B	37068	3140	40350	64623	8404	27700	620		0		0			0		2	0	0		0			0				0	0			0							
EC-05C	40579	3932	44605	75101	14602	23677	1914		0		0			4		4	0	0		0			0				0	0			0							
EC-05D	43318	5505	48936	83311	14606	26758	1512		0		0			0		0	0	0		0			0				0	0			0							
EC-05P	13548	604	14157	14379	2854	9893	755		0		2			7		3	3	4		1			3				1	1			0							
EC-06	265719	36987	303228	467097	96651	148865	3730		0		23		158	2	1		2	1		116			1					0			0							
EC-06A	146158	19902	166267	247002	59266	72696	1319		0		15		156	0	0		0	0		0			0					0			0							
EC-06B	40294	5280	45663	70685	13510	24743	650		0		0		1	0	0		0	0		0			0					0			0							
EC-06C	30704	5079	35892	65906	10298	18800	924		0		0		0	0	0		0	0		98			0					0			0							
EC-06D	39307	6356	45777	73309	11497	25954	443		0		1		1	0	0		0	0		1			0					0			0							
EC-06P	9256	370	9629	10195	2080	6672	394		0		7		0	2	1		2	1		17			1					0			0							
EC-07	460951	23577	484957	786694	119655	304850	33228				8		9	141	3		5	3		2											5							
EC-07A	26700	1252	27979	50081	7273	17347	1876				0		0	2	0		0	0		0											0							
EC-07B	39473	2125	41634	68751	8894	26177	4147				0		0	0	0		0	0		0											0							
EC-07C	38303	1645	39979	66998	8656	27244	1994				0		0	126	0		0	0		0											0							
EC-07D	48515	2563	51124	84719	12546	32879	2745				0		0	5	0		0	0		0											0							
EC-07E	58655	3589	62312	94171	15541	40005	2647				0		1	0	0		0	0		0											0							
EC-07F	52783	3527	56362	89744	14060	35674	2640				0		0	0	0		0	0		0											0							
EC-07G	41499	1993	43539	74392	9684	28763	2773				0		0	0	0		0	0		0											0							
EC-07H	40604	1721	42346	71552	14777	20315	5296				0		4	0	0		0	0		0											0							
EC-07I	49238	1981	51265	84823	13007	31948	3976				0		0	0	0		0	0		0											0							
EC-07J	41223	2354	43632	76139	10591	27611	2757				0		0	0	0		0	0		0											0							
EC-07P	23958	827	24785	25324	4626	16887	2377				8		4	8	3		5	3		2											5							
EC-08	327268	13955	341544	593962	90802	213612	20135		60				12	179		11	5	0		3			0		0			0										
EC-08A	45260	2673	47975	86267	12694	30226	1913		0				5	0		6	0	0		0			0		0			0										
EC-08B	45483	2519	48059	85634	9920	33064	2156		0				0	0		2	0	0		0			0		0			0										
EC-08C	47356	2113	49519	87457	13144	30763	3026		0				0	28		0	0	0		0			0		0			0										
EC-08D	41663	1851	43566	77645	10230	28777	2201		0				0	89		0	0	0		0			0		0			0										
EC-08E	38979	1428	40447	74560	9493	26135	3043		0				3	7		0	0	0		0			0		0			0										
EC-08F	48040	1266	49342	80298	19840	24319	3591		0				0	21		0	0	0		0			0		0			0										
EC-08G	45394	1766	47204	86669	12440	29768	2766		56				0	11		0	0	0		0			0		0			0										
EC-08P	15093	339	15432	15432	3041	10560	1439		4				4	23		3	5	0		3			0		0			0										
EC-09	277759	10955	289044	434925	82748	174525	18909		0		0		6	3		17	1	2					1		3			0			0							
EC-09A	57068	2580	59732	93607	17619	35772	3283		0		0		0	0		0	0	0					0		0			0			0							
