entity_id	valid	rejected	polled	electors	UNP	UPFA	JVP	TULF	DP	BJP	NSSP	IG0	UPP	USP	AITM	SEP	IG1	ONF	UPF	JSP	FSP	ELPP	TLP	SLVP	NSU	MJP	SLNF
EC-01	1207687	43094	1251996	1612702	640472	473796	81112	569	4953	1850	179	38	199	221	23	9	22	212	4	101	200	2	0	2	1	4	0
EC-01A	63109	4050	67242	89768	50567	10251	1644	156	115	41	12	1	44	59	12	0	12	12	0	0	19	0	0	0	0	0	0
EC-01B	94370	5318	99797	131468	79956	11479	2096	75	197	56	93	1	50	65	6	0	1	4	0	14	0	0	0	0	0	0	0
EC-01C	43699	1898	45635	60105	28965	11838	2277	19	280	95	8	7	19	27	0	0	3	10	0	24	5	0	0	0	0	0	0
EC-01D	47998	2039	50095	66937	31446	12913	2958	95	234	165	5	9	20	17	2	5	0	8	0	9	17	2	0	0	0	0	0
EC-01E	27463	1234	28772	40605	22057	4200	873	110	68	32	24	8	8	7	1	1	1	1	1	0	0	0	0	0	0	0	0
EC-01F	44246	1322	45611	59805	28144	13267	2357	37	197	85	13	0	9	2	0	0	0	9	0	0	13	0	0	0	0	0	0
EC-01G	49345	1628	51022	66786	26405	19196	3213	12	207	132	20	0	11	11	0	1	1	19	0	0	18	0	0	0	0	0	0
EC-01H	91464	3264	94835	120598	49175	35274	6134	35	269	208	0	0	6	14	0	0	0	6	0	6	4	0	0	0	0	0	0
EC-01I	55789	1447	57291	74925	30238	20787	4065	0	320	137	1	11	13	11	0	0	0	14	0	14	4	0	0	0	0	0	0
EC-01J	131362	3510	135000	173323	56126	62105	11938	0	535	172	0	0	9	3	0	0	0	36	0	22	16	0	0	0	0	0	0
EC-01K	86808	3993	90897	117421	39055	42846	4295	0	114	27	0	0	0	0	0	0	0	3	0	0	6	0	0	0	0	0	0
EC-01L	130646	3978	134725	174859	52291	66408	10674	0	633	162	0	0	0	0	0	0	0	19	0	0	3	0	0	0	0	0	0
EC-01M	98464	2471	101019	129780	41353	47031	8981	0	563	184	0	0	0	0	0	0	0	22	0	7	50	0	0	0	0	0	0
EC-01N	127149	3414	130658	164740	49603	65210	11157	0	544	189	0	0	0	0	0	0	0	30	0	0	22	0	0	0	0	0	0
EC-01O	89957	2969	93011	115196	43645	40124	5363	10	398	111	1	0	1	1	0	1	0	16	0	1	1	0	0	0	0	0	0
EC-01P	25818	559	26386	26386	11446	10867	3087	20	279	54	2	1	9	4	2	1	4	3	3	4	22	0	0	2	1	4	0
EC-02	1222601	55656	1280049	1677786	576422	549393	87290		4118	1048	3	1	60				6		6	10	264					2	
EC-02A	87403	4369	91884	120446	50985	30723	5116		293	55	0	0	17				0		0	0	31					0	
EC-02B	71675	4172	75942	106195	48497	18908	3883		202	0	0	0	14				0		0	0	9					0	
EC-02C	103131	5482	108765	143843	50354	45544	6625		261	61	0	0	1				0		0	0	6					0	
EC-02D	78389	3643	82142	108471	35668	38412	3891		50	9	0	0	0				0		0	0	1					0	
EC-02E	87488	3927	91589	124598	39721	40938	6176		174	23	0	0	0				0		0	0	0					0	
EC-02F	97173	4606	101936	132919	43311	45839	7336		227	82	0	0	0				0		0	0	0					0	
EC-02G	94785	4804	99805	132947	42295	44861	6896		252	51	0	0	1				0		0	0	1					0	
EC-02H	106931	4402	111512	147229	42534	53854	9703		305	105	0	0	0				0		0	0	60					0	
EC-02I	103813	4252	108273	143815	51779	43022	8309		392	75	0	0	2				0		0	0	1					0	
EC-02J	109346	4600	114068	149404	45397	54317	8556		559	149	0	0	1				0		0	0	56					0	
EC-02K	85422	3652	89192	115291	35330	44860	4491		255	26	0	0	0				0		0	0	0					0	
EC-02L	91537	3713	95330	121678	41207	42736	6721		418	187	0	0	14				0		0	0	62					0	
EC-02M	65704	3008	68765	90104	31485	28304	5186		409	150	0	0	1				0		0	1	7					0	
EC-02P	39804	1026	40846	40846	17859	17075	4401		321	75	3	1	9				6		6	9	30					2	
EC-03	697079	20985	718632	924990	309855	338426	38104		1394	5356	1	0	16	41				26		3	346	0				2	0
EC-03A	87493	2198	89740	114795	39156	40777	6221		443	486	0	0	1	2				2		0	67	0				0	0
EC-03B	102624	2679	105381	133834	42012	53259	6128		287	402	0	0	0	0				9		0	70	0				0	0
EC-03C	92135	2713	94919	122466	36281	49977	4992		117	245	0	0	4	0				4		0	19	0				0	0
EC-03D	60437	2293	62806	82080	26201	31568	2005		68	178	0	0	0	0				0		0	5	0				0	0
EC-03E	78855	2926	81854	108943	35215	38066	4037		105	900	0	0	0	23				0		0	25	0				0	0
EC-03F	87247	2380	89688	117892	39484	40792	5728		176	610	0	0	0	0				2		0	67	0				0	0
EC-03G	87280	2740	90082	116997	47948	33097	3631		57	2080	0	0	1	10				4		0	42	0				0	0
EC-03H	73428	2632	76156	99977	31672	38066	2801		36	324	0	0	0	0				1		0	13	0				0	0
EC-03P	27580	424	28006	28006	11886	12824	2561		105	131	1	0	10	6				4		3	38	0				2	0
EC-04	792046	36472	829575	1095238	440168	308563	30086		2177	1740		1	99	46					1	9	47	0			2	0	1
EC-04A	38294	1499	39872	54157	19459	17173	1226		40	7		0	0	0					0	0	0	0			0	0	0
EC-04B	112468	5033	117658	157370	63761	42707	4364		367	360		0	4	0					0	2	14	0			0	0	0
EC-04C	59724	3376	63159	85343	35586	20789	1750		164	137		0	15	2					0	0	0	0			0	0	0
EC-04D	42634	2315	45024	58580	19623	21859	822		18	0		0	5	0					0	0	0	0			0	0	0
EC-04E	33550	2149	35760	47639	17457	14408	915		2	2		0	2	0					0	0	0	0			0	0	0
EC-04F	68094	2653	70827	94834	37317	26597	3212		239	160		0	1	4					0	0	1	0			0	0	0
EC-04G	47938	2854	50870	69187	28062	17980	1006		40	79		0	2	0					0	0	0	0			0	0	0
EC-04H	57825	1583	59450	81125	32331	21751	3186		143	170		0	6	0					0	0	1	0			0	0	0
EC-04I	28539	711	29272	40007	18336	8360	1489		107	109		0	4	1					0	0	0	0			0	0	0
EC-04J	57607	2015	59706	80372	29263	24941	2778		143	135		0	0	0					0	0	0	0			0	0	0
EC-04K	59244	2301	61659	82236	35515	20749	2250		85	203		0	0	0					0	0	0	0			0	0	0
EC-04L	73223	4166	77468	102177	42617	26983	1544		114	150		0	14	11					0	0	0	0			0	0	0
EC-04M	66982	5065	72170	95531	37577	25640	2125		436	92		0	40	22					0	0	0	0			0	0	0
EC-04P	45924	752	46680	46680	23264	18626	3419		279	136		1	6	6					1	7	31	0			2	0	1
EC-05	276917	21266	298644	397832	137961	126035	10670		147	180		0	15		1					2	22	2			0		
EC-05A	89876	6589	96598	131756	40295	45470	3482		11	1		0	1		0					0	5	0			0		
EC-05B	49099	4218	53429	70249	20787	26673	1251		0	0		0	0		0					0	0	0			0		
EC-05C	57032	3989	61126	84168	33000	21199	2332		50	54		0	3		0					0	0	0			0		
EC-05D	63005	5953	69068	93236	35252	24803	2352		31	77		0	7		0					0	0	0			0		
EC-05P	17905	517	18423	18423	8627	7890	1253		55	48		0	4		1					2	17	2			0		
EC-06	387341	32544	420487	549281	228662	147094	5350		833	137		17	226			2				12	2	0			0		
EC-06A	213190	18032	231530	302768	131881	75196	1943		537	84		15	187			1				1	0	0			0		
EC-06B	54876	4432	59401	78020	31320	21981	987		38	13		0	12			0				0	0	0			0		
EC-06C	47780	4330	52203	70994	26335	19705	1196		4	3		0	5			0				0	0	0			0		
EC-06D	56404	5475	61986	82132	30688	24324	601		185	5		0	18			0				11	0	0			0		
EC-06P	15091	275	15367	15367	8438	5888	623		69	32		2	4			1				0	2	0			0		
EC-07	623690	14678	638882	851884	264747	312071	37337		2512	2580	2	6	19					10		1	809		0		6	4	
EC-07A	36026	977	37034	52823	14497	18212	2074		168	845	0	0	0					0		0	40		0		0	0	
EC-07B	54233	1341	55616	75490	22638	26438	3493		1200	121	0	0	1					0		0	66		0		0	0	
EC-07C	49944	1171	51148	72541	18760	27335	2554		59	779	0	0	3					3		0	163		0		0	0	
EC-07D	64984	1611	66663	89450	26508	34220	3301		58	363	0	0	2					0		0	141		0		0	0	
EC-07E	76629	2028	78728	100684	33937	39168	2949		2	7	0	0	0					0		0	31		0		0	0	
EC-07F	70338	2012	72414	95581	29973	36369	3354		63	46	0	0	0					2		0	19		0		0	0	
EC-07G	54135	1312	55510	78134	20829	29506	2882		428	98	0	0	0					0		0	36		0		0	0	
EC-07H	58643	1110	59778	79661	33772	19588	4755		116	112	0	0	3					0		0	52		0		0	0	
EC-07I	68592	1435	70087	94127	28846	33769	5278		209	57	0	0	0					0		0	29		0		0	0	
EC-07J	57912	1267	59234	80723	22148	31965	3232		19	14	0	0	0					0		0	156		0		0	0	
EC-07P	32254	414	32670	32670	12839	15501	3465		190	138	2	6	10					5		1	76		0		6	4	
EC-08	475014	12365	490083	647890	186345	250179	34948		242			2	24					17		4	33	9	2		5		1
EC-08A	70908	2659	73729	97565	29977	36489	4029		0			0	14					0		0	7	0	0		0		0
EC-08B	66449	2145	68694	91746	21584	40076	3884		0			0	0					2		0	2	0	0		0		0
EC-08C	66902	1742	70411	93716	25592	35530	5302		1			0	0					0		0	0	0	0		0		0
EC-08D	58304	1377	59825	81468	20301	33585	3849		0			0	0					0		0	0	0	0		0		0
EC-08E	55609	1323	57058	78647	21144	29519	4666		17			0	0					0		0	0	0	0		0		0
EC-08F	65334	1204	66683	86954	30794	28334	5879		47			0	3					0		0	0	5	0		0		0
EC-08G	67517	1592	69300	93411	28032	34999	4063		113			0	0					3		0	0	0	0		0		0
