entity_id	valid	rejected	polled	electors	SJB	SLPP	UNP	JJB	IND19_D01	IND08_D01	JSWP	IND05_D01	IND02_D01	IND13_D01	IND11_D01	ULF	IND17_D01	IND10_D01	FSP	IND07_D01	USP	SPS	IND01_D01	IND06_D01	IND04_D01	IND20_D01	IND12_D01	IND15_D01	JSP	LP	SEP	NPP	IND18_D01	IND09_D01	IND24_D01	IND14_D01	IND26_D01	DUNF	NSU	IND25_D01	IND21_D01	IND03_D01	IND22_D01	SJP	IND16_D01	IND23_D01
EC-01	1182500	80756	1263529	1708936	386862	674318	30585	67313	905	619	2063	231	925	338	386	390	1328	440	796	1639	107	350	198	66	120	105	62	296	202	521	98	599	16	111	225	10	88	275	94	160	33	66	10	283	2	0
EC-01A	63258	7109	70371	93668	41055	16769	2669	1223	143	132	107	88	83	81	76	67	58	55	49	41	41	34	30	27	26	24	20	19	18	15	15	12	11	11	11	8	8	7	7	7	5	2	1	1	0	0
EC-01B	88133	8940	97085	126011	64680	16675	2963	1898	153	165	97	80	168	80	150	57	23	44	12	35	24	21	5	15	60	43	1	21	21	21	21	12	0	0	21	0	21	1	1	65	12	17	0	0	0	0
EC-01C	42333	3532	45868	61893	20446	17678	1496	1928	66	40	57	15	27	24	28	24	34	2	17	62	5	14	0	10	16	8	8	14	19	15	7	17	0	3	20	0	17	19	18	16	3	12	2	10	0	0
EC-01D	44089	3368	47460	67238	20535	18003	1865	2591	44	36	99	8	44	23	36	28	39	20	20	100	17	31	51	6	8	9	8	15	8	21	21	196	0	5	6	1	2	15	16	7	2	8	1	5	0	0
EC-01E	25487	1542	27031	41827	16517	6291	1140	1071	21	24	36	7	16	17	1	8	9	8	9	54	2	9	58	0	1	9	2	1	7	15	7	9	0	9	0	0	0	0	1	2	2	0	1	1	0	0
EC-01F	41427	2524	43956	62399	18604	18236	1698	2087	16	33	131	0	29	4	6	14	22	2	33	97	4	19	4	0	1	0	0	2	44	16	2	30	0	9	0	0	0	0	0	0	1	2	0	0	0	0
EC-01G	46295	3247	49548	70521	15640	25314	1433	2894	28	29	114	6	76	15	4	17	61	1	48	114	0	29	12	1	0	0	1	21	6	21	9	20	0	38	27	0	0	0	11	41	0	1	1	3	0	0
EC-01H	95248	6845	102114	136002	36696	49718	2069	4632	105	75	161	13	93	36	30	30	136	19	29	59	8	33	0	4	0	6	17	24	18	23	6	20	0	0	107	0	1	193	9	19	0	0	0	5	0	0
EC-01I	50303	2777	53090	75186	14937	29427	1551	3396	34	14	110	1	37	1	1	4	46	19	32	195	1	15	13	0	0	0	0	1	4	30	0	45	0	0	1	0	0	1	15	0	0	4	0	1	0	0
EC-01J	128740	6812	135588	188442	23766	90456	2650	9568	43	8	195	3	63	16	7	28	179	8	103	174	0	36	0	0	0	0	0	36	23	87	4	43	0	2	2	0	20	10	6	0	0	9	0	161	0	0
EC-01K	86029	6858	92936	122206	20250	58416	1653	3707	80	6	134	0	63	24	0	6	157	0	50	45	0	3	0	0	0	0	0	50	0	3	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0
EC-01L	131678	7988	139712	191586	23137	95074	2431	8669	60	3	289	0	60	0	1	11	179	16	93	107	0	23	0	0	0	0	0	34	0	50	0	12	0	0	5	0	0	0	0	0	0	0	0	33	0	0
EC-01M	93296	4909	98228	136285	17713	64290	2109	7347	12	0	146	0	39	6	0	26	76	209	126	242	0	24	0	0	0	0	0	2	19	82	0	50	0	0	0	0	12	0	0	0	0	0	0	39	0	0
EC-01N	126069	6728	132832	179255	23649	89206	2063	9120	33	2	178	0	27	0	3	13	186	10	90	176	0	17	0	0	0	0	0	7	0	60	0	30	0	0	0	0	0	0	0	0	0	7	0	0	0	0
EC-01O	86538	5876	92432	119887	23725	54981	1733	4381	59	46	170	4	85	10	41	45	113	1	19	123	2	33	8	1	0	2	0	45	1	47	1	79	0	26	0	0	0	8	0	1	2	2	0	0	0	0
EC-01P	33577	1701	35278	36530	5512	23784	1062	2801	8	6	39	6	15	1	2	12	10	26	66	15	3	9	17	2	8	4	5	4	14	15	5	24	5	8	10	1	7	21	10	2	6	2	4	24	2	0
EC-02	1227882	74908	1303383	1785381	285237	807303	27691	61243			3480								905			552							334									108	19					111		
EC-02A	89981	6649	96653	133083	34685	47209	2113	3720			272								71			71							97									2	3					5		
EC-02B	70193	5759	75974	111992	25003	36514	2764	3814			238								79			46							38									4	0					9		
EC-02C	105147	7192	112382	156254	25015	70022	1737	5004			356								47			38							34									0	0					1		
EC-02D	76100	4722	80879	111796	17762	51190	1562	2608			175								44			5							8									0	0					0		
