entity_id	valid	rejected	polled	electors	PA	UNP	JVP	SMBP	LDA	SLMP	Liberal	Ind 1	Ind 2	PLSF	Ind 3	DUNF	PFF
EC-01	964265	28923	993448	1353737	474026	424911	43726	7935	4723	1695	1087	1088	1043	478	116	93	70
EC-01A	53164	1404	54571	77442	18108	32709	1275	109	403	157	88	82	90	41	20	8	7
EC-01B	98521	2593	101127	143981	35405	59223	1942	260	412	616	125	93	165	66	41	15	13
EC-01C	38209	1055	39267	55335	17019	19146	1285	272	145	116	54	38	54	19	10	2	8
EC-01D	42766	1385	44155	64383	17773	22276	1482	406	415	105	86	56	59	31	16	14	7
EC-01E	25295	893	26189	40906	7324	16529	402	207	536	90	96	32	15	9	13	2	2
EC-01F	40187	1439	41634	58400	18676	19119	1339	406	315	80	69	37	28	11	0	14	9
EC-01G	43957	1496	45457	63459	22863	17566	2509	479	196	87	48	53	35	29	1	12	0
EC-01H	70112	1798	71930	96138	36883	28658	3364	446	164	85	70	90	75	17	2	0	0
EC-01I	49625	1666	51302	70416	24772	21447	2065	751	221	38	75	75	28	34	1	1	2
EC-01J	91463	2503	93990	126089	50504	32923	6139	890	309	60	73	83	74	44	3	6	2
EC-01K	65132	1442	66625	87856	33903	26848	2922	281	250	55	70	60	103	35	0	0	2
EC-01L	84080	2339	86458	116530	46777	30814	4832	619	228	46	52	81	90	17	0	0	1
EC-01M	77060	2857	79934	108601	43563	27318	4147	1101	319	57	63	97	78	46	7	0	12
EC-01N	89590	2923	92554	121795	51204	31270	5200	897	306	30	62	94	67	30	0	0	0
EC-01O	79306	1986	81313	105464	41358	32995	3671	414	267	56	50	106	79	47	1	15	1
EC-01P	15798	1144	16942	16942	7894	6070	1152	397	237	17	6	11	3	2	1	4	4
EC-02	941045	20183	961817	1247269	532199	353388	39893	4185	1473	743	529	937	874	269	21	19	5
EC-02A	66487	1521	68027	88355	32931	30546	2103	163	255	35	47	50	63	25	3	4	1
EC-02B	58807	1157	59985	83488	28496	28137	1345	86	139	105	54	93	72	38	11	0	0
EC-02C	76193	1507	77745	100312	45570	27352	2186	223	133	37	51	111	81	26	0	0	0
EC-02D	65086	883	66032	83017	35185	26939	1981	155	27	1	32	39	59	3	0	0	0
EC-02E	71955	1549	73570	96830	37995	28383	4139	344	25	131	23	30	65	7	0	0	0
EC-02F	75431	1454	76945	98866	42256	28270	3601	393	39	24	30	60	67	20	0	0	0
EC-02G	77755	1855	79690	101399	51126	21631	3534	341	39	132	16	63	52	7	1	1	0
EC-02H	83635	1728	85411	111762	51556	26212	4381	577	149	9	32	82	62	22	1	0	0
EC-02I	77824	1730	79583	104051	44068	29696	3062	208	199	53	46	88	53	29	1	0	1
EC-02J	79524	1761	81335	107652	46648	27727	3896	354	126	53	54	65	80	16	1	1	0
EC-02K	66846	1013	67925	87171	39148	23789	2729	213	20	6	45	70	64	4	0	1	0
EC-02L	66419	1418	67862	88008	36525	26037	2801	346	93	71	56	85	90	23	0	0	0
EC-02M	57171	1567	58755	77406	30931	22198	2921	497	105	84	35	91	60	39	0	0	0
EC-02P	17912	1040	18952	18952	9764	6471	1214	285	124	2	8	10	6	10	3	12	3
EC-03	531424	11408	543226	694482	280836	217036	23383	2341	613	390	628	754	909	196	43	11	3
EC-03A	69038	1976	71052	91739	39051	24944	3610	565	209	110	51	63	56	25	0	0	0
EC-03B	73301	1410	74768	93052	40333	28373	3208	327	94	19	76	94	116	31	0	0	1
EC-03C	68997	1374	70411	86633	37511	27647	2602	262	89	21	82	95	135	25	0	0	0
EC-03D	50545	942	51541	66161	25375	22833	1349	134	1	16	76	80	113	16	8	0	0
EC-03E	62516	1438	64004	84525	32301	25767	3170	263	23	23	108	96	133	29	18	0	0
EC-03F	67371	1493	68911	90682	35705	27086	3322	342	88	62	68	93	83	31	0	0	0
EC-03G	67276	1106	68427	87473	34329	29542	2377	110	33	120	66	111	120	26	3	0	0
EC-03H	60747	1165	61975	82080	30062	26441	2954	166	9	15	97	118	151	9	14	0	0
EC-03P	11633	504	12137	12137	6169	4403	791	172	67	4	4	4	2	4	0	11	2
EC-04	612234	16454	629281	811004	307600	275763	14914	2677	539	1136	985	735	1174	215	112	8	3
EC-04A	34710	575	35353	46560	16713	16369	870	68	0	0	21	3	46	0	0	0	0
EC-04B	87108	2621	89828	120056	40908	41551	2696	292	23	265	134	58	152	7	24	0	0
EC-04C	52058	1307	53393	63021	32913	17339	897	137	22	89	87	94	101	25	3	0	0
EC-04D	35936	868	36861	46788	18161	16280	574	60	0	13	128	81	83	18	8	0	0
EC-04E	27707	675	28414	36168	14448	11912	622	60	2	1	42	61	91	5	2	0	0
EC-04F	48611	1373	50032	65274	23217	22931	1529	227	18	30	70	26	90	8	8	0	1
EC-04G	41127	1006	42183	55131	19850	19757	589	49	3	101	68	58	108	8	4	0	0
EC-04H	42843	1190	44057	59163	19870	20777	1146	409	112	92	53	43	61	12	4	0	0
EC-04I	25281	615	25905	34398	10092	13799	629	339	96	98	32	24	29	20	1	1	0
EC-04J	46549	1413	48009	62698	23089	21169	1244	258	56	56	54	10	75	5	5	0	0
EC-04K	46310	1139	47514	62432	22132	21853	1132	186	6	175	52	12	77	3	0	0	0
EC-04L	55854	1586	57477	73094	29946	23888	793	206	51	123	121	121	102	48	10	1	0
EC-04M	51592	1481	53102	69068	28248	20854	1317	147	52	80	118	135	158	51	43	1	2
EC-04P	16548	605	17153	17153	8013	7284	876	239	98	13	5	9	1	5	0	5	0
EC-05	216036	5901	222213	291786	110966	91678	7650	630	80	279	577	466	679	77	35	5	7
EC-05A	71690	1799	73567	97270	35731	30773	3414	150	15	83	185	128	245	39	5	1	1
EC-05B	42107	1036	43218	53659	24002	16017	993	42	0	4	107	101	124	8	2	0	0
EC-05C	44375	1264	45700	64011	21656	20129	1338	182	39	114	114	61	111	12	13	4	4
EC-05D	52217	1568	53847	70965	26897	22277	1512	202	13	73	169	168	194	15	15	0	0
EC-05P	5647	234	5881	5881	2680	2482	393	54	13	5	2	8	5	3	0	0	2
EC-06	313737	8759	322747	402353	146965	152585	5634	763	580	312	1308	859	1451	323	207	34	38
EC-06A	165029	4818	169910	215977	70431	87578	1829	523	417	250	1003	604	1062	253	171	32	32
EC-06B	44778	1145	45969	59289	22022	20938	777	84	24	28	109	80	164	33	13	0	0
EC-06C	49794	1400	51261	58146	28933	18359	1506	61	5	10	78	74	92	10	5	0	1
EC-06D	49350	1304	50729	64063	23246	23622	1237	74	87	21	118	98	130	25	18	1	5
EC-06P	4786	92	4878	4878	2333	2088	285	21	47	3	0	3	3	2	0	1	0
EC-07	511569	9273	521291	673336	280711	195457	26817	1142	494	181	418	491	774	182	14	7	3
EC-07A	32774	513	33315	45761	17496	13347	1440	78	35	8	24	25	48	2	0	0	0
EC-07B	44136	845	45017	58510	24608	16316	2559	106	50	13	13	25	44	9	2	0	0
EC-07C	41103	826	41959	56473	22409	14851	3125	86	21	16	16	70	114	34	2	0	0
EC-07D	56742	941	57738	75218	31577	21143	3080	119	26	13	63	73	60	20	2	0	0
EC-07E	65040	807	65915	78693	35643	25219	3114	17	0	3	78	59	104	34	2	0	0
EC-07F	60439	1089	61586	76803	34046	22915	2349	111	24	15	92	83	136	24	2	0	0
EC-07G	50650	701	51397	68453	28356	19086	2451	93	26	0	36	42	53	23	0	0	0
EC-07H	44953	978	45951	63271	21983	20020	2183	201	93	96	35	37	38	14	0	0	0
EC-07I	53410	1014	54475	69169	30274	19699	2554	96	65	9	18	29	70	6	1	0	0
EC-07J	49648	1033	50738	67785	28087	18013	2673	111	31	1	41	34	89	11	1	0	0
EC-07P	12674	526	13200	13200	6232	4848	1289	124	123	7	2	14	18	5	2	7	3
EC-08	378329	8259	386903	523682	205356	139343	25919	1218	312	292	664	568	725	199	28	3	3
EC-08A	55010	1421	56474	74364	29182	21352	3063	163	46	72	180	112	208	70	20	0	1
