entity_id	valid	rejected	polled	electors	UNP	UPFA	USP	ULPP	JSP	NLF	ULF	RPP	SLNF	SEP	DUA	SLPF	UNAF
EC-01	1113971	12586	1126848	1485749	569336	534154	2353	1911	1775	480	313	237	139	160	141	8	3
EC-01A	60106	934	61045	85961	45154	14266	266	95	107	53	34	12	15	20	20	1	0
EC-01B	100412	1602	102026	144906	78894	20382	432	107	175	58	80	17	23	23	57	5	1
EC-01C	41806	449	42258	60676	25780	15641	111	76	57	28	19	15	14	19	7	0	0
EC-01D	46202	691	46897	65729	28829	16915	99	157	61	30	21	8	12	20	8	0	1
EC-01E	25862	394	26262	38618	20472	5101	50	126	18	35	7	0	7	7	1	2	0
EC-01F	43071	361	43439	58722	24651	17998	60	153	50	28	14	13	2	13	6	0	0
EC-01G	49174	549	49732	66425	23735	24998	87	115	71	29	20	17	16	12	11	0	0
EC-01H	82003	866	82898	107702	40721	40595	156	97	144	20	9	9	4	2	1	0	0
EC-01I	54493	508	55011	73264	27094	26979	75	105	75	21	8	4	4	1	11	0	0
EC-01J	113776	1181	114986	148405	46995	65799	162	181	203	31	24	42	10	11	7	0	0
EC-01K	79044	811	79910	101011	36172	41886	232	61	154	31	10	3	0	0	0	0	0
EC-01L	108836	990	109870	141932	43432	64385	194	142	162	17	8	12	14	0	3	0	0
EC-01M	90408	890	91310	119114	36074	53661	82	154	116	30	21	25	2	14	0	0	0
EC-01N	109566	1068	110677	140062	42004	66622	128	157	203	27	22	19	3	1	0	0	0
EC-01O	92068	952	93043	115738	43186	48025	211	123	177	33	15	36	8	11	8	0	0
EC-01P	17144	340	17484	17484	6143	10901	8	62	2	9	1	5	5	6	1	0	1
EC-02	1088680	11154	1100444	1390106	481182	596105	2201	1366	1783	257	100	129	77	16	29	1	2
EC-02A	73127	855	73996	94435	40958	31420	173	127	117	25	15	12	12	5	3	0	0
EC-02B	65784	776	66583	89344	40786	24215	230	72	116	55	25	14	9	3	20	0	0
EC-02C	90488	941	91465	114555	40433	49055	220	138	158	34	13	39	8	0	1	0	0
EC-02D	75031	614	75717	93614	34888	39291	157	47	121	12	1	1	1	0	0	0	0
EC-02E	82728	910	83706	107480	36277	45462	154	61	126	9	2	0	2	0	0	0	0
EC-02F	88158	895	89134	111151	37741	49449	196	102	121	6	2	0	0	0	0	0	0
EC-02G	86498	1019	87586	112818	33096	52315	184	128	134	15	1	3	1	1	1	0	0
EC-02H	97187	891	98136	124664	34327	61968	147	117	139	16	1	3	1	0	0	0	0
EC-02I	90335	944	91304	117013	42578	46918	165	148	138	24	28	20	11	1	0	0	0
EC-02J	95335	854	96240	121992	37725	56713	164	111	152	10	4	14	6	0	1	0	0
EC-02K	76982	605	77657	97075	30235	45782	163	54	171	3	2	2	2	0	0	0	0
EC-02L	78576	732	79334	99168	34662	43223	130	93	159	20	1	18	18	0	0	0	0
EC-02M	62367	691	63075	80286	28657	33163	109	81	124	18	3	1	0	0	1	0	0
EC-02P	26084	427	26511	26511	8819	17131	9	87	7	10	2	2	6	6	2	1	2
EC-03	615484	6144	622003	780786	265668	341301	2252	465	1519	207	55	92	50	6	16	0	1
EC-03A	79889	731	80652	101298	33000	46063	181	97	147	54	11	10	0	0	0	0	0
EC-03B	86241	818	87105	107249	34696	50426	290	51	217	10	15	6	9	0	1	0	0
EC-03C	80039	761	80846	100039	34256	44748	249	90	185	17	4	7	5	0	1	0	0
EC-03D	56133	596	56776	71030	25873	29168	324	32	199	27	0	1	9	0	1	0	0
EC-03E	71931	702	72683	93429	30802	39954	328	52	221	14	5	11	8	0	4	0	0
EC-03F	78887	766	79695	101976	32872	45100	195	42	181	15	2	29	5	0	0	0	0
EC-03G	75812	847	76696	98979	37347	37363	332	57	173	40	12	22	7	1	7	0	0
EC-03H	70016	589	70680	89916	31388	37452	347	13	190	18	2	2	2	0	1	0	0
EC-03P	16536	334	16870	16870	5434	11027	6	31	6	12	4	4	5	5	1	0	1
EC-04	712035	9227	721830	933160	386552	315081	2189	506	2005	180	52	58	96	29	17	2	0
EC-04A	38207	317	38592	50831	20114	17390	120	0	143	0	0	0	0	0	0	0	0
EC-04B	104688	1340	106113	138073	59801	43442	299	45	229	7	5	4	4	0	2	0	0
EC-04C	53397	857	54285	71792	31923	20573	252	70	174	33	5	3	18	2	1	0	0
EC-04D	40879	509	41437	52693	20213	19923	128	15	148	28	0	1	6	0	0	0	0
EC-04E	32522	402	32970	41421	16604	15324	133	5	90	3	2	0	3	0	0	0	0
