entity_id	valid	rejected	polled	electors	UPFA	NDF	SLLP	DUNF	UDF	JSP	Ind 1	LF	ONF	NSH	Ind 3	Ind 5	USP	Ind 2	SEP	JP	NA	Ind 4	UNAF	RPP	PNF	ACAKO
EC-01	1161111	11109	1172506	1540966	614461	532750	1516	1318	1308	1263	935	755	410	355	313	346	265	179	113	30	51	31	44	20	19	27
EC-01A	61710	1017	62732	95379	17599	42892	94	192	217	67	52	107	74	85	20	82	39	24	28	2	7	5	5	1	2	8
EC-01B	96815	1309	98135	139807	21811	73139	159	248	375	82	54	103	122	93	35	66	75	60	21	12	31	21	21	14	12	12
EC-01C	41128	538	41672	58753	16906	23632	105	62	62	31	44	42	31	26	25	25	19	12	8	3	3	3	3	3	3	3
EC-01D	48291	694	48991	68639	19104	28330	203	77	71	39	27	105	36	27	28	61	40	16	21	9	8	0	9	0	0	1
EC-01E	26027	441	26472	38919	6348	19208	30	43	39	16	15	101	15	16	24	60	7	9	17	0	1	1	6	1	1	1
EC-01F	44378	458	44841	61185	19451	24435	55	45	28	28	30	65	12	16	16	36	4	13	2	0	0	0	0	0	0	0
EC-01G	49309	505	49822	66616	26208	22581	64	41	38	52	39	48	18	16	16	12	16	18	12	0	1	0	0	0	0	0
EC-01H	86465	868	87358	112342	45975	39477	156	111	99	84	75	17	39	20	5	0	14	9	0	0	0	0	0	0	0	0
EC-01I	55818	546	56373	72999	29116	26119	128	44	37	35	44	39	21	8	25	1	14	4	0	0	0	0	0	0	1	0
EC-01J	122251	822	123095	158708	76076	45053	96	101	77	151	105	16	8	12	44	0	12	9	0	0	0	0	0	0	0	0
EC-01K	83679	638	84370	108087	53612	28823	39	94	80	159	94	11	1	0	3	0	6	0	0	0	0	0	0	0	0	0
EC-01L	121230	725	122009	155676	80755	39369	66	93	40	173	83	5	3	2	5	0	1	0	0	0	0	0	0	0	0	0
EC-01M	95234	745	96004	121230	59339	35141	86	44	28	82	91	27	0	6	20	0	6	0	2	0	0	0	0	0	0	0
EC-01N	118969	767	119770	148658	77435	40441	94	68	45	157	94	7	12	16	30	0	0	0	0	0	0	0	0	0	0	0
EC-01O	90733	722	91474	114580	52607	37213	140	47	65	104	86	46	18	11	15	1	8	2	1	0	0	0	0	0	0	0
EC-01P	19074	314	19388	19388	12119	6897	1	8	7	3	2	16	0	1	2	2	4	3	1	4	0	1	0	1	0	2
EC-02	1165063	8366	1174010	1504767	718132	433912	412	1448	602	1383	752	102	96	63	136	55	54	39	7	7	0	0	4	4	1	1
EC-02A	79134	806	79967	103869	39292	38766	73	192	88	116	60	35	25	25	25	21	12	7	3	0	0	0	0	0	0	0
EC-02B	69702	630	70352	96008	32109	36650	46	165	113	104	46	29	32	8	9	29	5	9	0	0	0	0	0	0	0	0
EC-02C	99161	727	99923	127383	59522	38570	27	112	65	74	107	13	9	9	37	4	5	2	0	0	0	0	0	0	0	0
EC-02D	77566	412	78039	99680	48089	28456	3	142	21	79	40	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
EC-02E	85858	648	86573	114489	54623	30098	10	76	20	86	45	0	0	0	5	0	1	2	0	0	0	0	0	0	0	0
EC-02F	94373	555	94989	120797	60259	32995	1	178	27	127	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EC-02G	92441	566	93089	120824	61258	30031	7	55	16	124	34	1	1	1	2	0	1	2	0	0	0	0	0	0	0	0
EC-02H	104878	633	105554	133552	71761	32211	11	70	25	81	62	1	0	1	3	0	0	1	0	0	0	0	0	0	0	0
EC-02I	97254	663	97944	127794	56697	39672	49	118	48	111	48	2	5	2	11	0	8	2	1	0	0	0	1	0	0	0
EC-02J	104862	584	105490	134536	69039	34758	28	87	52	169	80	2	1	0	6	0	1	4	0	0	0	0	0	0	0	0
EC-02K	81256	418	81743	104089	56687	23548	3	48	6	146	64	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
EC-02L	84585	605	85213	107761	52042	31738	74	78	42	93	67	0	16	10	23	0	8	1	0	0	0	0	0	0	0	0
EC-02M	63649	564	64235	83086	36226	26721	72	105	68	67	44	0	4	5	3	0	5	7	0	0	0	0	0	0	0	0
EC-02P	30344	555	30899	30899	20528	9698	8	22	11	6	10	19	3	2	7	1	8	2	3	7	0	0	3	4	1	1
EC-03	653868	4151	658401	832981	412180	231427	352	851	814	1315	690	21	50	67	171	4	90	33	5	4	3	1	3	0	0	1
EC-03A	82912	518	83470	105533	50739	31281	45	63	79	88	67	12	7	1	14	0	2	1	0	0	0	0	0	0	0	0
EC-03B	95840	501	96395	118886	62306	32230	54	76	66	152	95	0	13	6	21	0	8	13	0	0	0	0	0	0	0	0
EC-03C	86316	617	86985	108733	57247	27769	37	107	62	163	89	1	12	17	32	0	16	4	0	0	0	0	0	0	0	0
EC-03D	58410	377	58828	74945	37965	19024	66	185	118	142	53	1	1	7	24	1	16	1	1	0	0	0	0	0	0	0
EC-03E	75434	510	75994	99693	47943	25970	52	133	186	222	68	0	4	4	24	1	23	0	0	0	0	0	0	0	0	0
EC-03F	82045	537	82625	106833	51287	29680	29	84	68	177	92	0	0	2	15	0	2	0	0	0	0	0	0	0	0	0
EC-03G	80514	481	81038	104321	43744	35639	33	91	114	137	82	1	11	18	32	0	5	8	0	0	1	0	0	0	0	0
EC-03H	72457	423	72939	93910	47254	23657	34	107	114	226	134	0	1	9	8	0	14	2	0	0	0	0	0	0	0	0
EC-03P	19940	187	20127	20127	13695	6177	2	5	7	8	10	6	1	3	1	2	4	4	4	4	2	1	3	0	0	1
EC-04	750196	8114	758894	1000481	406034	328896	447	2210	992	1349	569	55	181	288	175	56	115	69	18	8	14	3	3	3	1	3
EC-04A	38775	240	39077	52497	22635	15277	5	107	10	50	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EC-04B	109622	1073	110785	147387	56420	51311	21	180	146	160	45	1	7	34	23	0	5	2	0	0	0	0	0	0	0	0
EC-04C	57668	805	58507	78655	28594	27661	78	203	130	135	65	3	30	46	29	18	32	21	3	1	2	0	0	0	0	0
EC-04D	41559	345	41955	55576	27119	13163	38	210	47	123	81	0	8	17	28	0	5	8	0	0	0	0	0	0	0	0
EC-04E	33830	465	34340	45097	18961	13911	5	137	58	66	21	0	5	8	5	0	2	2	0	0	0	0	0	0	0	0
EC-04F	65016	611	65673	85815	36171	27813	25	169	70	79	31	7	10	20	11	2	6	1	1	0	0	0	0	0	0	0
EC-04G	47670	622	48346	65126	24550	21739	61	243	76	156	37	2	17	9	11	3	8	1	0	0	1	1	0	0	0	0
EC-04H	54333	512	54867	72880	28422	25221	27	82	50	61	40	8	3	14	4	4	4	3	0	0	0	0	0	0	0	1
EC-04I	27267	258	27534	36928	11627	15349	2	36	7	14	22	16	1	7	1	2	0	0	0	0	0	0	0	0	0	0
EC-04J	57837	461	58340	76950	33617	23240	20	130	39	85	23	1	0	1	1	0	1	1	0	0	0	0	0	0	0	0
EC-04K	57392	570	58021	76750	29173	27060	10	157	40	85	11	0	2	2	1	0	0	0	0	0	0	0	0	0	0	0
EC-04L	66620	817	67472	91103	33040	32051	63	231	135	148	91	4	41	58	18	10	19	14	3	0	7	0	0	1	0	0
EC-04M	62289	1035	63359	85099	35521	25075	86	302	175	177	93	1	51	69	40	13	29	13	5	2	3	1	1	1	1	0
EC-04P	30318	300	30618	30618	20184	10025	6	23	9	10	8	12	6	3	3	4	4	3	6	5	1	1	2	1	0	2
EC-05	264134	2394	266815	355458	157683	100235	102	845	337	549	356	11	44	54	79	20	60	8	2	0	4	1	1	1	0	1
EC-05A	87865	694	88649	119369	57941	28088	16	284	72	180	166	1	1	5	21	1	10	1	0	0	0	0	0	0	0	0
EC-05B	48723	289	49088	64623	31200	16222	14	143	26	111	65	0	2	8	7	1	3	0	0	0	0	0	0	0	0	0
