entity_id	valid	rejected	polled	electors	I-AMI	UPF	DNM	SLNF	USP	AACAAKO	SEP	FSP	SLLP	NDF	ULPP	I-AP	JSP	NSH	PNF	UPFA	ONF	NSSP	ULGC
EC-01	1296071	15043	1311419	1612378	402	687	25	11	248	53	127	407	721	724789	492	76	213	86	664	562329	414	83	18
EC-01A	68645	1141	69789	89768	53	86	11	2	44	12	24	34	95	51532	71	20	5	20	57	16418	43	21	2
EC-01B	101483	1226	102723	131468	108	286	4	4	57	15	21	49	171	82482	118	31	9	29	60	17764	24	14	6
EC-01C	46986	544	47532	60105	27	32	2	0	18	11	12	19	76	31465	34	3	12	3	34	15144	27	7	0
EC-01D	52133	663	52801	66937	21	29	0	1	31	8	17	28	44	35164	30	9	8	14	20	16597	29	15	6
EC-01E	30273	321	30597	40605	9	9	6	1	16	2	9	6	17	23912	13	7	6	8	9	6162	9	18	0
EC-01F	47160	589	47761	59805	19	30	0	0	0	0	2	17	28	30947	11	0	15	0	25	15925	4	4	0
EC-01G	52996	672	53678	66786	12	20	0	0	16	1	9	21	21	29545	19	3	18	1	23	23140	25	1	0
EC-01H	97314	1252	98587	120598	39	105	0	0	4	0	5	19	67	56814	64	1	13	1	57	39747	24	0	0
EC-01I	59577	690	60279	74925	4	4	1	0	13	1	1	13	34	34605	15	0	17	0	30	24651	25	0	0
EC-01J	140610	1505	142148	173323	36	28	0	0	9	0	3	44	42	68856	48	0	44	6	54	70943	54	0	0
EC-01K	94831	978	95862	117421	11	8	0	0	6	0	0	26	10	42674	21	0	0	0	60	51292	21	0	0
EC-01L	141713	1431	143198	174859	18	8	0	0	1	0	0	16	20	63513	5	0	3	0	81	77368	30	0	0
EC-01M	105331	1198	106550	129780	4	17	0	0	19	0	19	44	39	51460	19	0	25	0	45	53306	27	0	0
EC-01N	135945	1359	137341	164740	16	6	0	0	3	0	0	46	19	61080	18	0	16	0	45	74156	30	0	0
EC-01O	95960	938	96923	115196	22	16	0	0	4	0	2	4	30	48580	2	0	2	2	59	46860	36	0	0
EC-01P	25114	536	25650	26062	3	3	1	3	7	3	3	21	8	12160	4	2	20	2	5	12856	6	3	4
EC-02	1341888	14068	1356539	1679666	296	290	10	3	118	3	10	258	331	668421	179	14	45	35	629	663756	395	5	4
EC-02A	95286	1310	96621	120446	35	66	2	0	38	1	3	35	83	56520	33	5	4	4	60	37978	40	3	0
EC-02B	79460	855	80332	106195	46	64	2	0	29	0	0	32	93	53314	43	2	0	20	44	25413	43	0	0
EC-02C	113595	1466	115100	143843	39	20	0	0	9	0	0	9	39	58470	16	1	3	3	77	54314	33	0	0
EC-02D	86521	643	87221	108471	17	5	0	0	0	0	0	2	6	40050	0	0	0	0	26	45750	9	0	0
EC-02E	97064	804	97951	124598	7	1	0	0	1	0	0	0	2	45124	0	0	0	0	22	51169	7	0	0
EC-02F	107207	925	108196	132919	12	3	0	0	1	0	0	1	2	51526	0	0	0	0	60	54869	5	0	0
EC-02G	105856	949	106873	132947	17	16	0	0	1	0	0	1	2	50306	1	0	1	1	16	54701	17	0	0
EC-02H	118514	1173	119736	147229	16	2	0	0	1	0	0	28	3	53869	1	0	1	0	49	63911	7	0	0
EC-02I	112768	1557	114350	143815	43	23	0	0	8	0	1	21	33	58641	14	1	1	1	58	53452	48	0	0
EC-02J	120335	1109	121493	149404	18	16	0	0	1	0	1	37	7	55289	16	0	0	1	45	64269	64	0	0
EC-02K	93804	813	94674	115291	4	3	0	0	0	0	0	2	0	38422	2	0	0	0	33	54650	27	0	0
EC-02L	99406	969	100406	121678	22	25	0	0	0	0	0	55	25	48641	20	0	8	0	65	50149	33	0	0
EC-02M	71241	841	72101	90104	13	41	0	0	13	0	0	10	30	37863	29	0	6	0	62	32835	41	0	0
EC-02P	40831	654	41485	42726	7	5	6	3	16	2	5	25	6	20386	4	5	21	5	12	20296	21	2	4
EC-03	751603	7984	759990	925981	138	156	6	4	48	5	8	282	196	349024	145	3	17	10	583	395501	417	0	3
EC-03A	93322	1119	94474	114795	25	46	0	0	1	0	0	38	19	46789	2	0	2	1	54	45879	24	0	0
EC-03B	110570	945	111569	133834	34	15	0	0	15	0	0	29	13	48413	17	0	0	2	94	61125	66	0	0
EC-03C	100470	903	101422	122466	21	17	0	0	14	0	0	19	12	42022	4	0	0	1	78	57585	62	0	0
EC-03D	66386	662	67100	82080	8	1	0	0	1	0	0	23	26	28292	25	0	0	1	70	37262	40	0	0
EC-03E	85547	1009	86610	108943	7	23	0	0	4	0	0	42	39	38618	39	0	0	1	96	45938	57	0	0
EC-03F	94300	858	95203	117892	5	7	0	0	2	0	0	45	11	44759	9	0	0	0	45	48808	36	0	0
EC-03G	93500	907	94455	116997	27	32	0	0	3	2	1	51	63	53234	28	1	0	3	51	39384	47	0	0
EC-03H	79608	940	80616	99977	5	10	0	0	1	0	0	10	5	33935	17	0	0	1	87	44690	80	0	0
EC-03P	27900	641	28541	28997	6	5	6	4	7	3	7	25	8	12962	4	2	15	0	8	14830	5	0	3
EC-04	855303	10392	866300	1086940	241	489	4	3	152	19	21	212	420	466393	435	19	24	103	659	377985	558	10	5
