entity_id	valid	rejected	polled	electors	IND01	IND02	IND03	IND04	DUNF	OWORS	IND05	IND06	USP	RJA	DNM	NMPP	FSP	JSWP	IND07	OPPP	IND08	IND09	NDF	JSP	NSSP	NSU	IND10	IND11	SLPP	NUA	SLLP	IND12	IND13	SPSL	IND14	SEP	IND15	ONF	NPP
EC-01	1367888	15062	1383237	1670123	209	428	52	24	1087	10	18	2	49	383	33	53521	287	2042	171	26	125	621	559650	688	9	28	199	1380	727434	459	96	19	17	1740	58	59	12	80	10056
EC-01A	72637	1350	73992	93699	49	92	19	11	189	2	11	1	2	35	11	1077	19	67	39	17	46	115	52980	108	2	11	58	132	16981	28	30	7	12	64	18	12	7	28	192
EC-01B	99666	1143	100821	124340	65	108	9	5	145	1	1	0	22	21	4	1515	4	44	40	1	37	159	80065	153	4	4	24	196	16327	23	23	1	1	37	16	13	0	14	174
EC-01C	48750	669	49421	61166	15	27	8	3	71	3	2	0	3	11	2	1496	10	55	27	0	8	49	27433	40	2	7	8	66	18847	25	19	0	0	57	2	3	3	8	326
EC-01D	51241	724	51969	65395	17	27	8	1	71	1	0	0	15	16	6	1745	17	82	21	6	12	36	28596	30	0	6	36	52	19616	16	8	6	0	74	8	17	2	15	567
EC-01E	29211	455	29669	40184	13	13	7	1	24	0	0	0	1	2	1	645	1	39	2	0	7	14	21341	18	0	0	51	24	6642	6	2	0	0	24	9	1	0	7	232
EC-01F	46517	569	47092	58885	4	6	0	0	21	0	0	0	0	9	0	1471	19	80	0	0	0	18	24996	29	0	0	9	60	19114	13	2	0	0	52	0	0	0	0	407
EC-01G	54545	691	55241	69122	13	23	0	0	42	0	0	0	1	20	3	2117	29	104	9	0	4	27	23151	29	0	0	6	64	28078	26	3	0	0	87	0	12	0	0	494
EC-01H	109470	1112	110606	132358	9	42	0	0	105	0	0	0	0	43	0	3919	6	152	17	0	9	75	50434	71	0	0	0	130	53210	27	5	0	0	109	0	0	0	2	504
EC-01I	58375	735	59119	73915	0	2	0	0	17	0	0	0	0	13	0	2432	14	141	1	0	0	14	22620	34	0	0	0	39	31842	17	1	0	0	64	2	0	0	0	866
EC-01J	151160	1469	152662	183763	3	21	0	0	75	0	0	0	0	53	0	7577	44	284	3	0	0	31	41714	42	0	0	0	116	98776	73	0	0	0	230	0	0	0	0	1396
EC-01K	101434	842	102323	119853	1	40	0	0	101	0	0	0	0	23	0	3125	15	113	0	0	0	29	34478	12	0	0	0	101	61703	10	0	0	0	208	0	0	0	0	310
EC-01L	156356	1264	157673	186205	3	5	0	0	46	0	0	0	0	27	0	7554	17	227	0	0	0	8	40115	9	0	0	0	139	106056	58	0	0	0	246	0	0	0	0	902
EC-01M	109577	1109	110709	133592	0	6	0	0	35	0	0	0	0	21	0	5799	39	213	0	0	0	0	29668	35	0	0	0	63	71874	38	0	0	0	153	0	0	0	0	1142
EC-01N	146321	1408	147770	174790	0	3	0	0	55	0	0	0	0	16	0	7305	24	230	0	0	0	7	37395	32	0	0	0	91	99028	46	0	0	0	168	0	0	0	0	1137
EC-01O	99666	991	100677	118936	1	8	0	0	85	0	0	0	0	69	2	3515	2	174	8	0	2	34	36370	33	0	0	2	102	57623	47	2	0	1	140	0	1	0	1	885
EC-01P	32962	531	33493	33920	16	5	1	3	5	3	4	1	5	4	4	2229	27	37	4	2	0	5	8294	13	1	0	5	5	21717	6	1	5	3	27	3	0	0	5	522
EC-02	1443220	15175	1458945	1751317	147	352	10	4	925	3	3	2	9	298	15	61179	328	3001	120	0	64	325	494087	348	1	2	29	1184	855288	278	41	4	6	2173	3	11	3	23	10678
EC-02A	103636	1396	105061	129890	38	43	3	0	167	1	0	0	4	33	4	3405	32	238	23	0	26	71	49442	91	0	0	17	106	48191	36	17	0	0	105	1	4	0	9	874
EC-02B	83020	1408	84449	110532	32	72	5	3	142	0	0	0	3	56	8	4114	38	179	43	0	25	93	44015	46	0	0	9	107	31724	34	18	0	2	113	0	0	0	3	1525
EC-02C	123141	1748	124921	153405	13	34	0	0	96	0	0	0	0	51	0	5306	16	307	13	0	3	29	43012	34	0	0	0	136	71526	51	1	0	0	202	0	0	0	9	1335
EC-02D	92335	718	93107	110167	0	12	0	0	50	0	0	0	0	7	0	3061	2	121	0	0	0	5	32089	2	0	0	0	50	55314	1	0	0	0	158	0	0	0	0	337
EC-02E	103210	910	104182	124526	0	17	0	0	55	0	0	0	0	5	0	4641	0	99	0	0	0	1	35113	6	0	0	0	55	61407	2	0	0	0	155	0	0	0	0	292
EC-02F	114606	1067	115726	137005	0	11	0	0	62	0	0	0	0	11	0	5201	0	203	0	0	0	1	37147	6	0	0	0	65	69920	0	0	0	0	189	0	0	0	0	586
EC-02G	113275	881	114226	135546	1	16	0	0	34	0	0	0	0	3	0	4753	1	184	1	0	1	3	39474	6	0	0	0	100	66778	3	0	0	0	153	0	0	0	1	429
EC-02H	125496	1142	126688	151371	0	2	0	0	45	0	0	0	0	3	0	6207	56	578	0	0	0	1	31933	7	0	0	0	96	84452	7	0	0	0	195	0	0	0	0	881
EC-02I	121970	1598	123593	153137	23	31	0	0	94	0	0	0	0	37	1	5526	24	284	13	0	2	48	41618	28	0	0	0	104	71662	50	2	0	0	168	0	1	0	1	1498
EC-02J	130305	1123	131474	156878	1	37	0	0	52	0	0	0	0	18	0	5506	62	189	4	0	0	16	38366	34	0	0	0	111	83942	34	0	0	0	218	0	0	0	0	753
EC-02K	101183	619	101868	117894	0	4	0	0	11	0	0	0	0	5	0	3002	0	165	0	0	0	0	28563	2	0	0	0	64	67686	4	0	0	0	205	0	0	0	0	275
EC-02L	107910	880	108814	128392	2	29	0	0	49	0	0	0	0	22	0	4159	50	192	16	0	0	22	33691	29	0	0	0	101	68119	23	0	0	0	187	0	0	0	0	623
