entity_id	valid	rejected	polled	electors	SLPP	UNP	UPFA	JVP	SLFP	ITAK	IG	CWC	IG2	SLMC	ACMC	AITC	EPDP	TULF	IG3	UPA	TMVP	UNFF	NC	UPA2	NPP	NFGG	IG4	DUNF	UPP	MNA	IG5	JSP	DNM	ELMSP	DUA	SDPT	SLNF	CPSL	SLMP	SPSL	LP	LSSP	ULF		USP	_ERROR	OWORS	NSSP	DNA	MJP	IG6	NSU	DLF	AITM	SEP	ONF
EC-01A	66557.0	1641.0	68195.0	92027.0	14033.0	30677.0	7338.0	3326.0	0.0	0.0	0.0	665.0	1128.0	0.0	0.0	0.0	0.0	0.0	218.0	6345.0	0.0	324.0	0.0	1099.0	0.0	647.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	759.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC-01B	97643.0	2404.0	100054.0	135014.0	20589.0	45008.0	10766.0	4877.0	0.0	0.0	0.0	975.0	1658.0	0.0	0.0	0.0	0.0	0.0	315.0	9308.0	0.0	473.0	0.0	1610.0	0.0	951.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1116.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC-01C	45624.0	1124.0	46748.0	63083.0	9620.0	21030.0	5031.0	2277.0	0.0	0.0	0.0	456.0	774.0	0.0	0.0	0.0	0.0	0.0	149.0	4350.0	0.0	221.0	0.0	753.0	0.0	443.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	521.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC-01D	47377.0	1167.0	48544.0	65508.0	9990.0	21838.0	5224.0	2366.0	0.0	0.0	0.0	474.0	803.0	0.0	0.0	0.0	0.0	0.0	156.0	4517.0	0.0	229.0	0.0	782.0	0.0	461.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	540.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC-01E	27779.0	685.0	28463.0	38410.0	5858.0	12805.0	3062.0	1387.0	0.0	0.0	0.0	278.0	471.0	0.0	0.0	0.0	0.0	0.0	90.0	2647.0	0.0	136.0	0.0	459.0	0.0	269.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	318.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC-01F	44838.0	890.0	45728.0	62562.0	17376.0	17837.0	5284.0	3639.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	311.0	0.0	393.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC-01G	48136.0	957.0	49092.0	67163.0	18652.0	19148.0	5673.0	3904.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	331.0	0.0	422.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC-01H	101260.0	2189.0	103443.0	130203.0	39567.0	39013.0	13002.0	7977.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	704.0	0.0	0.0	0.0	780.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	191.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0	0.0
EC-01I	53289.0	1264.0	54553.0	74478.0	22068.0	17989.0	7675.0	4886.0	0.0	0.0	115.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	522.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.0
EC-01J	137116.0	2509.0	139621.0	183889.0	71014.0	31428.0	15546.0	15075.0	0.0	0.0	0.0	0.0	108.0	0.0	0.0	0.0	0.0	0.0	1048.0	0.0	0.0	0.0	0.0	0.0	808.0	0.0	419.0	0.0	0.0	0.0	875.0	154.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	640.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC-01K	98390.0	1801.0	100213.0	122795.0	49317.0	32102.0	8346.0	6314.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1256.0	0.0	0.0	1038.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC-01L	146281.0	2608.0	148881.0	188281.0	80906.0	30586.0	14387.0	14942.0	0.0	0.0	0.0	0.0	1285.0	0.0	0.0	0.0	0.0	0.0	481.0	0.0	0.0	544.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3166.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC-01M	97956.0	2971.0	100926.0	134625.0	0.0	26171.0	12156.0	11837.0	0.0	0.0	0.0	0.0	44782.0	0.0	0.0	0.0	0.0	0.0	2633.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	372.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC-01N	135493.0	2534.0	138023.0	175319.0	72939.0	33377.0	12073.0	15018.0	0.0	0.0	1282.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	586.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	226.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC-01O	94700.0	1603.0	96303.0	119044.0	44940.0	31521.0	8585.0	6890.0	0.0	0.0	743.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2021.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC-02G	86102.0	1494.0	87605.0	110188.0	39527.0	21288.0	0.0	6443.0	10522.0	0.0	978.0	0.0	0.0	1536.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1266.0	0.0	1048.0	0.0	0.0	0.0	174.0	3338.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
