entity_id	valid	rejected	polled	electors	PA	UNP	JVP	NUA	SU	TULF	EPDP	NLF	IG2	ACTC	TELO	CWC	DPLF	PP	IG1	L&DA	SMBP	IG3	IG4	TNUoW	TLP	DUNF	IG5	ULF	ESMS	IG6	MULF	IG7	NPP	SLMK	PFF	SLPF	PLSF	JSP	RJP	SEP	IG9	IG8
EC-01	1114250	12879	1127129	1468537	394146	440684	78133	27067	49671	0	0	3877	357	5238	0	4588	0	2879	75	0	1228	808	109	0	497	355	179	684	0	0	1321	0	1400	244	58	90	0	0	143	389	0	0
EC-01A	60111	939	61050	85967	13422	33212	2031	3149	1043	0	0	282	46	910	0	1099	0	155	6	0	23	24	3	0	5	17	9	47	0	0	60	0	49	35	4	6	0	0	3	8	0	0
EC-01B	100424	1616	102040	144916	20414	57578	2806	16420	1683	0	0	378	98	747	0	1247	0	1236	7	0	46	75	7	0	16	24	19	80	0	0	797	0	96	40	3	49	0	0	16	26	0	0
EC-01C	41809	453	42262	60678	14025	19588	1990	1441	2106	0	0	163	56	136	0	210	0	143	2	0	37	14	6	0	29	16	11	22	0	0	54	0	42	8	1	2	0	0	11	17	0	0
EC-01D	46206	694	46900	65732	13922	22232	2844	534	2939	0	0	231	15	927	0	411	0	169	4	0	52	9	7	0	35	13	4	27	0	0	30	0	97	29	1	1	0	0	33	25	0	0
EC-01E	25865	399	26264	38621	4999	15480	709	925	1418	0	0	253	8	1371	0	289	0	91	3	0	22	21	6	0	88	7	5	15	0	0	15	0	105	36	4	1	0	0	4	14	0	0
EC-01F	43077	369	43446	58728	14382	19646	2556	977	3200	0	0	194	4	622	0	122	0	59	3	0	57	50	4	0	36	14	4	23	0	0	25	0	82	23	2	4	0	0	2	20	0	0
EC-01G	49181	557	49738	66432	17886	18556	4454	548	3356	0	0	154	8	210	0	59	0	81	6	0	73	421	8	0	57	16	12	28	0	0	44	0	91	13	3	2	0	0	4	26	0	0
EC-01H	82028	892	82920	107725	32394	30522	5741	1689	2604	0	0	204	18	16	0	205	0	117	1	0	72	12	2	0	11	26	14	35	0	0	54	0	77	6	3	5	0	0	7	30	0	0
EC-01I	54504	516	55020	73274	20249	22207	3566	266	4881	0	0	155	27	19	0	41	0	120	4	0	87	17	9	0	33	18	12	28	0	0	16	0	106	8	2	2	0	0	6	21	0	0
EC-01J	113805	1209	115014	148435	43474	35792	11268	108	4701	0	0	279	9	11	0	12	0	87	7	0	136	20	6	0	40	32	14	68	0	0	32	0	127	6	3	5	0	0	7	38	0	0
EC-01K	79098	865	79963	101065	33986	26671	4434	316	1086	0	0	369	5	26	0	832	0	72	4	0	65	21	8	0	17	30	15	70	0	0	39	0	32	6	9	2	0	0	6	9	0	0
EC-01L	108882	1035	109917	141974	41330	33930	8758	39	3283	0	0	350	11	10	0	11	0	97	8	0	101	28	9	0	19	39	18	95	0	0	50	0	71	10	5	3	0	0	6	8	0	0
EC-01M	90425	910	91335	119137	36995	28952	8174	93	6302	0	0	252	32	9	0	3	0	127	7	0	149	23	12	0	40	32	17	59	0	0	25	0	148	5	9	2	0	0	6	45	0	0
EC-01N	109602	1110	110712	140094	41977	34978	10219	33	6211	0	0	336	11	3	0	16	0	99	7	0	200	27	14	0	40	38	15	50	0	0	56	0	123	10	5	1	0	0	23	41	0	0
EC-01O	92089	975	93064	115759	36883	35570	6849	478	3721	0	0	231	7	171	0	10	0	201	6	0	57	40	3	0	31	28	10	31	0	0	22	0	122	7	2	4	0	0	9	52	0	0
EC-01P	17144	340	17484	0	7808	5770	1734	51	1137	0	0	46	2	50	0	21	0	25	0	0	51	6	5	0	0	5	0	6	0	0	2	0	32	2	2	1	0	0	0	9	0	0
EC-02	961709	37390	999099	1253416	470018	378328	73110	11013	20297	0	0	3502	137	0	0	0	0	774	270	0	1463	265	177	0	232	473	233	1093	0	0	0	0	0	0	99	149	0	0	76	0	0	0
EC-02A	67803	2564	70367	89336	29015	32570	4146	191	1320	0	0	226	8	0	0	0	0	57	22	0	67	19	9	0	13	27	12	78	0	0	0	0	0	0	1	7	0	0	15	0	0	0
EC-02B	60482	2858	63340	84290	24826	28983	2557	2596	975	0	0	285	9	0	0	0	0	30	17	0	36	13	8	0	22	28	12	67	0	0	0	0	0	0	1	12	0	0	5	0	0	0
