entity_id	valid	rejected	polled	electors	UNP	PA	JVP	TULF	SLMC	EPDP	SU	NLF	DPLF	IND9	USP	IND4	NDP	DLF	IND3	ULF	IND7	INDP	ESMS	MULF	IND1	IND5	SMBP	JSP	PFF	IND2	LP	RJP	DUNF	IND6	SLPF	SLMK	SLNF	SEP	IND8	IND 3	IND14	Ind10	ELPP	IND10	IND15	IND12	IND11	IND13
EC-01	1058481.0	40901.0	1099382.000000001	1458130.000000001	546416.9999999998	353400.9999999998	117404.0	12695.999999999984	0	647.0000000000001	16970.000000000004	3457.000000000002	0	0	1502.9999999999995	77.99999999999993	0	3322.0	42.999999999999964	1101.0000000000002	0	0	0	0	77.00000000000006	0	489.99999999999983	137.99999999999994	0	102.00000000000007	0	65.0	0	0	81.0	175.0000000000001	70.9999999999999	242.99999999999986	0	0	0	0	0	0	0	0	0	0
EC-01A	59448.0	3352.0000000000005	62800.0	86842.00000000001	41052.0	11792.0	3097.9999999999995	2482.9999999999995	0	62.0	342.00000000000006	184.0	0	0	142.0	4.999999999999999	0	138.0	2.9999999999999996	76.00000000000001	0	0	0	0	2.9999999999999996	0	7.0	5.999999999999999	0	8.0	0	2.0	0	0	15.0	15.0	4.999999999999999	9.999999999999998	0	0	0	0	0	0	0	0	0	0
EC-01B	106970.00000000003	5699.999999999998	112670.0	159417.00000000003	80318.00000000001	19149.0	3882.9999999999986	1648.9999999999998	0	76.99999999999999	730.9999999999999	307.99999999999994	0	0	314.9999999999999	11.999999999999996	0	178.0	10.000000000000002	212.00000000000003	0	0	0	0	2.999999999999999	0	20.000000000000004	9.0	0	6.999999999999998	0	5.999999999999998	0	0	15.000000000000002	50.00000000000001	11.999999999999996	5.999999999999998	0	0	0	0	0	0	0	0	0	0
EC-01C	41388.0	1598.0	42986.0	61373.00000000001	24349.0	12710.0	2872.0	244.0	0	19.0	785.0000000000001	135.0	0	0	64.0	3.0	0	85.0	1.0	56.99999999999999	0	0	0	0	3.0	0	22.0	4.0	0	1.0	0	3.0	0	0	3.0	12.0	2.0	14.0	0	0	0	0	0	0	0	0	0	0
EC-01D	45745.0	1855.0	47600.0	66736.0	26636.000000000004	11806.999999999998	3612.9999999999995	2075.0	0	88.0	962.0	142.0	0	0	101.0	8.0	0	203.0	2.9999999999999996	39.0	0	0	0	0	5.999999999999999	0	26.0	8.0	0	2.0	0	5.0	0	0	2.9999999999999996	2.0	4.0	11.999999999999998	0	0	0	0	0	0	0	0	0	0
EC-01E	27289.0	959.0	28248.0	41908.0	18020.0	4053.0	926.0	3499.0	0	58.0	396.0	83.0	0	0	43.0	6.0	0	129.0	3.0	32.0	0	0	0	0	2.0	0	9.0	2.0	0	4.0	0	2.0	0	0	2.0	10.0	1.0	9.0	0	0	0	0	0	0	0	0	0	0
EC-01F	43556.00000000001	1447.9999999999998	45003.99999999999	61222.0	24219.0	12686.000000000002	3786.000000000001	1434.0	0	28.000000000000007	944.0000000000002	121.00000000000001	0	0	38.0	3.000000000000001	0	193.00000000000003	3.000000000000001	32.0	0	0	0	0	2.0	0	29.000000000000004	8.0	0	7.000000000000002	0	3.000000000000001	0	0	1.0	8.0	3.000000000000001	8.0	0	0	0	0	0	0	0	0	0	0
EC-01G	48614.0	1663.9999999999998	50278.00000000001	67911.0	23432.0	17344.000000000004	5750.000000000001	571.0	0	24.0	1014.0000000000001	180.0	0	0	51.99999999999999	3.0	0	132.0	2.0000000000000004	36.0	0	0	0	0	1.0000000000000002	0	33.0	9.0	0	3.0	0	1.0000000000000002	0	0	2.0000000000000004	8.000000000000002	2.0000000000000004	15.000000000000004	0	0	0	0	0	0	0	0	0	0
EC-01H	76414.00000000001	2760.999999999999	79175.0	102676.0	37256.00000000001	28465.000000000004	8868.999999999998	40.999999999999986	0	33.0	1001.0	236.0	0	0	120.00000000000001	9.0	0	182.00000000000009	2.0000000000000004	76.00000000000001	0	0	0	0	8.000000000000002	0	55.0	7.0	0	4.999999999999999	0	3.0	0	0	4.999999999999999	19.000000000000004	4.000000000000001	18.0	0	0	0	0	0	0	0	0	0	0
EC-01I	53884.0	1697.9999999999998	55582.0	74140.0	27717.000000000007	18573.000000000004	5274.999999999998	73.00000000000001	0	14.999999999999996	1694.0000000000002	154.99999999999997	0	0	46.0	1.0	0	202.0	0.0	40.0	0	0	0	0	2.9999999999999996	0	32.0	11.0	0	8.0	0	4.0	0	0	2.0	11.999999999999998	5.0	16.0	0	0	0	0	0	0	0	0	0	0
EC-01J	101712.00000000001	3217.999999999998	104929.99999999999	135550.00000000003	43330.00000000001	39238.00000000001	16602.0	21.999999999999996	0	35.00000000000001	1540.9999999999993	284.0	0	0	116.99999999999996	3.9999999999999996	0	302.0000000000001	5.0	95.0	0	0	0	0	10.999999999999998	0	43.0	19.000000000000004	0	13.999999999999998	0	5.0	0	0	5.0	10.999999999999998	9.000000000000002	20.0	0	0	0	0	0	0	0	0	0	0
EC-01K	70565.00000000001	3323.9999999999995	73888.99999999997	93630.00000000001	32784.00000000001	29175.999999999996	7120.999999999995	10.999999999999998	0	54.00000000000001	514.9999999999998	334.99999999999994	0	0	92.99999999999999	6.000000000000002	0	270.9999999999999	1.9999999999999998	97.99999999999997	0	0	0	0	6.000000000000002	0	35.00000000000001	14.0	0	10.999999999999998	0	6.000000000000002	0	0	7.0	7.0	0.9999999999999999	12.000000000000004	0	0	0	0	0	0	0	0	0	0
