entity_id	valid	rejected	polled	electors	UNP	SLFP	SLMP
EC-01	735315.0000000005	11294.999999999989	746609.9999999994	1105583.000000001	361336.9999999998	339958.00000000023	34019.99999999997
EC-01A	35392.0	647.0	36039.0	54149.0	22388.999999999996	10744.0	2259.0
EC-01B	89399.00000000003	1572.0	90970.99999999999	133920.0	58795.000000000015	26083.0	4521.0
EC-01C	31237.0	499.0	31736.0	47917.0	16452.0	13082.999999999998	1701.9999999999998
EC-01D	32255.0	666.0	32920.99999999999	51225.0	16479.999999999996	13477.0	2298.0
EC-01E	23523.0	342.0	23865.0	37219.99999999999	14670.0	7473.0	1380.0
EC-01F	36632.0	520.0	37152.0	52969.0	18326.0	16599.0	1706.9999999999998
EC-01G	38500.0	583.9999999999999	39084.0	55247.99999999999	18409.0	18308.000000000004	1783.0
EC-01H	51355.99999999997	848.9999999999999	52204.99999999999	75650.00000000001	23894.999999999993	25050.0	2411.0000000000005
EC-01I	43604.0	562.9999999999999	44167.0	67194.0	18833.999999999996	22607.000000000004	2163.0
EC-01J	55580.00000000001	806.0	56385.999999999985	87693.0	22871.999999999996	30599.999999999996	2108.0000000000005
EC-01K	49211.999999999985	569.9999999999999	49781.99999999999	68891.99999999999	24291.999999999985	23721.0	1198.9999999999998
EC-01L	50110.00000000001	678.9999999999998	50788.999999999985	86986.99999999999	20809.999999999996	27570.0	1729.9999999999998
EC-01M	54425.99999999999	779.0	55205.0	83598.0	20770.0	31396.0	2260.0
EC-01N	62961.00000000003	878.9999999999999	63840.000000000015	89277.0	25549.000000000007	35184.0	2227.999999999999
EC-01O	64688.00000000001	977.0	65664.99999999999	96841.0	31546.0	29654.000000000004	3487.999999999999
EC-01P	16440	363	16803	16803	7248	8409	783
EC-02	728111.9999999998	10108.000000000005	738220.0000000008	985206.0000000005	350092.00000000035	355553.0000000002	22466.99999999997
EC-02A	49207.0	665.9999999999999	49873.00000000001	68476.99999999999	27945.0	19361.000000000007	1900.9999999999998
EC-02B	47336.99999999999	587.0000000000001	47923.99999999998	68249.99999999999	29015.999999999996	16600.999999999996	1720.0
EC-02C	56175.0	822.0	56996.99999999997	76451.99999999999	28760.00000000001	25379.0	2036.0000000000002
EC-02D	52704.00000000001	741.9999999999998	53445.999999999985	68377.00000000003	25791.999999999993	25857.000000000004	1054.9999999999998
EC-02E	55621.0	860.0000000000002	56480.999999999985	78952.99999999997	26835.000000000004	27711.999999999985	1074.0000000000007
EC-02F	60579.000000000015	825.0000000000006	61404.00000000001	78056.00000000003	29424.000000000004	29751.000000000007	1404.0000000000007
EC-02G	59474.999999999985	734.9999999999998	60210.000000000015	79172.0	22241.999999999996	35758.00000000001	1474.9999999999989
EC-02H	62126.99999999999	721.0	62847.99999999999	85424.0	25948.000000000004	34339.99999999998	1839.0
EC-02I	57144.0	1052.0	58195.99999999999	81566.0	30020.999999999996	25357.0	1766.0000000000002
EC-02J	58736.0	735.0000000000002	59470.99999999998	79936.00000000001	26024.000000000004	30304.999999999996	2407.0
EC-02K	57960.000000000015	510.99999999999994	58471.000000000015	72945.00000000003	26155.00000000001	30828.999999999993	976.0
EC-02L	49081.0	685.0000000000001	49766.0	66166.00000000001	23930.000000000007	23633.000000000004	1517.9999999999998
EC-02M	46971.999999999985	690.0	47662.0	65961.00000000001	21394.999999999996	22877.000000000004	2700.0000000000005
EC-02P	14994	477	15471	15471	6605	7793	596
EC-03	362645.99999999953	6537.000000000005	369183.0000000004	575008.0000000002	169510.0000000001	179760.99999999994	13375.0
EC-03A	54615.000000000015	799.0	55414.0	78329.99999999996	22700.99999999999	28366.0	3548.0
EC-03B	55224.00000000002	871.0	56095.00000000004	73585.00000000004	26066.0	26897.00000000001	2260.9999999999995
EC-03C	49322.999999999985	631.9999999999999	49955.000000000015	69404.99999999999	23867.99999999999	24115.999999999996	1339.0000000000002
EC-03D	37938.99999999999	880.0000000000003	38819.0	58029.99999999999	18705.0	18491.0	742.9999999999997
EC-03E	38661.0	715.9999999999998	39377.0	70456.99999999999	17916.99999999999	19907.999999999993	835.9999999999999
EC-03F	47535.000000000015	1160.9999999999995	48695.99999999997	75912.00000000001	22551.000000000004	22424.99999999999	2559.0
EC-03G	43400.99999999999	699.9999999999998	44100.99999999997	73407.99999999999	20529.000000000004	21920.000000000004	952.0
EC-03H	31315.0	521.0000000000001	31835.999999999996	70991.0	15155.000000000016	15255.000000000002	905.0000000000009
