entity_id	valid	rejected	polled	electors	PA	UNP	Ind 2	SMBP	Ind 1	SLPF
EC-01A	42608.00000000001	947.0	43555.0	63528.0	26250.0	15924.0	138.0	117.99999999999999	103.0	75.0
EC-01B	90999.0	2020.0000000000002	93019.00000000001	139012.0	56219.0	33824.0	270.99999999999994	245.0	290.99999999999994	149.00000000000003
EC-01C	34511.99999999999	617.0	35129.0	52007.0	20837.0	13161.999999999998	96.0	236.0	124.00000000000001	56.99999999999999
EC-01D	37415.0	843.0	38258.0	57049.0	23867.0	12806.0	114.99999999999999	373.0	182.0	72.0
EC-01E	23332.0	460.0	23791.999999999996	36915.0	14329.0	8557.0	68.0	179.0	180.0	19.0
EC-01F	37470.0	614.0000000000001	38084.00000000001	55301.0	23977.0	12783.000000000004	111.0	326.0	195.0	78.0
EC-01G	41519.0	886.9999999999999	42406.0	59749.00000000001	28666.000000000004	12274.999999999998	83.0	273.0	151.0	71.0
EC-01H	62498.0	1119.9999999999998	63618.0	90167.0	40296.0	21312.999999999996	202.00000000000003	330.0	201.00000000000006	155.99999999999997
EC-01I	48944.99999999999	761.9999999999999	49707.0	71212.99999999999	31646.0	16330.999999999998	118.0	521.0	231.99999999999997	96.99999999999999
EC-01J	76917.0	1444.9999999999998	78362.00000000001	113172.99999999997	51876.00000000001	23475.000000000007	240.99999999999997	599.0	521.0000000000002	204.99999999999997
EC-01K	55727.99999999999	1312.9999999999998	57041.000000000015	81213.00000000001	31132.000000000007	23125.999999999993	289.99999999999994	787.0	229.99999999999997	163.00000000000003
EC-01L	68618.99999999999	1102.0000000000002	69720.99999999999	106536.00000000001	45072.000000000015	22369.000000000004	279.00000000000006	444.00000000000017	283.99999999999994	171.00000000000003
EC-01M	68521.0	1328.0	69849.0	101316.99999999999	47818.0	19514.000000000004	158.0	638.0	240.0	153.0
EC-01N	77577.99999999997	1159.0000000000002	78737.00000000003	110948.0	54327.000000000015	22130.000000000004	209.99999999999997	464.0000000000001	267.99999999999994	179.0
EC-01O	70655.00000000001	987.9999999999997	71643.0	97831.00000000003	45402.99999999999	24493.000000000004	127.00000000000001	279.99999999999994	234.0	117.99999999999999
EC-01P	23070	455	23525	23525	15993	6659	19	246	97	56
EC-02A	61720.0	921.9999999999999	62642.0	85516.0	37373.00000000001	23670.999999999996	180.00000000000003	183.00000000000003	213.99999999999994	98.99999999999997
EC-02B	54347.999999999985	760.9999999999999	55108.99999999999	80589.0	31648.000000000004	22131.0	183.99999999999997	133.00000000000003	171.99999999999997	80.00000000000001
EC-02C	68303.0	864.0000000000001	69166.99999999999	92026.99999999996	42916.00000000001	24637.000000000007	251.00000000000003	184.00000000000009	186.99999999999997	127.99999999999999
EC-02D	59637.000000000044	831.9999999999999	60468.99999999999	77104.00000000003	35220.00000000001	23749.0	234.99999999999997	169.0	148.99999999999997	114.99999999999997
EC-02E	63820.999999999985	1445.9999999999995	65267.00000000001	89455.00000000003	40288.000000000015	22584.99999999999	248.00000000000006	269.9999999999999	207.99999999999997	222.00000000000006
EC-02F	65785.0	892.0	66677.0	89191.99999999999	42041.000000000015	22839.0	252.00000000000009	299.0	232.99999999999994	120.99999999999997
