entity_id	valid	rejected	polled	electors	NDF	UPFA	PNF	ONF	UPF	SLLP	ULPP	I-AMI	FSP	USP	NSH	SEP	I-AP	NSSP	AACAAKO	JSP	DNM	ULGC	SLNF
EC-01A	68649.0	1146.0	69795.0	89771.0	51537.0	16423.0	61.00000000000001	47.99999999999999	90.0	100.99999999999999	75.0	58.99999999999999	39.00000000000001	50.00000000000001	25.000000000000004	29.0	25.000000000000004	28.0	17.0	9.999999999999998	15.0	8.0	9.0
EC-01B	101497.0	1237.0000000000002	102733.99999999997	131482.0	82495.0	17778.999999999993	72.99999999999999	39.0	298.00000000000006	185.00000000000003	131.00000000000003	120.00000000000001	59.0	69.0	43.0	31.999999999999993	44.00000000000001	25.000000000000004	26.0	22.000000000000004	19.0	20.999999999999996	17.000000000000004
EC-01C	46990.0	547.0	47536.99999999999	60108.99999999999	31469.0	15148.000000000002	37.0	30.0	36.00000000000001	78.0	37.0	31.000000000000004	22.0	21.0	7.0	16.0	7.0	10.0	15.0	16.0	5.0	3.0	2.0
EC-01D	52137.0	668.0	52804.99999999999	66940.99999999999	35167.0	16601.0	22.999999999999996	32.0	32.0	47.0	33.0	24.999999999999996	31.0	36.0	16.0	21.0	13.999999999999998	18.0	11.0	13.0	2.9999999999999996	9.0	5.0
EC-01E	30275.0	325.0	30600.0	40609.0	23915.0	6163.999999999999	12.0	13.0	14.0	21.0	15.0	12.0	8.0	19.0	11.0	12.0	9.0	22.0	6.0	8.0	8.0	2.0	4.0
EC-01F	47169.0	599.0	47768.000000000015	59812.00000000001	30955.0	15932.000000000002	32.0	14.000000000000004	39.0	34.0	17.0	28.000000000000007	26.000000000000004	9.000000000000002	6.000000000000002	12.000000000000004	8.0	14.000000000000004	5.0	21.000000000000004	9.000000000000002	5.0	3.000000000000001
EC-01G	53004.0	679.9999999999999	53684.000000000015	66793.0	29553.999999999996	23144.0	30.000000000000007	30.999999999999996	25.999999999999996	29.000000000000004	25.0	18.0	29.000000000000004	22.0	9.0	15.000000000000004	11.0	10.0	10.0	24.0	7.0	3.0	7.0
EC-01H	97336.0	1275.0	98611.00000000001	120616.99999999999	56835.0	39766.999999999985	79.99999999999999	50.000000000000014	128.99999999999997	90.0	86.00000000000001	61.99999999999998	45.99999999999999	27.000000000000004	21.999999999999993	28.0	21.0	15.000000000000002	18.0	38.00000000000001	8.000000000000002	4.000000000000001	9.999999999999998
EC-01I	59588.00000000001	703.0000000000001	60290.99999999999	74933.99999999999	34614.0	24662.999999999996	38.99999999999999	33.0	16.999999999999996	41.0	26.999999999999996	16.999999999999996	22.0	22.0	6.999999999999999	10.0	6.999999999999999	5.999999999999999	11.999999999999998	27.999999999999996	13.999999999999998	5.999999999999999	2.9999999999999996
EC-01J	140642.00000000003	1534.0000000000002	142176.00000000006	173354.99999999997	68886.0	70970.0	84.00000000000001	84.00000000000001	57.0	70.00000000000001	81.00000000000004	63.99999999999999	80.0	41.00000000000001	35.00000000000001	31.000000000000007	26.999999999999996	7.999999999999999	15.0	74.99999999999999	18.000000000000004	10.999999999999998	5.0
EC-01K	94879.99999999997	1031.9999999999993	95911.99999999999	117471.99999999999	42728.00000000003	51351.00000000001	112.0	80.00000000000001	61.00000000000002	66.00000000000003	80.00000000000001	67.00000000000003	84.00000000000006	56.999999999999986	38.99999999999999	18.999999999999986	26.000000000000007	28.0	14.999999999999995	29.99999999999999	15.999999999999998	10.000000000000002	10.999999999999998
EC-01L	141762.0	1481.0	143243.00000000006	174908.99999999994	63562.99999999998	77414.99999999999	128.0	79.99999999999999	54.999999999999986	74.0	53.0	70.00000000000001	67.0	35.99999999999999	33.0	22.99999999999999	26.000000000000007	21.0	18.999999999999996	50.00000000000002	21.0	13.000000000000004	14.999999999999998
EC-01M	105352.99999999999	1220.0000000000002	106573.0	129800.99999999999	51480.0	53327.0	66.00000000000001	49.00000000000001	36.999999999999986	56.99999999999999	38.0	27.000000000000004	65.0	38.99999999999999	17.0	38.0	16.0	6.999999999999998	6.999999999999998	46.99999999999999	11.999999999999996	11.000000000000002	13.0
EC-01N	135982.99999999997	1392.9999999999998	137376.00000000006	164774.0	61116.0	74189.00000000001	83.00000000000004	70.0	45.00000000000002	57.0	55.99999999999999	53.99999999999999	85.0	39.99999999999999	23.999999999999996	29.999999999999996	17.000000000000004	6.999999999999999	20.999999999999993	53.0	13.999999999999998	9.999999999999998	11.999999999999998
EC-01O	95981.00000000003	957.9999999999997	96938.99999999999	115219.0	48599.000000000015	46884.99999999999	77.99999999999999	56.99999999999999	38.99999999999999	49.0	28.000000000000004	44.99999999999998	31.000000000000004	30.000000000000004	24.999999999999996	27.000000000000004	14.000000000000002	14.000000000000002	14.000000000000002	24.000000000000004	11.000000000000002	4.0	7.000000000000001
EC-01P	25114	536	25650	26062	12160	12856	5	6	3	8	4	3	21	7	2	3	2	3	3	20	1	4	3
EC-02A	95310.99999999999	1331.9999999999998	96643.00000000001	120471.0	56541.0	38000.99999999999	81.99999999999997	69.00000000000001	84.0	107.99999999999999	57.0	58.99999999999999	60.0	65.0	24.999999999999996	21.0	31.999999999999996	22.999999999999993	17.0	25.999999999999996	20.0	6.999999999999999	13.999999999999998
EC-02B	79482.00000000001	870.9999999999998	80353.00000000001	106213.00000000003	53330.99999999999	25432.000000000007	64.0	62.00000000000001	82.99999999999999	110.00000000000004	62.00000000000001	65.0	50.000000000000014	48.0	41.99999999999999	17.0	21.999999999999993	17.0	18.999999999999993	16.0	21.999999999999993	7.000000000000002	13.000000000000002
EC-02C	113635.0	1505.0000000000005	115139.99999999999	143885.00000000006	58506.99999999999	54355.00000000001	119.00000000000003	76.99999999999999	63.99999999999999	83.99999999999997	56.999999999999986	83.99999999999997	46.999999999999986	47.99999999999999	35.00000000000001	22.000000000000004	30.000000000000004	11.999999999999998	19.000000000000004	35.00000000000001	19.000000000000004	13.999999999999996	6.999999999999998
EC-02D	86582.99999999997	701.0	87284.00000000004	108529.00000000001	40111.999999999985	45813.0	95.00000000000007	74.99999999999997	64.0	67.0	45.00000000000002	83.00000000000004	57.000000000000014	30.0	25.999999999999996	19.0	10.999999999999996	10.999999999999996	20.0	23.000000000000004	14.000000000000002	10.0	8.0
EC-02E	97147.0	879.9999999999998	98026.99999999997	124679.00000000004	45202.00000000002	51244.000000000015	103.99999999999999	80.99999999999997	53.00000000000001	68.99999999999997	47.999999999999986	82.00000000000001	51.0	54.999999999999986	27.999999999999996	17.999999999999993	13.999999999999998	16.999999999999996	16.999999999999996	27.0	20.000000000000007	5.999999999999998	10.999999999999993
EC-02F	107270.00000000001	986.0	108256.00000000004	132981.00000000012	51581.000000000015	54929.00000000002	124.99999999999997	73.00000000000001	66.00000000000004	60.99999999999998	52.99999999999999	88.00000000000001	55.00000000000001	54.00000000000001	39.00000000000001	25.0	20.999999999999993	20.999999999999993	20.999999999999993	30.0	11.000000000000002	7.000000000000001	10.000000000000005
EC-02G	105931.00000000003	1024.0	106954.99999999999	133023.00000000003	50380.00000000002	54777.00000000004	86.0	99.99999999999997	91.0	57.00000000000001	48.0	98.00000000000001	49.999999999999986	44.0	35.0	25.999999999999996	17.000000000000004	22.0	18.99999999999999	40.00000000000001	16.0	16.0	8.999999999999998
EC-02H	118564.00000000001	1222.0000000000002	119786.00000000003	147280.0	53922.0	63961.99999999998	102.00000000000001	61.000000000000014	54.0	57.00000000000003	40.00000000000001	70.0	85.0	44.000000000000014	27.999999999999996	22.999999999999996	21.000000000000007	6.999999999999999	13.000000000000002	42.000000000000014	13.000000000000002	5.999999999999999	13.999999999999998
EC-02I	112796.99999999999	1584.0000000000002	114380.99999999997	143843.0000000001	58669.00000000001	53481.0	88.99999999999999	73.00000000000003	52.99999999999998	62.0	49.00000000000001	70.00000000000001	51.99999999999999	41.00000000000001	27.0	24.0	24.0	4.000000000000001	14.000000000000002	28.000000000000004	10.0	11.0	16.000000000000004
EC-02J	120381.00000000003	1154.0	121534.99999999994	149453.00000000003	55334.00000000001	64314.000000000015	94.00000000000001	111.99999999999997	60.99999999999999	51.00000000000001	63.00000000000002	67.99999999999999	86.99999999999999	33.0	32.00000000000001	30.000000000000007	20.0	8.000000000000002	16.999999999999996	24.999999999999996	11.999999999999996	8.999999999999998	11.000000000000002
EC-02K	93871.00000000006	878.0000000000003	94748.99999999997	115356.00000000006	38491.0	54714.0	108.99999999999999	103.99999999999999	61.999999999999986	38.00000000000001	51.00000000000002	71.99999999999999	51.99999999999999	25.999999999999996	35.99999999999999	19.000000000000004	13.999999999999998	11.0	11.0	32.0	16.0	6.999999999999999	6.000000000000002
EC-02L	99433.00000000001	996.9999999999997	100430.00000000001	121702.00000000003	48666.999999999985	50173.000000000015	88.99999999999999	61.999999999999986	56.000000000000014	56.000000000000014	45.99999999999998	49.000000000000036	74.99999999999999	26.99999999999999	22.0	12.999999999999996	18.0	7.999999999999998	12.999999999999996	34.0	3.999999999999999	12.999999999999996	7.999999999999998
EC-02M	71260.00000000001	859.0	72119.0	90122.0	37884.0	32856.0	79.00000000000001	63.0	63.0	46.000000000000014	44.99999999999999	35.00000000000001	34.0	35.00000000000001	19.0	19.0	7.999999999999998	6.000000000000001	14.000000000000002	29.999999999999993	9.0	4.999999999999998	9.999999999999996
EC-02P	40831	654	41485	42726	20386	20296	12	21	5	6	4	7	25	16	5	5	5	2	2	21	6	4	3
EC-03A	93355.0	1152.0000000000002	94506.99999999999	114828.0	46819.99999999999	45908.000000000015	83.99999999999999	56.99999999999999	79.00000000000001	54.0	36.99999999999999	58.999999999999964	70.99999999999999	30.999999999999993	32.99999999999999	19.999999999999996	9.999999999999998	13.999999999999996	19.999999999999996	34.0	12.0	6.999999999999998	4.999999999999999
