entity_id	valid	rejected	polled	electors	SLPP	NDF	NMPP	NPP	IND11	DUNF	SPSL	JSWP	IND02	IND09	IND10	JSP	RJA	IND08	NUA	IND07	FSP	IND01	ONF	SLLP	IND13	DNM	IND14	IND03	USP	IND05	NSU	SEP	IND12	IND04	OPPP	OWORS	IND15	NSSP	IND06
EC-01A	72642.99999999999	1354.9999999999998	73998.0	93705.00000000003	16986.0	52983.0	1084.0	199.0	136.0	193.0	68.0	73.0	96.99999999999999	121.00000000000001	62.0	113.0	41.0	51.00000000000001	32.0	44.0	23.0	55.0	32.0	34.0	17.0	15.0	22.0	23.0	9.0	15.0	16.0	18.0	13.0	15.0	21.0	8.0	11.0	8.0	4.999999999999999
EC-01B	99680.0	1156.0000000000002	100836.0	124354.0	16340.999999999998	80076.00000000001	1528.0	185.99999999999997	207.00000000000006	157.00000000000003	50.00000000000001	55.999999999999986	120.00000000000001	169.99999999999997	40.99999999999999	166.00000000000003	30.999999999999996	50.00000000000001	34.00000000000001	50.99999999999999	19.0	76.99999999999999	25.000000000000004	37.00000000000001	11.000000000000002	17.000000000000004	27.000000000000004	22.000000000000004	33.00000000000001	13.0	18.0	23.999999999999993	13.0	20.000000000000004	11.999999999999996	13.999999999999996	9.0	17.000000000000004	7.999999999999998
EC-01C	48752.0	672.0	49424.0	61169.0	18850.0	27436.0	1500.0	328.99999999999994	68.99999999999999	74.0	60.0	58.0	30.0	52.0	11.0	42.99999999999999	15.0	12.0	28.0	30.0	14.0	18.000000000000004	12.0	24.0	4.0	5.0	5.0	11.0	8.0	5.0	10.0	8.0	2.0	6.0	4.0	6.0	6.0	5.0	2.0
EC-01D	51244.99999999999	727.0	51972.0	65398.0	19618.999999999996	28599.0	1750.0	571.0	55.99999999999999	74.0	76.0	85.0	30.0	40.0	38.0	33.0	19.0	15.0	19.0	24.999999999999996	21.0	22.0	17.0	11.999999999999998	2.9999999999999996	9.0	11.999999999999998	11.0	17.0	2.9999999999999996	9.0	21.0	9.0	5.0	9.0	5.0	5.999999999999999	2.9999999999999996	2.0
EC-01E	29213.0	458.0	29671.0	40187.0	6644.0	21345.0	647.0	236.0	26.0	29.0	26.999999999999996	42.0	15.0	16.0	52.99999999999999	22.0	6.0	9.0	8.0	6.0	4.0	15.0	9.0	6.0	1.0	5.0	12.0	9.0	4.0	3.0	1.0	5.0	3.0	4.0	0.0	0.0	1.0	0.0	0.0
EC-01F	46525.0	576.0000000000001	47101.0	58892.00000000001	19122.0	25003.999999999996	1480.0	414.00000000000006	68.0	29.000000000000004	59.000000000000014	86.00000000000001	14.999999999999996	27.0	16.0	37.0	16.0	9.000000000000002	19.0	5.0	28.000000000000007	14.000000000000004	4.0	13.000000000000002	1.0	6.000000000000002	7.000000000000002	4.0	6.000000000000002	7.000000000000002	4.0	5.0	7.000000000000002	3.000000000000001	2.0	1.0	4.0	3.000000000000001	0.0
EC-01G	54550.0	698.0	55247.99999999999	69128.0	28085.000000000004	23156.0	2124.0	500.0	71.0	48.99999999999999	94.00000000000001	111.00000000000001	30.000000000000007	33.0	12.999999999999998	36.0	25.999999999999996	12.0	32.00000000000001	15.000000000000004	37.00000000000001	20.0	6.0	11.0	2.0000000000000004	11.0	6.0	6.0	9.0	6.0	6.0	17.0	5.0	3.0	4.000000000000001	6.0	4.000000000000001	0.0	4.000000000000001
EC-01H	109494.99999999997	1135.0	110629.99999999999	132381.0	53231.999999999985	50456.0	3940.0000000000014	525.9999999999999	152.00000000000003	128.99999999999997	131.00000000000003	172.99999999999997	66.0	96.0	15.000000000000002	94.00000000000004	66.99999999999999	34.99999999999999	50.999999999999986	43.00000000000001	30.000000000000004	33.99999999999999	24.0	28.999999999999996	9.999999999999998	12.0	15.000000000000002	16.999999999999996	15.000000000000002	8.000000000000002	14.0	18.0	4.999999999999999	14.0	4.999999999999999	10.999999999999996	7.0	13.0	8.000000000000002
EC-01I	58385.99999999999	745.0	59131.0	73925.99999999999	31853.0	22628.0	2439.0	875.0000000000001	53.00000000000001	27.999999999999996	75.0	152.00000000000003	14.999999999999996	24.999999999999996	2.9999999999999996	43.00000000000001	21.000000000000004	8.0	28.999999999999996	11.0	25.999999999999996	8.0	5.0	10.0	2.9999999999999996	8.0	14.999999999999996	5.999999999999999	8.0	4.0	4.0	8.0	5.0	2.0	2.9999999999999996	5.999999999999999	4.0	2.0	1.0
EC-01J	151188.0	1498.0	152686.00000000006	183787.00000000003	98807.0	41747.00000000001	7605.0	1424.0	145.00000000000006	102.99999999999997	255.00000000000003	315.00000000000017	51.000000000000014	59.00000000000002	10.999999999999998	68.99999999999999	83.00000000000001	23.000000000000007	101.00000000000004	30.0	74.99999999999999	31.999999999999996	21.000000000000004	21.999999999999996	21.000000000000004	21.999999999999996	12.000000000000002	21.999999999999996	17.000000000000004	10.999999999999998	13.0	21.000000000000004	18.000000000000004	13.0	15.999999999999998	6.000000000000001	9.000000000000002	3.9999999999999996	5.0
