entity_id	valid	rejected	polled	electors	NPP	SJB	NDF	SLPP	ITAK	SB	SLMC	UDV	UNP	DTNA	DLF	DNA	ACTC	TMVP	ACMC	PSA	EPDP	IND17-10	JPF	UNA	SLLP	DP	IND11-04	TMK	JSP	NFGG	UNFF	APP	IND14-10	IND07-11	NIF	IND06-06	IND03-19	NPPT	AJP	IND01-02	TULF	IND02-18	DUNF	SBP	IND02-21	IND13-12	IND08-09	PPP	IND23-11	IND01-06	IND11-06	IND08-04	IND04-21	IND03-10	IND02-20	IND02-22	IND06-03	ERDF	IND02-10	IND04-07	IND02-08	IND06-02	IND06-16	IND10-03	IND02-02	IND01-04	IND04-15	DUA	IND07-21	IND06-15	IND02-05	IND13-10	SLSP	IND05-10	IND01-09	IND11-10	JSWP	IND01-22	USP	IND07-01	IND16-10	IND15-01	IND04-04	IND07-03	IND03-13	IND01-05	IND18-12	IND10-06	IND01-16	IND05-21	IND03-04	IND07-10	IND05-12	IND22-11	IND18-10	IND01-19	IND05-16	IND02-06	IND02-09	IND07-06	IND03-06	IND01-07	IND03-21	IND04-06	IND10-12	__OTHER
EC-01	1149125	62613	1211738	1765351	788636	208249	51020	34880	0	24746	0	6381	0	0	4900	1922	0	0	0	2907	1038	0	627	867	0	2133	0	0	970	0	1541	552	0	0	0	0	0	1713	1258	0	0	0	337	525	0	0	0	363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	289	1799	0	1792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9680
EC-01A	58862	6028	64890	97590	33285	18883	1606	707	0	387	0	738	0	0	690	211	0	0	0	118	243	0	62	116	0	39	0	0	57	0	171	48	0	0	0	0	0	81	79	0	0	0	20	58	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	160	0	227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	798
EC-01B	76085	7532	83617	118919	39160	27347	3612	923	0	464	0	490	0	0	626	230	0	0	0	180	120	0	67	132	0	77	0	0	57	0	225	50	0	0	0	0	0	96	85	0	0	0	22	52	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	158	0	390	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1418
EC-01C	38983	2738	41721	62543	24318	9246	1654	1122	0	597	0	585	0	0	271	78	0	0	0	82	54	0	23	46	0	71	0	0	41	0	118	24	0	0	0	0	0	58	26	0	0	0	11	15	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	61	0	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	370
EC-01D	40819	2521	43340	67089	26072	9034	2090	950	0	733	0	273	0	0	211	63	0	0	0	157	70	0	20	55	0	77	0	0	24	0	132	35	0	0	0	0	0	174	59	0	0	0	23	23	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	65	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	381
EC-01E	23716	1337	25053	42009	13456	7212	977	556	0	268	0	239	0	0	74	33	0	0	0	226	76	0	13	43	0	24	0	0	11	0	38	8	0	0	0	0	0	131	32	0	0	0	3	13	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	14	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	236
EC-01F	40254	1894	42148	66013	26188	8427	1657	1536	0	1120	0	218	0	0	111	44	0	0	0	183	37	0	11	29	0	38	0	0	22	0	50	19	0	0	0	0	0	128	35	0	0	0	10	14	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	37	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	292
EC-01G	43149	2194	45343	70211	29310	7811	1876	1607	0	1151	0	174	0	0	163	58	0	0	0	144	26	0	12	36	0	51	0	0	30	0	56	13	0	0	0	0	0	87	42	0	0	0	10	13	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	60	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	359
EC-01H	92779	6068	98847	142393	62416	19456	3393	2254	0	1414	0	503	0	0	476	94	0	0	0	178	100	0	28	67	0	220	0	0	96	0	108	80	0	0	0	0	0	81	89	0	0	0	16	50	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	227	0	431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	937
EC-01I	47537	1852	49389	75745	31278	9085	2926	1351	0	1203	0	241	0	0	133	181	0	0	0	114	13	0	11	29	0	206	0	0	51	0	114	23	0	0	0	0	0	93	43	0	0	0	6	29	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	44	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	314
