id	lg_id	name	centroid	population
LG-11001	LG-11001	Colombo MC	[6.920959618570364, 79.86622016563642]	560971.0
LG-11002	LG-11002	Kolonnawa UC	[6.938469890108488, 79.88810129461503]	60044.0
LG-11003	LG-11003	Kotikawatta PS	[6.93348947933793, 79.9223996202512]	131643.0
LG-11004	LG-11004	Kaduwela MC	[6.903933799082822, 79.97746726320965]	252041.0
LG-11005	LG-11005	Homagama PS	[6.831512041921449, 80.02239530547858]	252469.0
LG-11006	LG-11006	Seethawaka PS	[6.884477269420763, 80.13660372989521]	134202.0
LG-11007	LG-11007	Seethawakapura UC	[6.953716597430174, 80.20038514185731]	30308.0
LG-11008	LG-11008	Maharagama UC	[6.856942341197101, 79.94263163522075]	196423.0
LG-11009	LG-11009	Sri Jayawardenepura Kotte MC	[6.891055973158342, 79.8987575882774]	107883.0
LG-11010	LG-11010	Dehiwala Mt.Lavinia MC	[6.839296423565324, 79.87743652792139]	184468.0
LG-11011	LG-11011	Moratuwa MC	[6.78267335486078, 79.89109551135627]	168280.0
LG-11012	LG-11012	Boralesgamuwa UC	[6.838727723990349, 79.90340817776831]	60110.0
LG-11013	LG-11013	Kesbewa UC	[6.7956847297283955, 79.93395337352644]	185122.0
LG-12001	LG-12001	Negombo MC	[7.213896536769736, 79.84518622037261]	142136.0
LG-12002	LG-12002	Katana PS	[7.206271800240349, 79.892942821645]	174969.0
LG-12003	LG-12003	Katunayaka-Seeduwa UC	[7.155046105130825, 79.87865939972545]	60322.0
LG-12004	LG-12004	Divulapitiya PS	[7.254005630163283, 80.00735604336934]	144506.0
LG-12005	LG-12005	Mirigama PS	[7.224957175110041, 80.1236248590756]	164580.0
LG-12006	LG-12006	Minuwangoda PS	[7.154431438701298, 79.9794457717421]	170814.0
LG-12007	LG-12007	Minuwangoda UC	[7.170673446704781, 79.9514870462679]	7517.0
LG-12008	LG-12008	Wattala PS	[7.038926766339704, 79.87981551653057]	147494.0
LG-12009	LG-12009	Wattala-Mabola UC	[6.9894372600945145, 79.89398786834286]	28031.0
LG-12010	LG-12010	Ja-Ela PS	[7.071590914690253, 79.91196566540427]	170289.0
LG-12011	LG-12011	Ja-Ela UC	[7.072180940399649, 79.88706565833286]	31232.0
LG-12012	LG-12012	Gampaha PS	[7.061558384192236, 79.98007428412517]	135332.0
LG-12013	LG-12013	Gampaha MC	[7.09260927635104, 80.0236388559729]	62335.0
LG-12014	LG-12014	Attanagalla PS	[7.114716903687236, 80.11027903125269]	179565.0
LG-12015	LG-12015	Dompe PS	[6.99066599458956, 80.09904899523397]	154005.0
LG-12016	LG-12016	Mahara PS	[7.029738837984244, 80.01592194850407]	207782.0
LG-12017	LG-12017	Kelaniya PS	[6.971713031506088, 79.91422534142474]	109603.0
LG-12018	LG-12018	Peliyagoda UC	[6.96217630197374, 79.88947053651697]	27736.0
LG-12019	LG-12019	Biyagama PS	[6.968969429870151, 79.97806727754276]	186585.0
LG-13001	LG-13001	Panadura PS	[6.716222766532814, 79.92524194618348]	152127.0
LG-13002	LG-13002	Panadura UC	[6.713630815213243, 79.9118614326809]	30158.0
LG-13003	LG-13003	Bandaragama PS	[6.718941545765006, 79.97533709969926]	109236.0
LG-13004	LG-13004	Horana PS	[6.760746332988974, 80.09828572249867]	157351.0
LG-13005	LG-13005	Horana UC	[6.715514296337103, 80.06536417748441]	9909.0
LG-13006	LG-13006	Bulathsinhala PS	[6.648437596762071, 80.17524722279316]	64600.0
LG-13007	LG-13007	Madurawala PS	[6.649362383169439, 80.09582693004118]	34381.0
LG-13008	LG-13008	Millaniya PS	[6.658412777788489, 80.03184364895489]	52176.0
LG-13009	LG-13009	Kalutara PS	[6.623303479709854, 79.97262695452257]	127280.0
LG-13010	LG-13010	Kalutara UC	[6.578239182030916, 79.96507398556986]	32417.0
LG-13011	LG-13011	Beruwala PS	[6.489187740178276, 80.0067651260167]	127176.0
LG-13012	LG-13012	Beruwala UC	[6.470132983469177, 79.98477054917068]	37793.0
LG-13013	LG-13013	Dodangoda PS	[6.571939213859699, 80.04633990798519]	63960.0
LG-13014	LG-13014	Matugama PS	[6.488379698438393, 80.09075432528455]	81286.0
LG-13015	LG-13015	Agalawatta PS	[6.514771354821826, 80.17466448379467]	36669.0
LG-13016	LG-13016	Palindanuwara PS	[6.505990122290603, 80.27386947152587]	50801.0
LG-13017	LG-13017	Walallawita PS	[6.407343910901177, 80.18686555760067]	54628.0
LG-21001	LG-21001	Thumpane PS	[7.346301404390941, 80.49550983866006]	67628.0
LG-21002	LG-21002	Pujapitiya PS	[7.400499985219858, 80.56605118995404]	57914.0
LG-21003	LG-21003	Akurana PS	[7.390799257118314, 80.61848231374877]	63397.0
LG-21004	LG-21004	Pathadumbara PS	[7.348871817335224, 80.65796991553614]	68711.0
LG-21005	LG-21005	Wattegama UC	[7.351229434915661, 80.67867579148879]	15768.0
LG-21006	LG-21006	Kandy MC	[7.29131608619129, 80.63064071876853]	108482.0
LG-21007	LG-21007	Panvila PS	[7.410959419738122, 80.74209788456419]	26294.0
LG-21008	LG-21008	Udadumbara PS	[7.329838904816108, 80.87533602361782]	22505.0
LG-21009	LG-21009	Minipe PS	[7.3468383917588715, 80.94992557539716]	51883.0
LG-21010	LG-21010	Medadumbara PS	[7.302520045724564, 80.80049265363488]	61034.0
LG-21011	LG-21011	Kundasale PS	[7.305450147556117, 80.70991682501592]	127070.0
LG-21012	LG-21012	Kandy Four Gravets & Gangawata Korale PS	[7.2571514280544385, 80.64572958009087]	56061.0
LG-21013	LG-21013	Harispattuwa PS	[7.328292897311034, 80.58752351656331]	86441.0
LG-21014	LG-21014	Yatinuwara PS	[7.285178411262227, 80.53854652896703]	86434.0
LG-21015	LG-21015	Kadugannawa UC	[7.261433275479181, 80.5347843283197]	19593.0
LG-21016	LG-21016	Udunuwara PS	[7.22298319184062, 80.56021494528612]	110905.0
LG-21017	LG-21017	Udapalatha PS	[7.145204788297366, 80.63024918861059]	103687.0
LG-21018	LG-21018	Pathahewaheta PS	[7.211952313222943, 80.70467562140863]	88533.0
LG-21019	LG-21019	Gampola UC	[7.168176638749793, 80.56557011156148]	37871.0
LG-21020	LG-21020	Ganga Ihala Korale PS	[7.110976302034022, 80.51535614173986]	55254.0
LG-21021	LG-21021	Pasbage Korale PS	[7.01527585197988, 80.53597159352769]	38981.0
LG-21022	LG-21022	Nawalapitiya UC	[7.045448094581674, 80.54141667348608]	20936.0
LG-22001	LG-22001	Galewela PS	[7.77858076815085, 80.57118663744434]	70042.0
LG-22002	LG-22002	Dambulla PS	[7.878193785219348, 80.72919167027457]	48492.0
LG-22003	LG-22003	Dambulla MC	[7.8601759161114915, 80.65676907178039]	23814.0
LG-22004	LG-22004	Naula PS	[7.687969326583886, 80.70813333371056]	30884.0
LG-22005	LG-22005	Pallepola PS	[7.647654184387775, 80.59905826825742]	29565.0
LG-22006	LG-22006	Yatawatta PS	[7.549686851214839, 80.58889958252037]	30242.0
LG-22007	LG-22007	Matale PS	[7.54817063012449, 80.63024715225059]	42944.0
LG-22008	LG-22008	Matale MC	[7.469703321371071, 80.62293216315777]	31920.0
LG-22009	LG-22009	Ambanganga Korale PS	[7.561394235108599, 80.67763407261184]	15643.0
LG-22010	LG-22010	Laggala-Pallegama PS	[7.555780498412939, 80.81399051152985]	12533.0
LG-22011	LG-22011	Wilgamuwa PS	[7.607740727286336, 80.93289984225278]	29071.0
LG-22012	LG-22012	Rattota PS	[7.485755183725112, 80.6862187370649]	51354.0
LG-22013	LG-22013	Ukuwela PS	[7.429602600143751, 80.63707002053575]	68027.0
LG-23001	LG-23001	Kothmale PS	[7.038980328822919, 80.6555653228094]	101180.0
LG-23002	LG-23002	Hanguranketha PS	[7.1196905644181765, 80.77795839837799]	88528.0
LG-23003	LG-23003	Walapone PS	[7.093789070791103, 80.88672198650904]	104119.0
LG-23004	LG-23004	Nuwara Eliya PS	[6.896055684947981, 80.73380238133316]	156153.0
LG-23005	LG-23005	Thalawakele-Lindula UC	[6.9466583993121676, 80.672761609528]	23997.0
LG-23006	LG-23006	Nuwara Eliya MC	[6.968743699247185, 80.76770419392913]	31944.0
LG-23007	LG-23007	Ambagamuwa PS	[6.863467408848843, 80.56855823812454]	180553.0
LG-23008	LG-23008	Hatton - Dickoya UC	[6.887889611013686, 80.59653549778585]	25170.0
LG-31001	LG-31001	Bentota PS	[6.38677197571715, 80.05545355870781]	49975.0
LG-31002	LG-31002	Balapitiya PS	[6.314811325744783, 80.05128197456052]	67432.0
LG-31003	LG-31003	Karandeniya PS	[6.301530140306009, 80.1008470443182]	62498.0
LG-31004	LG-31004	Elpitiya PS	[6.2902779181957165, 80.18658982736997]	64726.0
LG-31005	LG-31005	Niyagama PS	[6.30245759455836, 80.25233840769596]	35574.0
LG-31006	LG-31006	Thawalama PS	[6.293626833672891, 80.35373346298479]	32609.0
LG-31007	LG-31007	Neluwa PS	[6.360283867102851, 80.41071259627013]	28640.0
LG-31008	LG-31008	Nagoda PS	[6.199739712733222, 80.31290137681606]	53829.0
LG-31009	LG-31009	Baddegama PS	[6.136857689706434, 80.22055720683858]	75008.0
LG-31010	LG-31010	Welivitiya-Divithura PS	[6.206380326407228, 80.18032796921632]	29347.0
LG-31011	LG-31011	Ambalangoda MC	[6.243602427522647, 80.06674161599929]	19990.0
LG-31012	LG-31012	Ambalangoda PS	[6.198849529635527, 80.11731005314972]	58726.0
LG-31013	LG-31013	Rathgama PS	[6.14338545417287, 80.12283326671253]	74834.0
LG-31014	LG-31014	Hikkaduwa UC	[6.128470590020641, 80.1209624779153]	27075.0
LG-31015	LG-31015	Bope-Poddala PS	[6.082466908578899, 80.21185891260102]	65747.0
LG-31016	LG-31016	Galle MC	[6.0484716084125925, 80.21549879868734]	86333.0
LG-31017	LG-31017	Akmeemana PS	[6.059003322018883, 80.28362427726837]	77776.0
LG-31018	LG-31018	Yakkalamulla PS	[6.106635865375342, 80.35940180563874]	45946.0
LG-31019	LG-31019	Imaduwa PS	[6.0327263263418365, 80.35779657453926]	44880.0
LG-31020	LG-31020	Habaraduwa PS	[6.001453299682997, 80.32015635923044]	62389.0
LG-32001	LG-32001	Pitabeddara PS	[6.2392431916693125, 80.4727222581867]	51186.0
LG-32002	LG-32002	Kotapola PS	[6.322860901619079, 80.53939855497585]	63255.0
LG-32003	LG-32003	Pasgoda PS	[6.275885369079933, 80.60835698742494]	59160.0
