id	moh_id	name	centroid
MOH-11001	MOH-11001	BATTARAMULLA	[6.900262788050426, 79.93223184088204]
MOH-11002	MOH-11002	BORALESGAMUWA	[6.838727723990349, 79.90340817776831]
MOH-11003	MOH-11003	CMC	[6.9098781951343025, 79.93879133304361]
MOH-11004	MOH-11004	DEHIWALA	[6.858393681912415, 79.87567012805216]
MOH-11005	MOH-11005	HANWELLA	[6.922636685694442, 80.14694766321087]
MOH-11006	MOH-11006	HOMAGAMA	[6.8547278527050075, 80.03272975702856]
MOH-11007	MOH-11007	KADUWELA	[6.904632852756116, 79.9910039606949]
MOH-11008	MOH-11008	KAHATHUDUWA	[6.794648989363513, 79.98502025637177]
MOH-11009	MOH-11009	KOLONNAWA	[6.934258000388308, 79.91636674329595]
MOH-11010	MOH-11010	MAHARAGAMA	[6.854062107167905, 79.94726717590324]
MOH-11011	MOH-11011	MORATUWA	[6.78267335486078, 79.89109551135627]
MOH-11012	MOH-11012	NUGEGODA	[6.891286276130135, 79.89515939835132]
MOH-11013	MOH-11013	PADUKKA	[6.834176145460168, 80.12211643629091]
MOH-11014	MOH-11014	PILIYANDALA	[6.797153879917937, 79.9331690304621]
MOH-11015	MOH-11015	PITAKOTTE	[6.881778412689518, 79.91269155826492]
MOH-11016	MOH-11016	RATHMALANA	[6.827079902684512, 79.87856649435398]
MOH-12001	MOH-12001	ATTANAGALLA	[7.111871438242828, 80.10796365097158]
MOH-12002	MOH-12002	BIYAGAMA	[6.970003723555119, 79.9781642144806]
MOH-12003	MOH-12003	DIVULAPITIYA	[7.254005630163283, 80.00735604336934]
MOH-12004	MOH-12004	DOMPE	[6.99066599458956, 80.09904899523397]
MOH-12005	MOH-12005	GAMPAHA	[7.071002081506331, 79.99332384320522]
MOH-12006	MOH-12006	JA-ELA	[7.082017202032686, 79.90182989476013]
MOH-12007	MOH-12007	KATANA	[7.229590037631971, 79.88870430945313]
MOH-12008	MOH-12008	KELANIYA	[6.970305532230861, 79.91057184890954]
MOH-12009	MOH-12009	MAHARA	[7.029738837984244, 80.01592194850407]
MOH-12010	MOH-12010	MINUWANGODA	[7.154861242955468, 79.97870591376703]
MOH-12011	MOH-12011	MIRIGAMA	[7.224957175110041, 80.1236248590756]
MOH-12012	MOH-12012	NEGAMBO	[7.212739060069652, 79.8448401239213]
MOH-12013	MOH-12013	RAGAMA	[7.037255305109292, 79.92695810615048]
MOH-12014	MOH-12014	SEEDUWA	[7.1514413114374324, 79.89068377726493]
MOH-12015	MOH-12015	WATTALA	[7.0430602825198685, 79.87601540281457]
MOH-13001	MOH-13001	AGALAWATTA	[6.514771354821826, 80.17466448379467]
MOH-13002	MOH-13002	BANDARAGAMA	[6.718941545765006, 79.97533709969926]
MOH-13003	MOH-13003	BERUWALA	[6.4879788861910175, 80.00536976672002]
MOH-13004	MOH-13004	BULATHSINHALA	[6.648437596762071, 80.17524722279316]
MOH-13005	MOH-13005	HORANA	[6.756295991159191, 80.0558596441529]
MOH-13006	MOH-13006	INGIRIYA	[6.763729497674143, 80.14972992512129]
MOH-13007	MOH-13007	KALUTARA	[6.590946190596811, 79.99242073771798]
MOH-13008	MOH-13008	MADURAWALA	[6.654485718282256, 80.05960665408408]
MOH-13009	MOH-13009	MATHUGAMA	[6.515339577292543, 80.07912048808005]
MOH-13010	MOH-13010	PALINDANUWARA	[6.505990122290603, 80.27386947152587]
MOH-13011	MOH-13011	PANADURA	[6.6859959539357225, 79.94355198344994]
MOH-13012	MOH-13012	WALALLAWITA	[6.407343910901177, 80.18686555760067]
MOH-21001	MOH-21001	MENIKHINNA	[7.321904973227688, 80.69782427115749]
MOH-21002	MOH-21002	KUNDASALE	[7.288347906420996, 80.72248516066162]
MOH-21003	MOH-21003	KANDY FOUR GRAVETS & GANGAWATA KORALE	[7.272742865647192, 80.63849400090294]
MOH-21004	MOH-21004	PASBAGE KORALE	[7.018276679648417, 80.53651314248764]
MOH-21005	MOH-21005	UDUNUWARA	[7.230651505797503, 80.57830161554246]
MOH-21006	MOH-21006	BAMBARADENIYA	[7.216104241459559, 80.54461481852458]
MOH-21007	MOH-21007	UDAPALATHA	[7.1288217142289785, 80.59727572290926]
MOH-21008	MOH-21008	DELTHOTA	[7.18280907684359, 80.70061730305588]
MOH-21009	MOH-21009	POOJAPITIYA	[7.400499985219858, 80.56605118995404]
MOH-21010	MOH-21010	HARISPATTUWA	[7.328276511316363, 80.58769936920329]
MOH-21011	MOH-21011	YATINUWARA	[7.28244748472642, 80.53811383851321]
MOH-21012	MOH-21012	GANGA IHALA KORALE	[7.110976302034022, 80.51535614173986]
MOH-21013	MOH-21013	DOLUWA	[7.164169060632344, 80.64839399488378]
MOH-21014	MOH-21014	THUMPANE	[7.366479947139378, 80.51540058087069]
MOH-21015	MOH-21015	HATHARALIYADDA	[7.331514356120697, 80.48071886321458]
MOH-21016	MOH-21016	PATHAHEWAHETA	[7.2298959088107555, 80.7071743426333]
MOH-21017	MOH-21017	UDADUMBARA	[7.329838904816108, 80.87533602361782]
MOH-21018	MOH-21018	AKURANA	[7.390799257118314, 80.61848231374877]
MOH-21019	MOH-21019	MEDADUMBARA	[7.302458219724664, 80.8001486346727]
MOH-21020	MOH-21020	PANVILA	[7.410959419738122, 80.74209788456419]
MOH-21021	MOH-21021	PATHADUMBARA	[7.348916911025594, 80.66145848546662]
MOH-21022	MOH-21022	MINIPE	[7.3468383917588715, 80.94992557539716]
MOH-22001	MOH-22001	DAMBULLA	[7.87861663633488, 80.72352705374416]
MOH-22002	MOH-22002	YATAWATTA	[7.5523709088941, 80.58849502362139]
MOH-22003	MOH-22003	AMBANGANGA KORALE	[7.55925417004404, 80.67845587292261]
MOH-22004	MOH-22004	NAULA	[7.698064126931269, 80.70563601103133]
MOH-22005	MOH-22005	PALLEPOLA	[7.648302466257999, 80.5993741113082]
MOH-22006	MOH-22006	RATTOTA	[7.488118644877738, 80.6875877599494]
MOH-22007	MOH-22007	GALEWELA	[7.775668912563354, 80.57033560142493]
MOH-22008	MOH-22008	LAGGALA-PALLEGAMA	[7.570155299278646, 80.82261635429681]
