country_id	province_id	district_id	dsd_id	gnd_id	ed_id	pd_id	lg_name	source_type	lg_id	moh_id	population
LK	LK-1	LK-11	LK-1103	LK-1103005	EC-01	EC-01A	Colombo MC	original	LG-11001		7829.0
LK	LK-1	LK-11	LK-1103	LK-1103010	EC-01	EC-01A	Colombo MC	original	LG-11001		28003.0
LK	LK-1	LK-11	LK-1103	LK-1103015	EC-01	EC-01A	Colombo MC	original	LG-11001		17757.0
LK	LK-1	LK-11	LK-1103	LK-1103020	EC-01	EC-01A	Colombo MC	original	LG-11001		12970.0
LK	LK-1	LK-11	LK-1103	LK-1103025	EC-01	EC-01A	Colombo MC	original	LG-11001		8809.0
LK	LK-1	LK-11	LK-1103	LK-1103030	EC-01	EC-01A	Colombo MC	original	LG-11001		13625.0
LK	LK-1	LK-11	LK-1103	LK-1103035	EC-01	EC-01A	Colombo MC	original	LG-11001		12423.0
LK	LK-1	LK-11	LK-1103	LK-1103040	EC-01	EC-01A	Colombo MC	original	LG-11001		13802.0
LK	LK-1	LK-11	LK-1103	LK-1103045	EC-01	EC-01A	Colombo MC	original	LG-11001		6385.0
LK	LK-1	LK-11	LK-1103	LK-1103050	EC-01	EC-01A	Colombo MC	original	LG-11001		9409.0
LK	LK-1	LK-11	LK-1103	LK-1103055	EC-01	EC-01B	Colombo MC	original	LG-11001		9339.0
LK	LK-1	LK-11	LK-1103	LK-1103060	EC-01	EC-01B	Colombo MC	original	LG-11001		8110.0
LK	LK-1	LK-11	LK-1103	LK-1103065	EC-01	EC-01B	Colombo MC	original	LG-11001		8516.0
LK	LK-1	LK-11	LK-1103	LK-1103070	EC-01	EC-01B	Colombo MC	original	LG-11001		13436.0
LK	LK-1	LK-11	LK-1103	LK-1103075	EC-01	EC-01B	Colombo MC	original	LG-11001		17588.0
LK	LK-1	LK-11	LK-1103	LK-1103080	EC-01	EC-01B	Colombo MC	original	LG-11001		8904.0
LK	LK-1	LK-11	LK-1103	LK-1103085	EC-01	EC-01B	Colombo MC	original	LG-11001		6821.0
LK	LK-1	LK-11	LK-1103	LK-1103090	EC-01	EC-01B	Colombo MC	original	LG-11001		11524.0
LK	LK-1	LK-11	LK-1103	LK-1103095	EC-01	EC-01B	Colombo MC	original	LG-11001		13683.0
LK	LK-1	LK-11	LK-1103	LK-1103100	EC-01	EC-01B	Colombo MC	original	LG-11001		10053.0
LK	LK-1	LK-11	LK-1103	LK-1103105	EC-01	EC-01B	Colombo MC	original	LG-11001		7517.0
LK	LK-1	LK-11	LK-1103	LK-1103110	EC-01	EC-01B	Colombo MC	original	LG-11001		7746.0
LK	LK-1	LK-11	LK-1103	LK-1103115	EC-01	EC-01B	Colombo MC	original	LG-11001		1924.0
LK	LK-1	LK-11	LK-1103	LK-1103120	EC-01	EC-01B	Colombo MC	original	LG-11001		1473.0
LK	LK-1	LK-11	LK-1103	LK-1103125	EC-01	EC-01B	Colombo MC	original	LG-11001		3789.0
LK	LK-1	LK-11	LK-1103	LK-1103130	EC-01	EC-01B	Colombo MC	original	LG-11001		3795.0
LK	LK-1	LK-11	LK-1103	LK-1103135	EC-01	EC-01B	Colombo MC	original	LG-11001		6883.0
LK	LK-1	LK-11	LK-1103	LK-1103140	EC-01	EC-01B	Colombo MC	original	LG-11001		3915.0
LK	LK-1	LK-11	LK-1103	LK-1103145	EC-01	EC-01B	Colombo MC	original	LG-11001		7221.0
LK	LK-1	LK-11	LK-1103	LK-1103150	EC-01	EC-01B	Colombo MC	original	LG-11001		8467.0
LK	LK-1	LK-11	LK-1103	LK-1103155	EC-01	EC-01B	Colombo MC	original	LG-11001		8968.0
LK	LK-1	LK-11	LK-1103	LK-1103160	EC-01	EC-01B	Colombo MC	original	LG-11001		8526.0
LK	LK-1	LK-11	LK-1103	LK-1103165	EC-01	EC-01B	Colombo MC	original	LG-11001		4591.0
LK	LK-1	LK-11	LK-1103	LK-1103170	EC-01	EC-01B	Colombo MC	original	LG-11001		2583.0
LK	LK-1	LK-11	LK-1103	LK-1103175	EC-01	EC-01B	Colombo MC	original	LG-11001		6839.0
LK	LK-1	LK-11	LK-1106	LK-1106005	EC-01	EC-01H	Kolonnawa UC	original	LG-11002	MOH-11009	7606.0
LK	LK-1	LK-11	LK-1106	LK-1106010	EC-01	EC-01H	Kolonnawa UC	original	LG-11002	MOH-11009	6934.0
LK	LK-1	LK-11	LK-1106	LK-1106015	EC-01	EC-01H	Kotikawatta PS	original	LG-11003	MOH-11009	2308.0
LK	LK-1	LK-11	LK-1106	LK-1106020	EC-01	EC-01H	Kotikawatta PS	original	LG-11003	MOH-11009	5083.0
LK	LK-1	LK-11	LK-1106	LK-1106025	EC-01	EC-01H	Kolonnawa UC	original	LG-11002	MOH-11009	2119.0
LK	LK-1	LK-11	LK-1106	LK-1106030	EC-01	EC-01H	Kolonnawa UC	original	LG-11002	MOH-11014	5900.0
LK	LK-1	LK-11	LK-1106	LK-1106035	EC-01	EC-01H	Kolonnawa UC	original	LG-11002	MOH-11009	8432.0
LK	LK-1	LK-11	LK-1106	LK-1106040	EC-01	EC-01H	Kotikawatta PS	original	LG-11003	MOH-11009	4671.0
LK	LK-1	LK-11	LK-1106	LK-1106045	EC-01	EC-01H	Kotikawatta PS	original	LG-11003	MOH-11009	5761.0
LK	LK-1	LK-11	LK-1106	LK-1106050	EC-01	EC-01H	Kotikawatta PS	original	LG-11003	MOH-11009	7611.0
LK	LK-1	LK-11	LK-1106	LK-1106055	EC-01	EC-01H	Kotikawatta PS	original	LG-11003	MOH-11009	3703.0
LK	LK-1	LK-11	LK-1106	LK-1106060	EC-01	EC-01H	Kotikawatta PS	original	LG-11003	MOH-11009	4649.0
LK	LK-1	LK-11	LK-1106	LK-1106065	EC-01	EC-01H	Kotikawatta PS	original	LG-11003	MOH-11009	4040.0
LK	LK-1	LK-11	LK-1106	LK-1106070	EC-01	EC-01H	Kotikawatta PS	original	LG-11003	MOH-11009	2767.0
LK	LK-1	LK-11	LK-1106	LK-1106075	EC-01	EC-01H	Kotikawatta PS	original	LG-11003	MOH-11009	4439.0
LK	LK-1	LK-11	LK-1106	LK-1106080	EC-01	EC-01H	Kotikawatta PS	original	LG-11003	MOH-11009	3283.0
LK	LK-1	LK-11	LK-1106	LK-1106085	EC-01	EC-01H	Kotikawatta PS	original	LG-11003	MOH-11009	3535.0
LK	LK-1	LK-11	LK-1106	LK-1106090	EC-01	EC-01H	Kotikawatta PS	original	LG-11003	MOH-11009	3349.0
LK	LK-1	LK-11	LK-1106	LK-1106095	EC-01	EC-01H	Kotikawatta PS	original	LG-11003	MOH-11009	4103.0
LK	LK-1	LK-11	LK-1106	LK-1106100	EC-01	EC-01H	Kolonnawa UC	original	LG-11002	MOH-11009	2244.0
LK	LK-1	LK-11	LK-1106	LK-1106105	EC-01	EC-01H	Kolonnawa UC	original	LG-11002	MOH-11009	3603.0
LK	LK-1	LK-11	LK-1106	LK-1106110	EC-01	EC-01H	Kolonnawa UC	original	LG-11002	MOH-11009	2342.0
LK	LK-1	LK-11	LK-1106	LK-1106115	EC-01	EC-01H	Kolonnawa UC	original	LG-11002	MOH-11009	5867.0
LK	LK-1	LK-11	LK-1106	LK-1106120	EC-01	EC-01H	Kolonnawa UC	original	LG-11002	MOH-11009	4078.0
LK	LK-1	LK-11	LK-1106	LK-1106125	EC-01	EC-01H	Kotikawatta PS	original	LG-11003	MOH-11009	10149.0
LK	LK-1	LK-11	LK-1106	LK-1106130	EC-01	EC-01H	Kotikawatta PS	original	LG-11003	MOH-11009	3221.0
LK	LK-1	LK-11	LK-1106	LK-1106135	EC-01	EC-01H	Kotikawatta PS	original	LG-11003	MOH-11009	4715.0
LK	LK-1	LK-11	LK-1106	LK-1106140	EC-01	EC-01H	Kotikawatta PS	original	LG-11003	MOH-11009	2946.0
LK	LK-1	LK-11	LK-1106	LK-1106145	EC-01	EC-01H	Kotikawatta PS	original	LG-11003	MOH-11009	4935.0
LK	LK-1	LK-11	LK-1106	LK-1106150	EC-01	EC-01H	Kotikawatta PS	original	LG-11003	MOH-11009	5096.0
LK	LK-1	LK-11	LK-1106	LK-1106155	EC-01	EC-01H	Kotikawatta PS	original	LG-11003	MOH-11009	2643.0
LK	LK-1	LK-11	LK-1106	LK-1106160	EC-01	EC-01H	Kotikawatta PS	original	LG-11003	MOH-11009	2083.0
LK	LK-1	LK-11	LK-1106	LK-1106165	EC-01	EC-01H	Kotikawatta PS	original	LG-11003	MOH-11009	6442.0
LK	LK-1	LK-11	LK-1106	LK-1106170	EC-01	EC-01H	Kotikawatta PS	original	LG-11003	MOH-11009	2408.0
LK	LK-1	LK-11	LK-1106	LK-1106175	EC-01	EC-01H	Kotikawatta PS	original	LG-11003	MOH-11009	3879.0
