id	name	country_id	province_id	ed_id	centroid
EC-01	Colombo	LK	LK-1	EC-01	[6.869538246766888, 80.02059720596522]
EC-02	Gampaha	LK	LK-1	EC-02	[7.123479682280541, 80.01826629620523]
EC-03	Kalutara	LK	LK-1	EC-03	[6.577267222487287, 80.12755121563235]
EC-04	Kandy	LK	LK-2	EC-04	[7.273292319848747, 80.70982456203603]
EC-05	Matale	LK	LK-2	EC-05	[7.667681422200747, 80.73105678551019]
EC-06	Nuwara-Eliya	LK	LK-2	EC-06	[6.9751424888657025, 80.71176040978378]
EC-07	Galle	LK	LK-3	EC-07	[6.223217830709423, 80.2518598418902]
EC-08	Matara	LK	LK-3	EC-08	[6.143261722647166, 80.5400478055233]
EC-09	Hambantota	LK	LK-3	EC-09	[6.259937744457576, 81.09847118435297]
EC-10	Jaffna	LK	LK-4	EC-10	[9.552313018142506, 80.22527149731073]
EC-11	Vanni	LK	LK-4	EC-11	[8.986182763470335, 80.38841303763994]
EC-12	Batticaloa	LK	LK-5	EC-12	[7.771615528592747, 81.4932780704107]
EC-13	Digamadulla	LK	LK-5	EC-13	[7.237306415829966, 81.5501854266835]
EC-14	Trincomalee	LK	LK-5	EC-14	[8.547512605762021, 81.08976730427355]
EC-15	Kurunegala	LK	LK-6	EC-15	[7.665346846353699, 80.23641939927178]
EC-16	Puttalam	LK	LK-6	EC-16	[7.969408656871807, 79.91602873678774]
EC-17	Anuradhapura	LK	LK-7	EC-17	[8.392498461467023, 80.5129637752956]
EC-18	Polonnaruwa	LK	LK-7	EC-18	[7.993945314060588, 81.02618918462052]
EC-19	Badulla	LK	LK-8	EC-19	[7.074884348007288, 81.04500532153381]
EC-20	Moneragala	LK	LK-8	EC-20	[6.787407132025607, 81.30376415736839]
EC-21	Ratnapura	LK	LK-9	EC-21	[6.586881221382965, 80.56626885225714]
EC-22	Kegalle	LK	LK-9	EC-22	[7.104165619464142, 80.3428629361175]
