id	moh_id	name	centroid
MOH-11001	MOH-11001	BATTARAMULLA	[6.900262788050412, 79.93223184088198]
MOH-11002	MOH-11002	BORALESGAMUWA	[6.839184068089402, 79.90269292506291]
MOH-11003	MOH-11003	CMC	[6.9098781951343, 79.93879133304362]
MOH-11004	MOH-11004	DEHIWALA	[6.858393681912412, 79.8756701280519]
MOH-11005	MOH-11005	HANWELLA	[6.922773294460959, 80.14725527642463]
MOH-11006	MOH-11006	HOMAGAMA	[6.854727852705001, 80.03272975702863]
MOH-11007	MOH-11007	KADUWELA	[6.904214956815818, 79.99180182186035]
MOH-11008	MOH-11008	KAHATHUDUWA	[6.7949097963498835, 79.98604574031299]
MOH-11009	MOH-11009	KOLONNAWA	[6.934457493959719, 79.91573324628159]
MOH-11010	MOH-11010	MAHARAGAMA	[6.854062107167912, 79.94726717590315]
MOH-11011	MOH-11011	MORATUWA	[6.782673354860794, 79.89109551135638]
MOH-11012	MOH-11012	NUGEGODA	[6.891286276130144, 79.89515939835144]
MOH-11013	MOH-11013	PADUKKA	[6.834176145460177, 80.12211643629098]
MOH-11014	MOH-11014	PILIYANDALA	[6.796512209841128, 79.93377717188798]
MOH-11015	MOH-11015	PITAKOTTE	[6.881778412689506, 79.91269155826481]
MOH-11016	MOH-11016	RATHMALANA	[6.827079902684504, 79.87856649435398]
MOH-12001	MOH-12001	ATTANAGALLA	[7.111245803617616, 80.10773531804968]
MOH-12002	MOH-12002	BIYAGAMA	[6.970003723555131, 79.97816421448086]
MOH-12003	MOH-12003	DIVULAPITIYA	[7.253979242792735, 80.00733901545337]
MOH-12004	MOH-12004	DOMPE	[6.990571039902515, 80.0990604465857]
MOH-12005	MOH-12005	GAMPAHA	[7.070641351097315, 79.99301530047819]
MOH-12006	MOH-12006	JA-ELA	[7.082017202032675, 79.90182989476011]
MOH-12007	MOH-12007	KATANA	[7.229590037631955, 79.88870430945293]
MOH-12008	MOH-12008	KELANIYA	[6.970154594143167, 79.90985013553869]
MOH-12009	MOH-12009	MAHARA	[7.028731284173429, 80.01466243376728]
MOH-12010	MOH-12010	MINUWANGODA	[7.1548612429554534, 79.97870591376683]
MOH-12011	MOH-12011	MIRIGAMA	[7.225208198125755, 80.12379051354476]
MOH-12012	MOH-12012	NEGAMBO	[7.212896375540458, 79.84531012799481]
