id	moh_id	name
MOH-11001	MOH-11001	BATTARAMULLA
MOH-11002	MOH-11002	BORALESGAMUWA
MOH-11003	MOH-11003	CMC
MOH-11004	MOH-11004	DEHIWALA
MOH-11005	MOH-11005	HANWELLA
MOH-11006	MOH-11006	HOMAGAMA
MOH-11007	MOH-11007	KADUWELA
MOH-11008	MOH-11008	KAHATHUDUWA
MOH-11009	MOH-11009	KOLONNAWA
MOH-11010	MOH-11010	MAHARAGAMA
MOH-11011	MOH-11011	MORATUWA
MOH-11012	MOH-11012	NUGEGODA
MOH-11013	MOH-11013	PADUKKA
MOH-11014	MOH-11014	PILIYANDALA
MOH-11015	MOH-11015	PITAKOTTE
MOH-11016	MOH-11016	RATHMALANA
MOH-12001	MOH-12001	ATTANAGALLA
MOH-12002	MOH-12002	BIYAGAMA
MOH-12003	MOH-12003	DIVULAPITIYA
MOH-12004	MOH-12004	DOMPE
MOH-12005	MOH-12005	GAMPAHA
MOH-12006	MOH-12006	JA-ELA
MOH-12007	MOH-12007	KATANA
MOH-12008	MOH-12008	KELANIYA
MOH-12009	MOH-12009	MAHARA
MOH-12010	MOH-12010	MINUWANGODA
MOH-12011	MOH-12011	MIRIGAMA
MOH-12012	MOH-12012	NEGAMBO
MOH-12013	MOH-12013	RAGAMA
MOH-12014	MOH-12014	SEEDUWA
MOH-12015	MOH-12015	WATTALA
MOH-13001	MOH-13001	AGALAWATTA
MOH-13002	MOH-13002	BANDARAGAMA
MOH-13003	MOH-13003	BERUWALA
MOH-13004	MOH-13004	BULATHSINHALA
MOH-13005	MOH-13005	HORANA
MOH-13006	MOH-13006	INGIRIYA
MOH-13007	MOH-13007	KALUTARA
MOH-13008	MOH-13008	MADURAWALA
MOH-13009	MOH-13009	MATHUGAMA
MOH-13010	MOH-13010	PALINDANUWARA
MOH-13011	MOH-13011	PANADURA
MOH-13012	MOH-13012	WALALLAWITA
MOH-21001	MOH-21001	MENIKHINNA
MOH-21002	MOH-21002	KUNDASALE
MOH-21003	MOH-21003	KANDY FOUR GRAVETS & GANGAWATA KORALE
MOH-21004	MOH-21004	PASBAGE KORALE
MOH-21005	MOH-21005	UDUNUWARA
MOH-21006	MOH-21006	BAMBARADENIYA
MOH-21007	MOH-21007	UDAPALATHA
MOH-21008	MOH-21008	DELTHOTA
MOH-21009	MOH-21009	POOJAPITIYA
MOH-21010	MOH-21010	HARISPATTUWA
MOH-21011	MOH-21011	YATINUWARA
MOH-21012	MOH-21012	GANGA IHALA KORALE
MOH-21013	MOH-21013	DOLUWA
MOH-21014	MOH-21014	THUMPANE
MOH-21015	MOH-21015	HATHARALIYADDA
MOH-21016	MOH-21016	PATHAHEWAHETA
MOH-21017	MOH-21017	UDADUMBARA
MOH-21018	MOH-21018	AKURANA
MOH-21019	MOH-21019	MEDADUMBARA
MOH-21020	MOH-21020	PANVILA
MOH-21021	MOH-21021	PATHADUMBARA
MOH-21022	MOH-21022	MINIPE
MOH-22001	MOH-22001	DAMBULLA
MOH-22002	MOH-22002	YATAWATTA
MOH-22003	MOH-22003	AMBANGANGA KORALE
MOH-22004	MOH-22004	NAULA
MOH-22005	MOH-22005	PALLEPOLA
MOH-22006	MOH-22006	RATTOTA
MOH-22007	MOH-22007	GALEWELA
MOH-22008	MOH-22008	LAGGALA-PALLEGAMA
MOH-22009	MOH-22009	MATALE
MOH-22010	MOH-22010	WILGAMUWA
MOH-22011	MOH-22011	UKUWELA
MOH-23001	MOH-23001	MATHURATA
MOH-23002	MOH-23002	WALAPANE
MOH-23003	MOH-23003	HANGURANKETHA
MOH-23004	MOH-23004	KOTHMALE
MOH-23005	MOH-23005	AMBAGAMUWA
MOH-23006	MOH-23006	KOTAGALA
MOH-23007	MOH-23007	NAWATHISPANE
MOH-23008	MOH-23008	NUWARA ELIYA
MOH-23009	MOH-23009	NUWARA ELIYA MC
MOH-23010	MOH-23010	RAGALA
MOH-23011	MOH-23011	MASKELIYA
MOH-23012	MOH-23012	BOGAWANTHALAWA
MOH-23013	MOH-23013	LINDULA
MOH-31001	MOH-31001	IMADUWA
MOH-31002	MOH-31002	KARANDENIYA
MOH-31003	MOH-31003	BALAPITIYA
MOH-31004	MOH-31004	NAGODA
MOH-31005	MOH-31005	ELPITIYA
MOH-31006	MOH-31006	HIKKADUWA
MOH-31007	MOH-31007	RATHGAMA
MOH-31008	MOH-31008	AKMEEMANA
MOH-31009	MOH-31009	GONAPINUWALA
MOH-31010	MOH-31010	AMBALANGODA
MOH-31011	MOH-31011	BADDEGAMA
MOH-31012	MOH-31012	BENTOTA
MOH-31013	MOH-31013	BOPE-PODDALA
MOH-31014	MOH-31014	HABARADUWA
MOH-31015	MOH-31015	NELUWA
MOH-31016	MOH-31016	NIYAGAMA
MOH-31017	MOH-31017	THAWALAMA
MOH-31018	MOH-31018	WELIVITIYA-DIVITHURA
MOH-31019	MOH-31019	YAKKALAMULLA
MOH-31020	MOH-31020	GALLE FOUR GRAVETS
MOH-32001	MOH-32001	MATARA MC
MOH-32002	MOH-32002	MATARA PS
MOH-32003	MOH-32003	WELIGAMA
MOH-32004	MOH-32004	PASGODA
MOH-32005	MOH-32005	THIHAGODA
MOH-32006	MOH-32006	KIRINDA PUHULWELLA
MOH-32007	MOH-32007	MALIMBADA
MOH-32008	MOH-32008	PITABEDDARA
MOH-32009	MOH-32009	ATHURALIYA
MOH-32010	MOH-32010	KOTAPOLA
MOH-32011	MOH-32011	MULATIYANA
MOH-32012	MOH-32012	HAKMANA
MOH-32013	MOH-32013	KAMBURUPITIYA
MOH-32014	MOH-32014	WELIPITIYA
MOH-32015	MOH-32015	AKURESSA
MOH-32016	MOH-32016	DEVINUWARA
MOH-32017	MOH-32017	DICKWELLA
MOH-33001	MOH-33001	KATUWANA
MOH-33002	MOH-33002	TANGALLE
MOH-33003	MOH-33003	AMBALANTOTA
MOH-33004	MOH-33004	WEERAKETIYA
MOH-33005	MOH-33005	ANGUNUKOLAPELES
MOH-33006	MOH-33006	BELIATTA
MOH-33007	MOH-33007	OKEWELA
MOH-33008	MOH-33008	WALASMULLA
MOH-33009	MOH-33009	HAMBANTOTA
MOH-33010	MOH-33010	TISSAMAHARAMA
MOH-33011	MOH-33011	LUNUGAMVEHERA
MOH-33012	MOH-33012	SOORIYAWEWA
MOH-41001	MOH-41001	KAYTS
MOH-41002	MOH-41002	CHAVAKACHCHERI
MOH-41003	MOH-41003	NALLUR
MOH-41004	MOH-41004	JAFFNA
MOH-41005	MOH-41005	UDUVIL
MOH-41006	MOH-41006	KOPAY
MOH-41007	MOH-41007	POINT PEDRO
MOH-41008	MOH-41008	TELLIPALAI
MOH-41009	MOH-41009	SANDILIPAY
MOH-41010	MOH-41010	CHANKANAI
MOH-41011	MOH-41011	KARAVEDDY
MOH-42001	MOH-42001	NANATTAN
MOH-42002	MOH-42002	MANNAR TOWN
MOH-42003	MOH-42003	MANTHAI WEST
MOH-42004	MOH-42004	MUSALAI
MOH-42005	MOH-42005	MADHU
MOH-43001	MOH-43001	VAVUNIYA
MOH-43002	MOH-43002	VAVUNIYA SOUTH
MOH-43003	MOH-43003	WELIOYA
MOH-43004	MOH-43004	CHEDDIKULAM
MOH-43005	MOH-43005	VAVUNIYA NORTH
MOH-44001	MOH-44001	ODDUSUDDAN
MOH-44002	MOH-44002	MANTHAI EAST
MOH-44003	MOH-44003	MULLAITIVU
MOH-44004	MOH-44004	PUTHUKKUDIYIRUPPU
MOH-44005	MOH-44005	MALLAVI
MOH-45001	MOH-45001	KILINOCHCHI
MOH-45002	MOH-45002	POONAKARY
MOH-45003	MOH-45003	KANDAWALAI
MOH-45004	MOH-45004	PALAI
MOH-51001	MOH-51001	ARAYAMPATHY
MOH-51002	MOH-51002	VALAICHENAI
MOH-51003	MOH-51003	VELLAVELI
MOH-51004	MOH-51004	VAVUNATHIVU
MOH-51005	MOH-51005	VAKARAI
MOH-51006	MOH-51006	CHENKALADY
MOH-51007	MOH-51007	PADDIPALAI
MOH-51008	MOH-51008	OTTAMAVADI
MOH-51009	MOH-51009	KIRAN
MOH-51010	MOH-51010	KORALAIPATTU ( ODDMAVADI CENTRAL )
MOH-51011	MOH-51011	ERAVUR
MOH-51012	MOH-51012	KATTANKUDY
MOH-51013	MOH-51013	KALUWANCHIKUDY
MOH-51014	MOH-51014	BATTICALOA
MOH-52001	MOH-52001	ALAYADIVEMBU
MOH-52002	MOH-52002	AKKARAIPATTU
MOH-52003	MOH-52003	KALNUMAI NORTH ( TAMIL DIV )
MOH-52004	MOH-52004	IRAKKAMAM
MOH-52005	MOH-52005	ADDACHCHENAI
MOH-52006	MOH-52006	KALMUNAI SOUTH ( MUSLIM DIV )
MOH-52007	MOH-52007	SAMMANTHURAI
MOH-52008	MOH-52008	THIRUKKOVIL
MOH-52009	MOH-52009	SAINTHAMARUTHU
MOH-52010	MOH-52010	POTTUVIL
MOH-52011	MOH-52011	NINTHAVUR
MOH-52012	MOH-52012	NAVITHANVELI
MOH-52013	MOH-52013	KARAITHIVU
MOH-52014	MOH-52014	AMPARA
MOH-52015	MOH-52015	DAMANA
MOH-52016	MOH-52016	DEHIYATHAKANDIYA
MOH-52017	MOH-52017	LAHUGALA
MOH-52018	MOH-52018	MAHAOYA
MOH-52019	MOH-52019	PADIYATHALAWA
MOH-52020	MOH-52020	UHANA
MOH-53001	MOH-53001	KINNIYA
MOH-53002	MOH-53002	KANTHALE
MOH-53003	MOH-53003	KUCHCHAVELI
MOH-53004	MOH-53004	MUTHUR
MOH-53005	MOH-53005	PADAVI SRI PURA
MOH-53006	MOH-53006	GOMARANKADAWALA
MOH-53007	MOH-53007	SERUVILA
MOH-53008	MOH-53008	THAMPALAGAMAM
MOH-53009	MOH-53009	UPPUVELI
MOH-53010	MOH-53010	TRINCOMALEE
MOH-53011	MOH-53011	EACHCHILAMPATRU
MOH-61001	MOH-61001	Galgamuwa
MOH-61002	MOH-61002	Ambanpola
MOH-61003	MOH-61003	Ganewatta
MOH-61004	MOH-61004	Mahawa
MOH-61005	MOH-61005	Kurunegala
MOH-61006	MOH-61006	Panduwasnuwara
MOH-61007	MOH-61007	Kobeigane
MOH-61008	MOH-61008	Giribawa
MOH-61009	MOH-61009	Polgahawela
MOH-61010	MOH-61010	Udubaddawa
MOH-61011	MOH-61011	Wariyapola
MOH-61012	MOH-61012	Pannala
MOH-61013	MOH-61013	Mawathagama
MOH-61014	MOH-61014	Rideegama
MOH-61015	MOH-61015	Bamunukotuwa
MOH-61016	MOH-61016	Bingiriya
MOH-61017	MOH-61017	Polpithigama
MOH-61018	MOH-61018	ALAWWA
MOH-61019	MOH-61019	Katupotha
MOH-61020	MOH-61020	Kotawehera
MOH-61021	MOH-61021	Ibbagamuwa
MOH-61022	MOH-61022	Narammala
MOH-61023	MOH-61023	Mallawapitiya
MOH-61024	MOH-61024	Maspotha
MOH-61025	MOH-61025	Kuliyapitiya
MOH-61026	MOH-61026	Nikaweratiya
MOH-61027	MOH-61027	Weerambugedara
MOH-62001	MOH-62001	Mundalama
MOH-62002	MOH-62002	Anamaduwa
MOH-62003	MOH-62003	Chilaw
MOH-62004	MOH-62004	Dankotuwa
MOH-62005	MOH-62005	Karuwalagaswewa
MOH-62006	MOH-62006	Wennappuwa
MOH-62007	MOH-62007	Arachchikattuwa
